employee_id,previous_title,new_title,promotion_date,salary_increase_pct
EMP03176,Museum/gallery exhibitions officer,Homeopath,2022-08-08,17.3
EMP01517,Materials engineer,Senior tax professional/tax inspector,2025-04-24,15.0
EMP01680,Furniture conservator/restorer,"Scientist, audiological",2024-02-03,20.1
EMP05852,Environmental education officer,Maintenance engineer,2024-11-12,19.5
EMP07899,"Therapist, music",Clinical biochemist,2025-01-25,17.7
EMP02131,Bonds trader,Chief Financial Officer,2024-11-11,22.3
EMP09548,Systems developer,Health promotion specialist,2025-05-12,11.0
EMP03103,Museum/gallery conservator,Audiological scientist,2021-08-15,12.3
EMP03008,"Engineer, chemical","Administrator, local government",2024-08-17,5.3
EMP02417,Solicitor,Public house manager,2026-04-09,10.6
EMP02779,"Designer, ceramics/pottery",Sports coach,2024-09-17,10.5
EMP00289,Clinical molecular geneticist,Advertising art director,2026-06-12,15.2
EMP08565,Barrister,Public affairs consultant,2025-01-02,7.0
EMP00246,Early years teacher,"Surveyor, mining",2025-03-18,8.7
EMP09587,Fine artist,"Teacher, primary school",2024-02-26,17.7
EMP00455,"Engineer, water","Engineer, civil (contracting)",2024-06-24,15.6
EMP00879,"Runner, broadcasting/film/video","Scientist, forensic",2025-12-11,7.8
EMP04300,"Accountant, chartered public finance","Administrator, sports",2025-09-10,9.4
EMP09348,Sales promotion account executive,Human resources officer,2024-11-09,22.1
EMP04976,Site engineer,"Engineer, biomedical",2021-10-16,18.2
EMP00750,Chief Executive Officer,Insurance account manager,2024-04-20,24.8
EMP01269,"Surveyor, building control",Glass blower/designer,2022-10-28,22.2
EMP07132,"Engineer, energy","Conservation officer, nature",2021-11-17,19.6
EMP00302,Museum/gallery exhibitions officer,Planning and development surveyor,2026-07-23,16.0
EMP01820,Careers information officer,"Engineer, site",2024-06-03,14.8
EMP06171,Retail banker,Forensic psychologist,2025-06-06,8.4
EMP07224,Fashion designer,"Psychologist, forensic",2022-08-09,17.1
EMP00726,Trade mark attorney,Water quality scientist,2021-11-27,9.6
EMP01860,Production manager,Amenity horticulturist,2023-08-22,24.4
EMP00080,Ergonomist,Adult nurse,2022-05-31,23.6
EMP03781,TEFL teacher,"Engineer, mining",2026-07-14,19.8
EMP01715,Physiological scientist,Production manager,2026-03-11,12.6
EMP04357,Education administrator,"Engineer, water",2022-11-14,12.0
EMP09788,Lobbyist,Insurance claims handler,2023-06-29,8.5
EMP00433,Teaching laboratory technician,Community arts worker,2023-05-02,16.7
EMP01326,Press sub,"Programme researcher, broadcasting/film/video",2022-05-10,19.7
EMP00080,"Surveyor, land/geomatics","Designer, interior/spatial",2023-10-15,21.6
EMP06327,Heritage manager,Broadcast engineer,2026-03-28,24.1
EMP00410,Ceramics designer,"Buyer, retail",2022-09-27,7.7
EMP07030,Midwife,"Horticulturist, commercial",2023-06-07,17.9
EMP00617,Materials engineer,"Embryologist, clinical",2023-07-05,22.3
EMP08922,Hydrogeologist,"Designer, textile",2026-04-28,6.3
EMP08405,Multimedia specialist,Early years teacher,2022-09-11,19.0
EMP01060,Teaching laboratory technician,Quantity surveyor,2022-01-05,24.7
EMP02273,Marine scientist,Television/film/video producer,2021-09-16,18.5
EMP01688,"Engineer, energy","Therapist, sports",2023-01-15,5.9
EMP01616,"Therapist, nutritional",Seismic interpreter,2025-10-09,17.4
EMP09478,"Accountant, chartered certified",Company secretary,2026-06-14,23.2
EMP01509,"Administrator, sports",Counsellor,2021-08-04,24.5
EMP06515,Research scientist (maths),Metallurgist,2026-07-17,19.1
EMP01785,Heritage manager,"Development worker, community",2022-08-16,7.1
EMP01420,"Nurse, mental health","Civil engineer, consulting",2022-01-20,18.0
EMP07271,Barrister,Medical laboratory scientific officer,2023-02-02,22.1
EMP01722,Charity fundraiser,Town planner,2023-07-06,15.6
EMP09769,Marine scientist,Therapeutic radiographer,2022-11-10,5.4
EMP04347,"Journalist, newspaper",Biomedical scientist,2024-06-08,10.3
EMP05518,Academic librarian,"Therapist, sports",2023-11-30,10.0
EMP03001,Best boy,"Nurse, mental health",2022-02-04,7.3
EMP07391,Learning disability nurse,"Engineer, chemical",2024-10-05,21.1
EMP00378,Location manager,Media buyer,2022-05-21,9.0
EMP01389,Consulting civil engineer,Maintenance engineer,2022-08-08,13.2
EMP05359,"Surveyor, insurance",Data scientist,2023-08-18,14.4
EMP05028,Academic librarian,Banker,2023-12-22,13.5
EMP00796,English as a foreign language teacher,Financial risk analyst,2023-07-13,15.4
EMP02748,"Engineer, structural",Photographer,2025-11-26,14.1
EMP02490,Air cabin crew,Volunteer coordinator,2024-02-26,14.2
EMP02780,Market researcher,"Psychologist, forensic",2025-01-22,9.9
EMP07382,Geophysical data processor,IT technical support officer,2023-03-07,21.4
EMP02989,Radio broadcast assistant,Interpreter,2024-03-27,19.2
EMP05228,Special effects artist,Textile designer,2021-12-19,14.7
EMP02577,Dentist,"Programmer, multimedia",2026-06-30,11.1
EMP04951,Manufacturing engineer,Colour technologist,2022-06-16,22.8
EMP05874,Cytogeneticist,Occupational therapist,2026-05-10,24.6
EMP03533,Industrial buyer,Museum/gallery curator,2024-01-30,6.1
EMP07078,Lobbyist,Forensic psychologist,2024-04-07,12.8
EMP01539,"Journalist, broadcasting",Warden/ranger,2025-12-21,11.4
EMP04883,Special educational needs teacher,Trade union research officer,2022-11-08,21.0
EMP04056,Accounting technician,Corporate investment banker,2022-08-18,22.1
EMP07045,Colour technologist,"Education officer, environmental",2022-10-22,19.4
EMP07315,Cabin crew,"Geneticist, molecular",2023-03-18,24.4
EMP04697,Technical sales engineer,Associate Professor,2022-04-24,8.8
EMP07558,Senior tax professional/tax inspector,Forensic psychologist,2022-09-15,15.3
EMP03589,Arts development officer,Waste management officer,2026-02-16,18.7
EMP06150,Clinical molecular geneticist,"Administrator, education",2023-08-06,14.6
EMP05173,"Surveyor, rural practice",Music therapist,2026-01-24,23.9
EMP05749,Energy manager,"Production designer, theatre/television/film",2023-10-27,15.6
EMP05356,Visual merchandiser,"Engineer, agricultural",2022-02-27,5.6
EMP07269,Customer service manager,Advice worker,2022-09-15,9.1
EMP07919,"Geologist, wellsite",Community pharmacist,2023-07-12,8.1
EMP05082,Warden/ranger,Historic buildings inspector/conservation officer,2024-07-17,5.4
EMP03103,Market researcher,Chiropractor,2025-08-18,10.4
EMP06764,Product designer,Farm manager,2023-06-10,11.1
EMP06849,Environmental education officer,Exercise physiologist,2022-07-22,17.8
EMP06182,"Scientist, marine","Engineer, petroleum",2022-11-24,23.5
EMP09140,Herbalist,Graphic designer,2023-04-27,16.6
EMP09448,"Engineer, technical sales",Outdoor activities/education manager,2022-10-28,21.2
EMP07105,"Administrator, local government","Conservation officer, historic buildings",2024-06-23,15.2
EMP01663,Health visitor,"Lighting technician, broadcasting/film/video",2021-12-26,18.5
EMP04599,Medical technical officer,"Therapist, drama",2022-05-11,11.8
EMP09459,Product designer,"Engineer, mining",2025-06-30,12.5
EMP01518,Publishing copy,Museum/gallery curator,2024-03-18,14.6
EMP00073,"Scientist, research (physical sciences)",Recycling officer,2023-03-17,8.9
EMP06885,Acupuncturist,Herbalist,2023-10-03,12.8
EMP06882,IT consultant,Publishing copy,2025-11-15,25.0
EMP01126,Games developer,Trade mark attorney,2021-12-28,15.6
EMP08589,Chartered loss adjuster,Tax inspector,2025-04-30,20.5
EMP08258,Clothing/textile technologist,Adult nurse,2022-06-28,24.1
EMP06197,Podiatrist,Advertising account executive,2025-07-02,8.9
EMP07179,International aid/development worker,Outdoor activities/education manager,2026-01-24,20.5
EMP05272,"Scientist, forensic",Hydrologist,2022-08-23,23.6
EMP01631,Sales promotion account executive,"Engineer, technical sales",2024-03-18,8.4
EMP06802,Adult guidance worker,Solicitor,2025-08-13,19.6
EMP05434,Homeopath,Media planner,2024-02-21,21.6
EMP05593,Exercise physiologist,"Research officer, political party",2026-03-19,21.3
EMP01444,Health promotion specialist,"Programmer, multimedia",2021-10-07,5.7
EMP07833,Volunteer coordinator,"Librarian, academic",2022-02-15,9.6
EMP09990,Fitness centre manager,Air traffic controller,2022-11-12,12.4
EMP00554,Lawyer,"Accountant, chartered public finance",2022-09-10,23.9
EMP08320,Air traffic controller,Barrister,2025-10-11,17.9
EMP03514,"Engineer, chemical",Consulting civil engineer,2025-11-11,21.4
EMP03181,"Engineer, mining",Travel agency manager,2024-01-08,10.2
EMP06381,Dentist,"Education officer, museum",2025-05-17,23.5
EMP06852,"Designer, blown glass/stained glass",Dancer,2025-04-30,8.4
EMP07967,Health promotion specialist,Catering manager,2024-07-02,15.5
EMP00526,Horticultural consultant,Insurance risk surveyor,2023-03-06,15.5
EMP01121,"Engineer, aeronautical",Learning mentor,2022-12-06,18.3
EMP02730,Product/process development scientist,"Designer, television/film set",2023-05-12,5.1
EMP07940,Probation officer,Production manager,2025-11-12,6.0
EMP03542,Comptroller,Geophysical data processor,2023-08-07,24.4
EMP09558,Audiological scientist,"Lecturer, further education",2026-02-24,5.3
EMP07918,Multimedia specialist,Outdoor activities/education manager,2022-03-26,13.7
EMP02120,"Designer, fashion/clothing",Architectural technologist,2023-10-24,20.3
EMP07428,IT sales professional,"Designer, television/film set",2022-07-09,6.7
EMP06391,"Radiographer, therapeutic",Occupational therapist,2021-08-06,19.4
EMP09044,Arts administrator,"Sound technician, broadcasting/film/video",2024-10-09,24.5
EMP01129,"Surveyor, commercial/residential",Theatre manager,2021-10-14,23.2
EMP02964,"Engineer, electrical",Tourist information centre manager,2026-01-25,23.7
EMP08291,Community development worker,International aid/development worker,2022-07-13,9.9
EMP00754,International aid/development worker,Manufacturing systems engineer,2023-10-30,21.6
EMP02308,"Loss adjuster, chartered",Risk manager,2022-08-26,25.0
EMP07943,"Accountant, chartered management",Adult guidance worker,2024-08-15,22.3
EMP06234,Community pharmacist,Ranger/warden,2021-10-10,10.0
EMP01782,"Teacher, primary school",Financial adviser,2026-02-26,6.2
EMP09374,Training and development officer,Technical brewer,2022-04-23,10.2
EMP01714,"Surveyor, quantity",Broadcast presenter,2025-12-12,9.4
EMP08277,Information systems manager,Financial trader,2023-10-02,12.5
EMP00046,"Engineer, petroleum",Retail buyer,2025-11-05,16.1
EMP00014,Social worker,Dispensing optician,2022-02-09,13.3
EMP01590,Chief Strategy Officer,Animal technologist,2023-08-17,17.1
EMP08998,"Engineer, biomedical",Neurosurgeon,2022-02-17,22.1
EMP02768,Bookseller,"Engineer, petroleum",2023-01-15,15.8
EMP04866,"Accountant, chartered",Hydrologist,2026-08-01,7.3
EMP01620,Radio broadcast assistant,Fine artist,2026-06-29,13.2
EMP03673,"Therapist, art",Publishing copy,2025-06-03,7.5
EMP04041,"Designer, industrial/product","Psychologist, clinical",2023-03-10,13.6
EMP08684,Stage manager,Stage manager,2022-01-07,18.5
EMP05093,Make,Building surveyor,2024-09-17,6.6
EMP01670,Accounting technician,"Scientist, clinical (histocompatibility and immunogenetics)",2026-06-07,5.7
EMP07519,Pathologist,"Designer, graphic",2023-07-15,20.3
EMP01338,"Psychologist, sport and exercise",Amenity horticulturist,2025-05-12,5.2
EMP00725,Community education officer,"Scientist, research (medical)",2025-09-20,5.8
EMP00078,Merchant navy officer,"Administrator, arts",2023-09-03,23.9
EMP03613,Immunologist,Scientific laboratory technician,2025-12-07,7.2
EMP08814,Television floor manager,"Engineer, petroleum",2025-07-19,19.5
EMP07238,Building control surveyor,Data processing manager,2022-11-28,15.1
EMP08898,"Administrator, local government",Counsellor,2025-03-30,8.2
EMP02389,Exhibition designer,Science writer,2024-06-19,22.9
EMP05684,"Embryologist, clinical","Research officer, trade union",2025-12-11,16.9
EMP05728,Theatre stage manager,"Engineer, petroleum",2022-04-23,22.6
EMP05167,Records manager,Operational investment banker,2024-03-02,22.2
EMP02953,Air cabin crew,"Lecturer, higher education",2026-03-04,17.1
EMP00167,Warehouse manager,Personnel officer,2024-10-31,24.4
EMP08025,Chemical engineer,Chiropodist,2023-10-29,17.2
EMP08749,Dentist,Probation officer,2026-07-31,6.3
EMP04306,Software engineer,"Scientist, research (medical)",2022-11-01,8.3
EMP01526,Warehouse manager,Special educational needs teacher,2023-02-27,20.1
EMP06265,"Engineer, maintenance (IT)",Public relations officer,2022-02-21,15.7
EMP05189,Petroleum engineer,Dance movement psychotherapist,2025-05-30,9.5
EMP07794,Financial manager,Technical author,2026-07-30,8.5
EMP01558,Insurance underwriter,"Nurse, adult",2026-03-15,9.3
EMP03011,Sub,"Engineer, energy",2024-02-14,11.7
EMP04555,Pension scheme manager,Maintenance engineer,2023-04-21,13.1
EMP06580,"Therapist, drama",Art therapist,2022-06-14,16.6
EMP04801,Editorial assistant,Management consultant,2025-11-14,13.0
EMP00699,Phytotherapist,"Social research officer, government",2023-09-24,8.3
EMP09680,Personnel officer,Site engineer,2022-08-15,6.0
EMP06898,Community development worker,Health physicist,2024-09-24,20.8
EMP02966,Neurosurgeon,"Designer, industrial/product",2023-08-27,24.8
EMP09896,"Production assistant, television",Dispensing optician,2023-01-28,20.8
EMP05572,Video editor,Veterinary surgeon,2025-08-17,19.9
EMP05822,Paediatric nurse,Dealer,2026-01-16,10.2
EMP07466,Magazine journalist,Race relations officer,2021-12-28,15.9
EMP03078,"Engineer, site",Operations geologist,2023-11-25,17.1
EMP05889,"Surveyor, insurance","Engineer, electronics",2024-03-22,17.3
EMP04005,Contractor,Volunteer coordinator,2024-01-30,7.9
EMP09323,Insurance claims handler,"Surveyor, building",2021-12-17,10.0
EMP04466,Sales executive,Pension scheme manager,2025-06-05,13.2
EMP09921,Rural practice surveyor,Investment analyst,2023-07-27,14.2
EMP03762,Event organiser,Photographer,2024-04-13,10.2
EMP01604,Music therapist,"Surveyor, rural practice",2026-04-30,15.1
EMP03364,"Engineer, building services",Clinical molecular geneticist,2024-10-18,6.1
EMP01042,Dietitian,Multimedia specialist,2024-05-31,20.0
EMP03265,Rural practice surveyor,Exhibition designer,2025-02-21,7.2
EMP07425,Contracting civil engineer,Newspaper journalist,2023-02-20,22.6
EMP01810,Public librarian,Geophysical data processor,2025-05-08,6.8
EMP04230,Psychiatric nurse,Electronics engineer,2023-07-05,23.9
EMP09444,Wellsite geologist,Freight forwarder,2023-03-01,9.5
EMP07348,Occupational psychologist,Public relations account executive,2026-06-04,16.1
EMP07094,"Therapist, art",Field seismologist,2024-11-01,23.1
EMP07704,"Administrator, local government",Commercial/residential surveyor,2025-09-29,23.2
EMP04660,Comptroller,Insurance account manager,2024-06-07,24.0
EMP07802,"Lighting technician, broadcasting/film/video","Clinical scientist, histocompatibility and immunogenetics",2022-08-07,9.6
EMP00558,Barrister,Nutritional therapist,2025-07-03,11.2
EMP00847,"Administrator, local government","Teacher, early years/pre",2025-12-10,20.4
EMP06207,Animal nutritionist,Commissioning editor,2024-03-29,5.8
EMP07924,Agricultural consultant,Trade union research officer,2026-05-11,19.4
EMP06473,Management consultant,Surgeon,2025-11-15,19.0
EMP02103,"Designer, industrial/product",Civil Service administrator,2026-03-31,8.3
EMP09962,Purchasing manager,Meteorologist,2021-11-12,23.4
EMP05462,"Solicitor, Scotland",Midwife,2023-09-05,21.2
EMP04780,Counselling psychologist,Colour technologist,2025-05-12,16.9
EMP09659,"Scientist, forensic","Psychologist, sport and exercise",2023-04-26,5.1
EMP09331,Legal secretary,Cabin crew,2026-07-13,7.3
EMP03578,Theatre manager,"Administrator, Civil Service",2024-08-24,14.9
EMP02651,Homeopath,Curator,2024-01-15,5.9
EMP04501,Theatre stage manager,Financial planner,2025-07-15,21.2
EMP04136,Personnel officer,Systems developer,2023-12-01,8.8
EMP09052,Information officer,Advice worker,2022-12-20,7.1
EMP00078,Race relations officer,Ranger/warden,2021-09-02,5.9
EMP01457,Biomedical engineer,"Loss adjuster, chartered",2022-05-16,7.8
EMP06083,Retail merchandiser,Occupational psychologist,2023-04-08,21.5
EMP07141,Diagnostic radiographer,Theme park manager,2021-10-31,20.8
EMP06845,"Designer, multimedia",Sports coach,2025-12-31,9.3
EMP03834,Sales promotion account executive,Science writer,2025-11-05,22.4
EMP03923,"Teacher, primary school",Chief Marketing Officer,2021-08-10,20.5
EMP00230,"Embryologist, clinical","Civil engineer, contracting",2021-09-15,15.0
EMP03186,Chief Marketing Officer,"Administrator, Civil Service",2023-04-14,12.4
EMP02219,Chief of Staff,Psychiatric nurse,2024-01-16,11.6
