review_id,employee_id,review_date,score,reviewer_id
PR00070,EMP09673,2024-04-17,2.7,EMP05190
PR00071,EMP08357,2026-01-26,1.3,EMP06158
PR00072,EMP04226,2023-12-11,4.3,EMP06781
PR00073,EMP05242,2023-09-02,4.8,EMP03304
PR00074,EMP05515,2023-09-06,4.5,EMP04714
PR00075,EMP04753,2024-02-06,2.8,EMP00433
PR00076,EMP04624,2025-10-11,4.0,EMP04851
PR00077,EMP01196,2023-11-10,1.5,EMP07954
PR00078,EMP01681,2024-01-10,3.2,EMP08016
PR00079,EMP06768,2026-02-09,3.1,EMP02431
PR00080,EMP00498,2025-04-23,3.2,EMP04283
PR00081,EMP05854,2025-08-05,4.6,EMP00947
PR00082,EMP04757,2025-11-05,2.1,EMP01709
PR00083,EMP06497,2024-03-14,1.8,EMP03689
PR00084,EMP00798,2025-07-08,2.9,EMP05255
PR00085,EMP09882,2024-02-24,3.8,EMP07117
PR00086,EMP02200,2024-08-10,4.1,EMP09577
PR00087,EMP08532,2025-10-03,1.7,EMP01644
PR00088,EMP00235,2025-11-26,1.6,EMP03387
PR00089,EMP01896,2024-05-04,2.0,EMP06269
PR00090,EMP06530,2026-02-21,3.9,EMP08604
PR00091,EMP03466,2026-06-21,1.9,EMP02579
PR00092,EMP08286,2026-04-03,2.8,EMP04161
PR00093,EMP03444,2023-12-18,1.6,EMP08750
PR00094,EMP03433,2024-01-31,1.1,EMP06864
PR00095,EMP07627,2024-08-12,3.5,EMP06637
PR00096,EMP05439,2024-09-17,1.2,EMP00603
PR00097,EMP02171,2026-04-15,4.2,EMP00782
PR00098,EMP00964,2025-04-27,1.4,EMP03822
PR00099,EMP09822,2026-01-19,3.6,EMP07114
PR00100,EMP01746,2024-06-16,1.1,EMP08523
PR00101,EMP01621,2025-03-08,4.9,EMP02422
PR00102,EMP02843,2024-02-09,2.6,EMP09009
PR00103,EMP02558,2026-05-31,3.1,EMP02374
PR00104,EMP00268,2025-06-05,3.7,EMP07444
PR00105,EMP05110,2025-10-28,1.2,EMP05535
PR00106,EMP08847,2025-03-01,3.1,EMP01095
PR00107,EMP04170,2024-04-21,3.7,EMP05034
PR00108,EMP06734,2023-09-25,4.6,EMP00877
PR00109,EMP02743,2023-08-26,4.0,EMP09817
PR00110,EMP09287,2024-12-09,4.5,EMP04841
PR00111,EMP07287,2025-05-06,4.7,EMP04545
PR00112,EMP05217,2024-10-25,3.9,EMP00938
PR00113,EMP01365,2025-03-07,1.7,EMP00475
PR00114,EMP04214,2024-07-16,3.3,EMP08185
PR00115,EMP00867,2025-03-12,4.2,EMP09765
PR00116,EMP01434,2024-04-23,4.9,EMP02682
PR00117,EMP00896,2025-11-26,4.8,EMP04545
PR00118,EMP04671,2024-02-13,4.8,EMP09695
PR00119,EMP02076,2024-05-06,3.9,EMP09715
PR00120,EMP04228,2026-06-01,3.7,EMP01091
PR00121,EMP09254,2024-03-09,2.1,EMP02063
PR00122,EMP02879,2025-05-16,3.0,EMP01724
PR00123,EMP02491,2024-08-18,3.1,EMP05670
PR00124,EMP06594,2023-11-26,2.4,EMP03401
PR00125,EMP00214,2024-01-19,1.6,EMP00845
PR00126,EMP03072,2025-02-20,3.8,EMP00865
PR00127,EMP06217,2024-09-11,1.2,EMP01303
PR00128,EMP06246,2026-06-23,2.5,EMP05092
PR00129,EMP03549,2026-02-17,1.9,EMP09698
PR00130,EMP01637,2025-08-07,2.5,EMP08134
PR00131,EMP01810,2024-07-19,4.8,EMP02872
PR00132,EMP08029,2023-11-01,1.3,EMP01365
PR00133,EMP08430,2024-07-17,1.8,EMP02278
PR00134,EMP04627,2026-03-19,3.7,EMP06776
PR00135,EMP02786,2025-03-03,4.3,EMP07572
PR00136,EMP04266,2026-07-29,3.0,EMP07002
PR00137,EMP04966,2025-02-01,2.3,EMP02971
PR00138,EMP02997,2024-03-25,3.4,EMP07382
PR00139,EMP06320,2026-01-05,2.3,EMP02710
PR00140,EMP03000,2025-04-30,3.1,EMP01131
PR00141,EMP00104,2024-09-22,2.5,EMP00690
PR00142,EMP03082,2024-01-14,2.0,EMP01824
PR00143,EMP00325,2026-06-16,2.2,EMP00382
PR00144,EMP01957,2025-07-24,3.1,EMP06717
PR00145,EMP07827,2024-01-24,3.1,EMP08805
PR00146,EMP02486,2024-06-17,4.1,EMP00135
PR00147,EMP04249,2024-11-29,2.5,EMP01339
PR00148,EMP04939,2023-12-18,2.1,EMP05082
PR00149,EMP04725,2025-09-10,2.5,EMP09988
PR00150,EMP09879,2025-04-19,1.9,EMP06889
PR00151,EMP09902,2026-07-16,1.1,EMP08017
PR00152,EMP07950,2023-10-18,3.0,EMP08599
PR00153,EMP00369,2025-10-15,3.5,EMP02081
PR00154,EMP06516,2024-05-31,2.8,EMP00041
PR00155,EMP04361,2024-03-20,4.9,EMP08110
PR00156,EMP05238,2025-01-17,2.9,EMP07591
PR00157,EMP02750,2026-04-10,1.2,EMP07678
PR00158,EMP05665,2024-07-29,4.4,EMP08937
PR00159,EMP07839,2023-12-12,3.3,EMP03257
PR00160,EMP03523,2024-06-07,4.6,EMP09114
PR00161,EMP03663,2024-07-22,2.4,EMP07068
PR00162,EMP00443,2025-11-16,1.5,EMP09243
PR00163,EMP06687,2026-07-16,3.3,EMP00433
PR00164,EMP01403,2023-12-29,3.2,EMP09774
PR00165,EMP00211,2024-05-04,4.6,EMP08755
PR00166,EMP08986,2024-08-07,2.2,EMP09187
PR00167,EMP06993,2024-10-07,2.9,EMP03479
PR00168,EMP06501,2024-06-10,4.2,EMP00064
PR00169,EMP09802,2023-12-24,3.6,EMP06455
PR00170,EMP09901,2025-02-07,2.2,EMP01323
PR00171,EMP00578,2024-02-15,4.1,EMP08811
PR00172,EMP08997,2023-12-18,2.4,EMP07450
PR00173,EMP01998,2024-08-01,2.1,EMP01582
PR00174,EMP08325,2026-03-27,1.4,EMP09509
PR00175,EMP07676,2024-11-18,3.0,EMP00086
PR00176,EMP04523,2023-09-24,2.7,EMP05059
PR00177,EMP06836,2025-11-23,2.9,EMP09134
PR00178,EMP03923,2026-03-27,1.6,EMP08653
PR00179,EMP03867,2024-02-14,2.6,EMP05658
PR00180,EMP07401,2026-07-06,3.3,EMP00379
PR00181,EMP09310,2024-04-15,4.7,EMP04370
PR00182,EMP09193,2026-06-04,2.2,EMP04463
PR00183,EMP01640,2026-05-05,1.8,EMP03360
PR00184,EMP04286,2025-04-17,1.7,EMP03912
PR00185,EMP08222,2024-03-02,4.4,EMP00388
PR00186,EMP02143,2025-03-08,3.9,EMP00391
PR00187,EMP08328,2023-11-16,3.3,EMP07575
PR00188,EMP01403,2026-06-05,4.9,EMP00552
PR00189,EMP05565,2024-09-07,3.9,EMP05579
PR00190,EMP03692,2026-04-12,2.0,EMP03130
PR00191,EMP07282,2023-10-09,2.2,EMP09702
PR00192,EMP05868,2024-06-30,1.5,EMP08626
PR00193,EMP05475,2024-07-30,2.0,EMP04864
PR00194,EMP08308,2023-10-20,4.2,EMP02161
PR00195,EMP04885,2024-02-05,3.6,EMP01160
PR00196,EMP01589,2024-01-22,3.0,EMP06677
PR00197,EMP07789,2025-12-28,4.5,EMP02335
PR00198,EMP05008,2023-12-25,3.7,EMP07802
PR00199,EMP03399,2025-08-15,2.4,EMP06136
PR00200,EMP07860,2023-12-06,1.1,EMP05598
PR00201,EMP00206,2025-11-29,2.3,EMP06174
PR00202,EMP00772,2024-04-21,3.7,EMP07715
PR00203,EMP02748,2025-07-15,1.5,EMP02884
PR00204,EMP05037,2023-08-27,1.6,EMP06399
PR00205,EMP08301,2024-04-07,1.2,EMP04467
PR00206,EMP05365,2024-01-02,2.6,EMP03080
PR00207,EMP03007,2024-02-17,2.0,EMP03830
PR00208,EMP09698,2024-12-31,3.9,EMP06630
PR00209,EMP09179,2025-11-14,4.9,EMP04885
PR00210,EMP07878,2024-09-15,1.9,EMP04748
PR00211,EMP08002,2023-10-27,2.7,EMP02278
PR00212,EMP05262,2023-08-05,4.6,EMP05035
PR00213,EMP01943,2026-07-10,2.7,EMP04085
PR00214,EMP01686,2023-12-03,3.8,EMP01329
PR00215,EMP06963,2023-10-16,3.4,EMP08917
PR00216,EMP01331,2026-02-08,3.1,EMP06821
PR00217,EMP08248,2024-04-20,1.5,EMP04397
PR00218,EMP01929,2024-12-28,3.7,EMP05844
PR00219,EMP09793,2025-10-08,1.3,EMP09663
PR00220,EMP09963,2026-02-05,3.1,EMP08778
PR00221,EMP06840,2024-07-23,3.5,EMP09597
PR00222,EMP09710,2026-01-16,3.1,EMP05907
PR00223,EMP01768,2026-01-15,4.1,EMP06373
PR00224,EMP01875,2025-03-04,1.5,EMP04261
PR00225,EMP08561,2023-10-19,3.0,EMP06230
PR00226,EMP02706,2026-05-26,3.4,EMP03842
PR00227,EMP06346,2024-12-08,2.4,EMP09535
PR00228,EMP01031,2023-11-05,2.0,EMP07204
PR00229,EMP04669,2023-09-20,2.7,EMP04717
PR00230,EMP05261,2024-07-19,4.0,EMP04634
PR00231,EMP01625,2025-12-23,3.4,EMP05933
PR00232,EMP09866,2024-05-16,3.7,EMP09317
PR00233,EMP06082,2025-07-21,1.1,EMP01906
PR00234,EMP01035,2025-10-01,1.0,EMP06386
PR00235,EMP00686,2026-05-08,4.8,EMP05110
PR00236,EMP07714,2026-04-02,2.6,EMP02077
PR00237,EMP09077,2025-08-10,4.7,EMP08357
PR00238,EMP04223,2024-11-04,1.4,EMP03451
PR00239,EMP00945,2024-03-06,1.1,EMP00248
PR00240,EMP09846,2025-06-01,1.4,EMP02824
PR00241,EMP04903,2023-10-26,2.1,EMP00298
PR00242,EMP06393,2025-09-14,1.0,EMP02553
PR00243,EMP09514,2025-08-29,4.4,EMP05071
PR00244,EMP09158,2025-02-23,4.1,EMP03101
PR00245,EMP06660,2024-11-05,3.1,EMP00892
PR00246,EMP03294,2025-11-08,1.8,EMP09379
PR00247,EMP07149,2024-08-31,4.9,EMP06892
PR00248,EMP01790,2025-11-19,1.1,EMP05323
PR00249,EMP07704,2025-08-08,3.5,EMP01684
PR00250,EMP01658,2024-03-26,3.9,EMP08503
PR00251,EMP03350,2025-10-11,1.0,EMP00635
PR00252,EMP02229,2023-11-16,1.6,EMP07640
PR00253,EMP00287,2024-09-02,3.3,EMP01531
PR00254,EMP05083,2026-07-14,3.0,EMP01120
PR00255,EMP07258,2025-03-05,1.9,EMP01090
PR00256,EMP03522,2024-06-10,1.1,EMP06241
PR00257,EMP00430,2025-09-25,1.0,EMP01789
PR00258,EMP00543,2024-12-15,1.0,EMP06836
PR00259,EMP04069,2025-12-12,3.9,EMP05707
PR00260,EMP07081,2024-06-04,4.1,EMP06292
PR00261,EMP08510,2023-10-27,1.3,EMP06202
PR00262,EMP04838,2026-02-06,2.5,EMP07147
PR00263,EMP00523,2023-11-25,2.9,EMP09220
PR00264,EMP06329,2025-10-10,2.0,EMP04553
PR00265,EMP01106,2024-04-10,4.4,EMP09516
PR00266,EMP05546,2024-02-04,4.4,EMP00225
PR00267,EMP03817,2025-10-09,4.6,EMP02222
PR00268,EMP05680,2026-01-12,2.5,EMP06484
PR00269,EMP04023,2026-04-12,3.8,EMP01417
PR00270,EMP00776,2025-06-30,1.6,EMP00600
PR00271,EMP05823,2024-04-03,2.0,EMP02081
PR00272,EMP08605,2024-03-31,1.6,EMP03855
PR00273,EMP08918,2025-12-10,1.4,EMP02058
PR00274,EMP02778,2025-07-13,5.0,EMP06366
PR00275,EMP04026,2024-08-06,1.6,EMP02391
PR00276,EMP00975,2025-04-11,2.9,EMP03254
PR00277,EMP01152,2026-03-13,1.1,EMP02588
PR00278,EMP04408,2024-04-16,4.8,EMP00802
PR00279,EMP03456,2023-12-27,4.1,EMP06105
PR00280,EMP08165,2024-03-03,3.2,EMP06149
PR00281,EMP08636,2024-05-14,4.3,EMP02905
PR00282,EMP09355,2026-01-16,3.2,EMP07306
PR00283,EMP03407,2024-04-20,1.1,EMP04487
PR00284,EMP09254,2025-12-21,2.7,EMP06262
PR00285,EMP00940,2026-01-07,3.4,EMP05773
PR00286,EMP01120,2024-05-12,3.8,EMP04081
PR00287,EMP04890,2026-05-02,2.4,EMP00460
PR00288,EMP04344,2024-10-21,4.3,EMP04921
PR00289,EMP03758,2023-10-23,1.8,EMP04887
PR00290,EMP03789,2025-09-02,1.1,EMP08133
PR00291,EMP05352,2023-11-10,2.2,EMP02037
PR00292,EMP01318,2023-08-27,1.6,EMP06377
PR00293,EMP01646,2026-07-30,3.9,EMP06124
PR00294,EMP08090,2023-11-19,3.7,EMP06701
PR00295,EMP09601,2025-03-27,1.2,EMP07451
PR00296,EMP01431,2025-05-31,4.8,EMP05635
PR00297,EMP04885,2024-08-20,1.8,EMP03124
PR00298,EMP02637,2026-02-05,3.5,EMP00478
PR00299,EMP03500,2024-05-11,3.5,EMP06018
PR00300,EMP07294,2026-01-20,2.5,EMP05460
PR00301,EMP09472,2026-02-20,1.4,EMP07423
PR00302,EMP05507,2025-02-10,1.4,EMP06883
PR00303,EMP06139,2024-10-15,3.8,EMP04734
PR00304,EMP07414,2025-12-14,1.1,EMP08037
PR00305,EMP04252,2024-02-25,1.7,EMP07010
PR00306,EMP04833,2024-07-20,4.7,EMP00025
PR00307,EMP06667,2024-05-07,4.9,EMP07339
PR00308,EMP04562,2023-08-07,2.6,EMP00421
PR00309,EMP04678,2024-07-06,1.3,EMP06619
PR00310,EMP08965,2024-04-08,2.9,EMP01830
PR00311,EMP06885,2024-10-15,3.5,EMP02491
PR00312,EMP02113,2026-01-10,2.5,EMP09853
PR00313,EMP04460,2025-10-12,2.0,EMP01423
PR00314,EMP03450,2024-04-02,2.2,EMP07123
PR00315,EMP09957,2025-04-09,1.1,EMP05989
PR00316,EMP04889,2026-05-21,2.7,EMP06138
PR00317,EMP08431,2024-05-25,2.8,EMP05048
PR00318,EMP08287,2025-11-04,2.4,EMP09140
PR00319,EMP02761,2025-01-11,3.5,EMP09441
PR00320,EMP06796,2025-02-11,2.2,EMP04291
PR00321,EMP02280,2024-06-06,4.4,EMP05895
PR00322,EMP09981,2025-10-04,1.5,EMP01083
PR00323,EMP00167,2024-01-14,4.6,EMP04589
PR00324,EMP03338,2026-02-11,3.6,EMP09036
PR00325,EMP07712,2023-12-14,4.7,EMP02516
PR00326,EMP07548,2023-11-13,1.2,EMP09173
PR00327,EMP05643,2025-07-24,2.2,EMP06945
PR00328,EMP08406,2025-04-30,1.1,EMP08775
PR00329,EMP04808,2025-09-04,4.3,EMP01230
PR00330,EMP05429,2025-02-05,1.6,EMP09190
PR00331,EMP01265,2024-03-31,4.1,EMP07918
PR00332,EMP03771,2025-02-12,2.0,EMP04043
PR00333,EMP02189,2024-11-12,1.2,EMP07694
PR00334,EMP02970,2025-03-20,3.1,EMP09798
PR00335,EMP03412,2025-07-02,2.6,EMP05561
PR00336,EMP08058,2026-07-27,2.5,EMP09846
PR00337,EMP08357,2025-01-18,4.8,EMP01948
PR00338,EMP06312,2024-11-29,2.2,EMP02712
PR00339,EMP09569,2025-05-25,2.5,EMP04345
PR00340,EMP05600,2024-10-14,2.9,EMP04280
PR00341,EMP06770,2024-05-08,3.6,EMP01480
PR00342,EMP04029,2025-01-25,1.1,EMP03491
PR00343,EMP07704,2024-10-22,2.3,EMP07747
PR00344,EMP06456,2025-11-02,3.6,EMP06280
PR00345,EMP08932,2025-03-19,3.5,EMP00460
PR00346,EMP07274,2024-11-22,1.5,EMP02271
PR00347,EMP00448,2025-07-23,2.8,EMP09552
PR00348,EMP03195,2025-08-30,4.2,EMP09172
PR00349,EMP01528,2025-02-16,3.6,EMP08511
PR00350,EMP01803,2026-02-24,1.5,EMP09498
PR00351,EMP02927,2024-12-06,1.5,EMP05815
PR00352,EMP01060,2024-01-15,3.3,EMP08730
PR00353,EMP02695,2023-09-16,2.0,EMP09697
PR00354,EMP02009,2024-03-13,2.2,EMP03307
PR00355,EMP04807,2026-04-22,1.3,EMP06397
PR00356,EMP08861,2025-06-28,1.2,EMP01252
PR00357,EMP00372,2025-06-16,2.0,EMP00523
PR00358,EMP00082,2025-04-22,2.0,EMP05551
PR00359,EMP02749,2026-02-23,1.2,EMP09026
PR00360,EMP08823,2026-03-30,4.8,EMP06741
PR00361,EMP01908,2024-03-13,2.7,EMP09517
PR00362,EMP03825,2025-11-30,2.9,EMP02453
PR00363,EMP01917,2023-09-12,2.6,EMP00583
PR00364,EMP00896,2025-08-04,3.3,EMP03703
PR00365,EMP06991,2026-02-05,3.5,EMP01671
PR00366,EMP03854,2023-10-03,4.5,EMP01264
PR00367,EMP09776,2025-06-20,1.9,EMP02666
PR00368,EMP04070,2023-11-25,4.9,EMP04836
PR00369,EMP04354,2024-05-10,1.9,EMP06678
PR00370,EMP09795,2026-06-03,3.9,EMP04572
PR00371,EMP06942,2023-10-28,3.9,EMP06331
PR00372,EMP03492,2024-03-20,3.3,EMP00563
PR00373,EMP09834,2023-12-18,1.3,EMP07768
PR00374,EMP00993,2024-12-02,3.9,EMP00181
PR00375,EMP01360,2023-09-12,1.0,EMP00934
PR00376,EMP04441,2026-02-18,1.1,EMP06755
PR00377,EMP03882,2024-06-21,4.4,EMP07503
PR00378,EMP06952,2023-10-14,2.4,EMP06235
PR00379,EMP05926,2024-10-25,3.0,EMP07002
PR00380,EMP05660,2025-11-24,2.9,EMP02134
PR00381,EMP05865,2023-08-14,4.9,EMP02277
PR00382,EMP05109,2023-08-27,2.7,EMP00267
PR00383,EMP05129,2023-11-13,5.0,EMP08726
PR00384,EMP01944,2024-05-08,2.4,EMP06552
PR00385,EMP09953,2025-05-30,3.6,EMP01505
PR00386,EMP05942,2025-05-21,3.8,EMP04170
PR00387,EMP04951,2026-08-02,3.3,EMP00393
PR00388,EMP01966,2025-03-19,4.8,EMP07009
PR00389,EMP07141,2023-11-13,1.0,EMP05065
PR00390,EMP00147,2025-07-21,4.5,EMP07183
PR00391,EMP02368,2026-01-14,4.0,EMP00839
PR00392,EMP03211,2026-07-10,4.2,EMP02933
PR00393,EMP04028,2024-05-02,3.5,EMP09219
PR00394,EMP04300,2025-09-12,2.6,EMP00840
PR00395,EMP01701,2026-03-24,4.9,EMP01155
PR00396,EMP04439,2026-07-31,3.6,EMP09983
PR00397,EMP07593,2025-06-23,1.6,EMP05787
PR00398,EMP08742,2025-06-09,1.0,EMP02418
PR00399,EMP02076,2023-09-24,3.5,EMP03399
PR00400,EMP05112,2025-09-22,3.9,EMP07144
PR00401,EMP00608,2023-12-01,2.3,EMP05804
PR00402,EMP04799,2025-08-18,3.4,EMP07606
PR00403,EMP00721,2023-11-29,1.7,EMP02519
PR00404,EMP05745,2024-05-08,1.5,EMP07567
PR00405,EMP04424,2023-11-23,4.1,EMP02023
PR00406,EMP00774,2024-01-28,3.8,EMP05324
PR00407,EMP07108,2024-10-15,1.3,EMP08096
PR00408,EMP01426,2026-01-20,3.3,EMP05027
PR00409,EMP01764,2024-02-18,2.7,EMP09188
PR00410,EMP09723,2025-08-07,1.5,EMP01872
PR00411,EMP04672,2026-05-31,2.5,EMP01347
PR00412,EMP02203,2025-04-25,4.7,EMP01930
PR00413,EMP09645,2025-06-05,4.3,EMP05103
PR00414,EMP00630,2024-11-11,4.6,EMP00461
PR00415,EMP03684,2025-11-14,4.8,EMP02208
PR00416,EMP05968,2025-07-25,2.8,EMP06218
PR00417,EMP08520,2025-10-20,1.3,EMP02396
PR00418,EMP03346,2025-05-31,1.0,EMP01134
PR00419,EMP02700,2024-10-25,1.1,EMP08551
PR00420,EMP05347,2025-03-24,2.7,EMP08126
PR00421,EMP01572,2026-03-06,3.8,EMP04683
PR00422,EMP01402,2024-10-10,2.1,EMP02267
PR00423,EMP08256,2024-05-23,1.8,EMP02975
PR00424,EMP09410,2024-05-03,1.8,EMP00863
PR00425,EMP09305,2025-04-09,3.3,EMP09677
PR00426,EMP04569,2024-01-06,2.3,EMP02136
PR00427,EMP04870,2025-11-17,2.4,EMP06509
PR00428,EMP08789,2023-12-27,2.0,EMP09752
PR00429,EMP08802,2023-10-24,4.6,EMP04038
PR00430,EMP09163,2024-04-30,4.9,EMP09874
PR00431,EMP06246,2024-03-20,4.3,EMP09200
PR00432,EMP08439,2026-03-18,2.5,EMP07953
PR00433,EMP02921,2026-07-16,3.7,EMP01620
PR00434,EMP00523,2024-08-09,4.1,EMP06065
PR00435,EMP02297,2026-05-16,1.5,EMP02572
PR00436,EMP03703,2026-02-05,1.9,EMP02431
PR00437,EMP02942,2025-11-28,4.3,EMP00971
PR00438,EMP05439,2024-10-29,1.9,EMP02481
PR00439,EMP02743,2025-08-01,2.0,EMP04592
PR00440,EMP02133,2026-04-10,4.5,EMP06419
PR00441,EMP08909,2024-06-15,1.8,EMP01588
PR00442,EMP02442,2024-05-17,1.0,EMP02712
PR00443,EMP06590,2025-05-04,3.4,EMP06252
PR00444,EMP01047,2024-01-12,3.1,EMP06499
PR00445,EMP04877,2025-03-07,3.6,EMP06491
PR00446,EMP05634,2026-04-28,1.0,EMP02976
PR00447,EMP01475,2025-04-16,3.6,EMP06984
PR00448,EMP08408,2025-11-19,4.0,EMP04968
PR00449,EMP06104,2024-07-10,4.8,EMP08675
PR00450,EMP09996,2025-11-23,2.9,EMP02225
PR00451,EMP04686,2023-11-27,2.3,EMP06647
PR00452,EMP03620,2023-09-22,4.6,EMP05698
PR00453,EMP07885,2026-06-29,4.5,EMP01646
PR00454,EMP09235,2025-03-23,1.5,EMP03121
PR00455,EMP02824,2025-05-15,2.1,EMP01051
PR00456,EMP05847,2026-05-03,2.2,EMP07856
PR00457,EMP09910,2025-06-24,4.1,EMP07077
PR00458,EMP05905,2025-12-10,3.9,EMP02682
PR00459,EMP05863,2024-12-13,4.6,EMP09365
PR00460,EMP06596,2024-10-20,1.9,EMP00826
PR00461,EMP08089,2026-07-04,2.0,EMP01277
PR00462,EMP00414,2025-04-07,3.2,EMP02149
PR00463,EMP03360,2025-06-10,1.1,EMP02996
PR00464,EMP07704,2023-12-14,4.4,EMP06745
PR00465,EMP07844,2024-12-05,5.0,EMP05686
PR00466,EMP05682,2025-02-28,4.8,EMP09821
PR00467,EMP05101,2026-05-12,1.3,EMP05077
PR00468,EMP01229,2025-08-04,1.7,EMP03358
PR00469,EMP02047,2024-02-11,2.8,EMP07781
PR00470,EMP08650,2025-01-21,2.8,EMP09687
PR00471,EMP01187,2025-11-27,3.9,EMP09112
PR00472,EMP07609,2024-10-21,1.6,EMP05190
PR00473,EMP03981,2025-10-10,4.4,EMP01215
PR00474,EMP05580,2025-12-31,1.6,EMP03792
PR00475,EMP05190,2024-05-26,4.1,EMP05069
PR00476,EMP06622,2024-06-30,4.4,EMP07173
PR00477,EMP02874,2024-10-14,1.9,EMP01146
PR00478,EMP01336,2026-02-03,2.6,EMP03671
PR00479,EMP01858,2026-01-04,1.1,EMP02091
PR00480,EMP00094,2025-07-05,4.8,EMP01711
PR00481,EMP04782,2025-03-22,1.7,EMP04755
PR00482,EMP04125,2024-09-05,4.9,EMP01024
PR00483,EMP09481,2026-03-07,3.2,EMP04924
PR00484,EMP00553,2023-12-10,1.5,EMP01134
PR00485,EMP08140,2024-09-07,2.2,EMP01297
PR00486,EMP01888,2025-01-29,1.6,EMP05711
PR00487,EMP06105,2024-09-25,2.5,EMP08464
PR00488,EMP09038,2025-03-19,4.0,EMP01897
PR00489,EMP02434,2024-10-16,3.9,EMP08673
PR00490,EMP09419,2024-12-02,4.8,EMP04893
PR00491,EMP04674,2025-04-21,3.0,EMP03172
PR00492,EMP01387,2024-07-23,1.7,EMP00339
PR00493,EMP01124,2026-02-18,3.2,EMP08233
PR00494,EMP04097,2024-04-10,4.4,EMP09031
PR00495,EMP07300,2025-09-28,1.5,EMP01515
PR00496,EMP09857,2025-01-17,4.4,EMP01248
PR00497,EMP06615,2024-09-04,3.0,EMP05444
PR00498,EMP06599,2024-02-29,4.0,EMP06374
