project_id,skill_id,required_proficiency
PRJ3322,SK0098,3
PRJ1586,SK0238,2
PRJ3755,SK0267,2
PRJ0217,SK0137,4
PRJ3551,SK0178,4
PRJ3591,SK0059,4
PRJ2191,SK0180,3
PRJ3887,SK0092,3
PRJ1531,SK0179,4
PRJ2294,SK0047,3
PRJ4626,SK0024,3
PRJ3126,SK0269,4
PRJ2947,SK0094,3
PRJ2103,SK0285,2
PRJ4755,SK0299,2
PRJ4728,SK0100,3
PRJ4418,SK0209,2
PRJ1572,SK0047,3
PRJ1797,SK0124,3
PRJ3374,SK0007,4
PRJ3391,SK0009,2
PRJ1346,SK0259,4
PRJ1490,SK0075,4
PRJ1901,SK0297,3
PRJ2794,SK0049,4
PRJ3245,SK0286,4
PRJ1359,SK0080,2
PRJ1675,SK0064,2
PRJ3595,SK0018,2
PRJ1186,SK0146,2
PRJ4472,SK0289,3
PRJ2192,SK0040,2
PRJ0572,SK0050,4
PRJ1098,SK0271,4
PRJ0925,SK0290,4
PRJ4553,SK0217,3
PRJ2676,SK0013,4
PRJ0987,SK0210,2
PRJ0575,SK0178,2
PRJ3722,SK0130,3
PRJ1456,SK0085,3
PRJ2662,SK0155,4
PRJ0569,SK0275,3
PRJ1552,SK0141,4
PRJ3846,SK0299,2
PRJ4112,SK0213,4
PRJ3174,SK0197,3
PRJ3350,SK0147,4
PRJ4760,SK0229,2
PRJ4502,SK0012,4
PRJ1300,SK0247,4
PRJ4074,SK0236,2
PRJ0699,SK0017,2
PRJ1112,SK0104,2
PRJ3343,SK0116,4
PRJ2258,SK0120,2
PRJ2600,SK0173,4
PRJ4815,SK0116,3
PRJ4520,SK0173,4
PRJ3345,SK0206,3
PRJ4507,SK0285,4
PRJ0924,SK0100,3
PRJ3383,SK0161,4
PRJ0640,SK0120,2
PRJ4538,SK0229,2
PRJ2177,SK0155,3
PRJ2113,SK0257,2
PRJ1257,SK0134,3
PRJ1848,SK0202,3
PRJ1831,SK0086,4
PRJ2826,SK0158,4
PRJ1405,SK0270,4
PRJ2034,SK0255,4
PRJ1197,SK0076,2
PRJ1377,SK0061,3
PRJ2464,SK0259,3
PRJ4914,SK0073,2
PRJ1711,SK0037,2
PRJ2001,SK0191,4
PRJ1347,SK0050,2
PRJ4495,SK0103,4
PRJ1961,SK0183,2
PRJ4385,SK0263,3
PRJ3961,SK0130,3
PRJ2675,SK0218,3
PRJ3108,SK0076,3
PRJ2477,SK0095,4
PRJ2577,SK0236,2
PRJ4965,SK0078,2
PRJ0755,SK0197,3
PRJ0289,SK0229,2
PRJ4482,SK0189,2
PRJ4593,SK0119,2
PRJ4101,SK0290,2
PRJ0263,SK0256,2
PRJ0626,SK0110,3
PRJ4170,SK0101,4
PRJ3688,SK0285,2
PRJ2048,SK0290,3
PRJ0629,SK0073,4
PRJ4445,SK0220,4
PRJ1416,SK0178,4
PRJ2965,SK0096,3
PRJ4365,SK0271,2
PRJ2203,SK0110,2
PRJ1026,SK0162,2
PRJ2631,SK0071,3
PRJ4009,SK0275,2
PRJ4237,SK0180,2
PRJ0483,SK0080,4
PRJ2904,SK0143,3
PRJ1917,SK0298,3
PRJ0589,SK0118,2
PRJ3986,SK0008,2
PRJ1014,SK0268,3
PRJ1273,SK0077,4
PRJ3590,SK0183,2
PRJ3805,SK0046,3
PRJ2516,SK0296,4
PRJ0199,SK0169,3
PRJ2928,SK0265,2
PRJ1190,SK0125,2
PRJ0637,SK0080,3
PRJ0744,SK0048,4
PRJ0696,SK0189,4
PRJ0265,SK0050,3
PRJ1998,SK0040,4
PRJ0872,SK0089,4
PRJ3308,SK0203,4
PRJ0822,SK0157,4
PRJ2251,SK0117,4
PRJ4176,SK0082,4
PRJ2153,SK0218,2
PRJ2033,SK0028,2
PRJ0951,SK0089,4
PRJ0078,SK0095,2
PRJ0629,SK0063,3
PRJ3895,SK0114,2
PRJ3859,SK0037,3
PRJ4781,SK0282,3
PRJ1837,SK0124,4
PRJ1694,SK0041,4
PRJ2501,SK0243,3
PRJ1631,SK0276,3
PRJ0847,SK0269,4
PRJ0101,SK0006,2
PRJ1985,SK0005,4
PRJ3328,SK0172,3
PRJ2102,SK0228,3
PRJ1778,SK0120,4
PRJ0807,SK0145,2
PRJ3997,SK0239,4
PRJ4542,SK0242,2
PRJ0943,SK0237,4
PRJ1379,SK0089,4
PRJ0111,SK0017,4
PRJ3532,SK0126,2
PRJ1656,SK0140,4
PRJ2994,SK0158,4
PRJ3726,SK0236,3
PRJ3612,SK0004,2
PRJ1208,SK0190,2
PRJ4879,SK0027,3
PRJ2579,SK0072,3
PRJ2363,SK0082,2
PRJ1925,SK0112,4
PRJ3467,SK0028,2
PRJ4880,SK0138,2
PRJ4660,SK0110,3
PRJ1062,SK0279,3
PRJ3238,SK0223,2
PRJ3036,SK0120,3
PRJ3599,SK0186,4
PRJ2348,SK0005,2
PRJ2547,SK0083,4
PRJ0689,SK0109,2
PRJ3253,SK0086,2
PRJ4936,SK0213,4
PRJ1504,SK0144,4
PRJ0870,SK0051,3
PRJ1588,SK0076,2
PRJ2438,SK0073,2
PRJ2647,SK0068,2
PRJ2100,SK0203,2
PRJ0357,SK0135,2
PRJ4358,SK0150,2
PRJ1354,SK0101,4
PRJ2555,SK0292,3
PRJ1468,SK0167,4
PRJ3013,SK0059,4
PRJ4789,SK0139,4
PRJ1491,SK0147,2
PRJ4867,SK0022,2
PRJ2977,SK0052,4
PRJ4668,SK0035,4
PRJ4671,SK0066,2
PRJ0195,SK0162,2
PRJ2302,SK0190,3
PRJ3092,SK0150,4
PRJ3874,SK0066,4
PRJ1905,SK0122,3
PRJ3911,SK0135,3
PRJ2489,SK0165,4
PRJ2646,SK0122,3
PRJ4323,SK0107,4
PRJ2777,SK0074,4
PRJ4262,SK0100,3
PRJ2048,SK0297,4
PRJ2834,SK0188,3
PRJ2459,SK0142,3
PRJ4549,SK0026,2
PRJ2706,SK0167,4
PRJ1460,SK0135,3
PRJ3523,SK0293,3
PRJ3856,SK0184,3
PRJ2940,SK0075,3
PRJ0622,SK0139,4
PRJ0157,SK0115,3
PRJ3642,SK0184,2
PRJ0594,SK0089,3
PRJ4286,SK0003,4
PRJ4872,SK0141,4
PRJ2086,SK0251,2
PRJ4393,SK0291,2
PRJ3898,SK0133,4
PRJ4070,SK0242,4
PRJ0978,SK0097,2
PRJ3041,SK0024,4
PRJ2127,SK0286,2
PRJ1070,SK0234,3
PRJ0163,SK0220,3
PRJ4204,SK0095,4
PRJ3432,SK0099,3
PRJ3259,SK0211,2
PRJ4757,SK0051,4
PRJ4326,SK0263,3
PRJ3542,SK0144,2
PRJ1920,SK0296,2
PRJ2517,SK0175,3
PRJ1979,SK0215,2
PRJ1146,SK0048,2
PRJ3126,SK0113,4
PRJ1569,SK0140,3
PRJ0915,SK0136,4
PRJ2374,SK0275,2
PRJ1360,SK0066,4
PRJ2451,SK0128,4
PRJ2152,SK0027,2
PRJ0306,SK0070,2
PRJ3372,SK0038,2
PRJ3798,SK0298,3
PRJ2352,SK0185,4
PRJ1366,SK0136,2
PRJ4181,SK0138,4
PRJ2687,SK0250,2
PRJ1072,SK0126,4
PRJ4229,SK0077,2
PRJ1207,SK0048,2
PRJ0491,SK0064,3
PRJ4212,SK0286,3
PRJ3095,SK0158,2
PRJ4356,SK0093,4
PRJ3671,SK0069,3
PRJ3383,SK0047,2
PRJ2436,SK0012,4
PRJ3507,SK0212,4
PRJ0219,SK0151,2
PRJ1513,SK0179,3
PRJ1972,SK0264,3
PRJ2777,SK0240,4
PRJ3494,SK0049,2
PRJ2834,SK0089,4
PRJ2962,SK0052,3
PRJ2736,SK0182,2
PRJ4181,SK0263,3
PRJ2652,SK0012,2
PRJ1298,SK0231,4
PRJ0359,SK0282,3
PRJ1414,SK0082,2
PRJ3601,SK0214,2
PRJ2568,SK0234,2
PRJ1127,SK0184,2
PRJ1183,SK0146,4
PRJ2250,SK0222,2
PRJ0387,SK0185,4
PRJ3699,SK0006,3
PRJ0333,SK0050,4
PRJ3381,SK0283,3
PRJ4143,SK0220,4
PRJ2002,SK0010,2
PRJ4613,SK0249,3
PRJ4177,SK0005,3
PRJ1117,SK0179,4
PRJ1563,SK0239,4
PRJ1261,SK0201,2
PRJ0944,SK0141,3
PRJ3567,SK0272,2
PRJ1863,SK0071,3
PRJ0079,SK0287,3
PRJ3109,SK0089,2
PRJ0701,SK0031,3
PRJ3389,SK0079,2
PRJ4037,SK0299,3
PRJ0100,SK0276,4
PRJ2445,SK0209,2
PRJ4710,SK0239,2
PRJ1965,SK0149,2
PRJ1923,SK0145,3
PRJ0517,SK0198,2
PRJ0695,SK0015,3
PRJ4004,SK0171,3
PRJ0198,SK0185,4
PRJ2315,SK0117,4
PRJ3140,SK0035,2
PRJ1890,SK0262,3
PRJ4381,SK0297,4
PRJ3239,SK0269,2
PRJ1009,SK0112,4
PRJ3482,SK0091,2
PRJ3905,SK0276,3
PRJ0334,SK0182,4
PRJ0285,SK0026,4
PRJ0862,SK0039,4
PRJ1137,SK0098,2
PRJ4789,SK0093,3
PRJ0150,SK0150,4
PRJ1898,SK0243,2
PRJ4967,SK0059,4
PRJ2632,SK0145,2
PRJ3792,SK0169,4
PRJ2660,SK0142,2
PRJ0642,SK0120,3
PRJ1900,SK0221,3
PRJ0882,SK0058,2
PRJ1737,SK0288,3
PRJ4972,SK0129,4
PRJ4070,SK0152,4
PRJ1223,SK0046,2
PRJ2544,SK0082,3
PRJ2454,SK0124,4
PRJ1635,SK0146,3
PRJ4327,SK0150,4
PRJ2141,SK0273,4
PRJ4302,SK0261,2
PRJ1575,SK0064,2
PRJ1732,SK0083,2
PRJ1672,SK0019,4
PRJ0670,SK0048,3
PRJ2963,SK0011,4
PRJ1594,SK0248,4
PRJ0278,SK0185,3
PRJ2936,SK0222,3
PRJ2011,SK0210,4
PRJ4666,SK0289,3
PRJ0957,SK0184,3
PRJ2499,SK0127,2
PRJ3977,SK0276,3
PRJ2679,SK0173,3
PRJ1137,SK0177,3
PRJ3497,SK0231,2
PRJ1627,SK0091,3
PRJ2555,SK0185,3
PRJ1040,SK0270,3
PRJ3546,SK0136,2
PRJ4043,SK0146,4
PRJ4766,SK0066,4
PRJ4218,SK0070,3
PRJ4240,SK0205,2
PRJ0449,SK0054,4
PRJ4064,SK0112,3
PRJ2687,SK0081,2
PRJ4805,SK0022,3
PRJ2699,SK0036,2
PRJ1396,SK0114,3
PRJ0676,SK0093,4
PRJ3459,SK0145,2
PRJ1195,SK0148,3
PRJ2859,SK0032,2
PRJ4193,SK0277,3
PRJ1900,SK0227,2
PRJ3872,SK0269,4
PRJ4835,SK0060,3
PRJ2723,SK0185,2
PRJ3202,SK0061,4
PRJ4222,SK0218,2
PRJ2607,SK0037,2
PRJ2711,SK0209,2
PRJ2635,SK0101,3
PRJ4692,SK0233,2
PRJ4200,SK0165,4
PRJ1198,SK0098,4
PRJ0449,SK0077,2
PRJ1880,SK0071,3
PRJ3629,SK0105,3
PRJ2392,SK0082,2
PRJ3607,SK0292,2
PRJ3499,SK0150,2
PRJ4852,SK0231,3
PRJ4204,SK0017,4
PRJ2901,SK0129,2
PRJ2748,SK0208,4
PRJ4083,SK0300,4
PRJ0092,SK0091,2
PRJ3382,SK0080,4
PRJ3933,SK0165,2
PRJ4473,SK0253,2
PRJ2206,SK0038,4
PRJ2824,SK0183,3
PRJ4275,SK0187,3
PRJ0461,SK0066,4
PRJ2163,SK0046,2
PRJ1323,SK0257,2
PRJ2614,SK0258,4
PRJ2225,SK0256,4
PRJ4140,SK0121,3
PRJ4428,SK0258,2
PRJ4481,SK0024,3
PRJ4360,SK0117,4
PRJ1265,SK0253,2
PRJ4897,SK0287,2
PRJ0742,SK0004,4
PRJ1166,SK0183,4
PRJ1526,SK0053,3
PRJ2348,SK0220,3
PRJ0633,SK0073,2
PRJ4648,SK0288,3
PRJ4245,SK0137,3
PRJ2951,SK0010,4
PRJ3159,SK0002,4
PRJ3549,SK0269,4
PRJ0492,SK0135,4
PRJ0257,SK0067,3
PRJ3954,SK0215,3
PRJ2765,SK0255,4
PRJ3646,SK0057,2
PRJ3195,SK0140,2
PRJ1404,SK0298,4
PRJ1655,SK0256,4
PRJ0492,SK0203,3
PRJ4814,SK0113,4
PRJ4210,SK0187,3
PRJ2894,SK0187,2
PRJ2496,SK0043,4
PRJ2443,SK0164,2
PRJ1082,SK0153,2
PRJ0896,SK0045,3
PRJ3087,SK0081,3
PRJ3829,SK0069,4
PRJ1487,SK0102,2
PRJ4670,SK0067,2
PRJ0863,SK0219,3
PRJ0333,SK0029,3
PRJ1405,SK0039,2
PRJ3678,SK0187,2
PRJ2804,SK0112,2
PRJ4218,SK0297,3
PRJ2001,SK0184,2
PRJ2843,SK0165,4
PRJ4994,SK0092,4
PRJ2731,SK0243,2
PRJ0619,SK0208,4
PRJ3400,SK0273,3
PRJ2491,SK0124,4
PRJ0444,SK0117,2
PRJ3419,SK0174,2
PRJ3463,SK0091,4
PRJ2226,SK0044,4
PRJ3489,SK0146,2
PRJ4130,SK0214,2
PRJ4036,SK0146,2
PRJ0955,SK0222,3
PRJ4965,SK0247,2
PRJ0840,SK0031,2
PRJ3393,SK0153,3
PRJ3139,SK0175,4
PRJ3012,SK0176,4
PRJ3326,SK0213,2
PRJ1235,SK0242,4
PRJ0939,SK0212,2
PRJ3007,SK0167,3
PRJ1057,SK0227,2
PRJ2773,SK0216,4
PRJ4745,SK0137,3
PRJ0158,SK0280,2
PRJ2444,SK0146,4
PRJ0549,SK0295,4
PRJ2971,SK0290,3
PRJ1422,SK0118,4
PRJ1553,SK0084,4
PRJ2388,SK0241,4
PRJ3743,SK0180,2
PRJ0957,SK0081,4
PRJ0589,SK0049,2
PRJ3695,SK0092,2
PRJ0570,SK0057,4
PRJ2439,SK0143,4
PRJ1360,SK0260,2
PRJ1168,SK0023,3
PRJ3536,SK0066,2
PRJ0928,SK0008,3
PRJ3317,SK0160,4
PRJ2128,SK0284,3
PRJ1018,SK0232,2
PRJ4522,SK0137,4
PRJ1004,SK0289,4
PRJ3312,SK0246,4
PRJ1425,SK0257,2
PRJ2987,SK0209,2
PRJ3717,SK0244,2
PRJ0481,SK0027,4
PRJ3727,SK0217,2
PRJ4877,SK0024,3
PRJ2260,SK0257,2
PRJ4611,SK0034,4
PRJ1998,SK0023,2
PRJ0156,SK0060,2
PRJ4836,SK0194,3
PRJ4396,SK0061,2
PRJ3335,SK0140,4
PRJ4992,SK0209,4
PRJ4464,SK0018,3
PRJ4599,SK0086,2
PRJ2545,SK0226,2
PRJ2705,SK0208,4
PRJ1024,SK0225,2
PRJ4809,SK0289,4
PRJ4063,SK0182,4
PRJ3571,SK0084,2
PRJ3037,SK0047,4
PRJ4000,SK0156,4
PRJ3761,SK0032,2
PRJ0679,SK0234,4
PRJ3265,SK0229,2
PRJ4881,SK0002,3
PRJ0839,SK0106,4
PRJ2338,SK0261,4
PRJ1421,SK0075,2
PRJ3676,SK0207,2
PRJ1552,SK0107,3
PRJ2852,SK0216,3
PRJ2459,SK0150,3
PRJ0165,SK0143,3
PRJ1058,SK0166,4
PRJ0985,SK0282,4
PRJ4540,SK0240,4
PRJ2920,SK0198,2
PRJ2373,SK0028,3
PRJ3343,SK0128,3
PRJ0811,SK0092,3
PRJ4045,SK0100,3
PRJ4208,SK0152,2
PRJ2962,SK0272,3
PRJ3546,SK0224,4
PRJ0139,SK0286,3
PRJ0004,SK0192,3
PRJ3959,SK0187,3
PRJ3382,SK0211,4
PRJ3396,SK0058,4
PRJ1355,SK0053,2
PRJ3321,SK0020,4
PRJ2830,SK0001,2
PRJ1045,SK0122,2
PRJ3257,SK0130,3
PRJ2254,SK0118,4
PRJ0109,SK0296,3
PRJ0349,SK0154,2
PRJ0524,SK0190,4
PRJ1753,SK0278,4
PRJ1830,SK0262,4
PRJ2878,SK0086,2
PRJ2988,SK0017,3
PRJ4659,SK0067,4
PRJ4267,SK0136,4
PRJ3722,SK0081,4
PRJ2409,SK0173,4
PRJ2175,SK0207,4
PRJ4734,SK0083,2
PRJ3890,SK0086,3
PRJ3110,SK0061,4
PRJ3254,SK0041,3
PRJ1638,SK0039,3
PRJ0172,SK0262,3
PRJ3173,SK0115,3
PRJ0253,SK0061,2
PRJ4069,SK0134,4
PRJ2003,SK0007,3
PRJ4661,SK0158,4
PRJ2029,SK0010,4
PRJ4160,SK0240,2
PRJ4531,SK0069,3
PRJ0856,SK0232,3
PRJ3783,SK0152,3
PRJ4646,SK0242,3
PRJ2532,SK0283,4
PRJ3148,SK0092,2
PRJ3917,SK0141,4
PRJ0170,SK0026,3
PRJ2086,SK0094,3
PRJ4390,SK0201,3
PRJ0338,SK0030,2
PRJ2722,SK0059,2
PRJ0988,SK0021,3
PRJ2445,SK0085,2
PRJ3484,SK0071,4
PRJ1490,SK0150,3
PRJ0430,SK0275,4
PRJ0818,SK0077,3
PRJ4904,SK0181,2
PRJ0284,SK0124,3
PRJ1789,SK0102,2
PRJ0739,SK0036,4
PRJ3776,SK0034,4
PRJ2006,SK0089,2
PRJ0726,SK0230,4
PRJ4876,SK0238,4
PRJ2832,SK0051,3
PRJ0447,SK0097,4
PRJ3677,SK0195,4
PRJ0590,SK0133,4
PRJ1883,SK0087,2
PRJ1522,SK0036,3
PRJ4970,SK0044,2
PRJ4447,SK0023,3
PRJ0101,SK0029,2
PRJ3055,SK0182,2
PRJ2929,SK0086,4
PRJ2708,SK0093,2
PRJ1142,SK0146,2
PRJ4674,SK0047,4
PRJ1767,SK0153,3
PRJ1839,SK0081,2
PRJ3514,SK0293,2
PRJ3269,SK0252,4
PRJ0366,SK0076,4
PRJ3426,SK0038,2
PRJ1689,SK0043,4
PRJ2967,SK0293,4
PRJ3021,SK0186,3
PRJ1303,SK0101,4
PRJ0774,SK0020,2
PRJ0556,SK0174,2
PRJ3530,SK0268,3
PRJ2354,SK0037,4
PRJ1996,SK0196,4
PRJ3150,SK0109,2
PRJ4202,SK0237,4
PRJ3628,SK0078,3
PRJ4028,SK0282,3
PRJ2865,SK0018,3
PRJ2817,SK0185,4
PRJ2410,SK0280,2
PRJ1296,SK0239,3
PRJ3644,SK0079,2
PRJ0487,SK0276,3
PRJ2362,SK0201,4
PRJ2008,SK0185,4
PRJ2795,SK0294,3
PRJ4569,SK0019,4
PRJ4006,SK0062,2
PRJ4062,SK0042,4
PRJ3709,SK0110,2
PRJ4613,SK0203,3
PRJ4473,SK0137,3
PRJ1960,SK0095,4
PRJ4729,SK0144,4
PRJ4860,SK0170,4
PRJ0107,SK0056,3
PRJ4333,SK0259,4
PRJ3133,SK0068,2
PRJ3230,SK0148,4
PRJ2816,SK0026,2
PRJ3994,SK0276,2
PRJ0772,SK0174,2
PRJ3730,SK0272,3
PRJ1288,SK0245,3
PRJ2803,SK0158,2
PRJ2919,SK0263,3
PRJ0825,SK0168,3
PRJ1963,SK0035,4
PRJ4280,SK0144,2
PRJ0148,SK0282,3
PRJ1539,SK0236,4
PRJ0537,SK0108,4
PRJ0128,SK0148,2
PRJ4303,SK0069,4
PRJ4334,SK0038,2
PRJ0227,SK0107,2
PRJ2446,SK0179,2
PRJ2093,SK0105,4
PRJ1245,SK0117,4
PRJ1937,SK0108,4
PRJ0318,SK0022,2
PRJ4155,SK0101,4
PRJ1987,SK0005,3
PRJ2208,SK0138,3
PRJ2204,SK0056,2
PRJ4959,SK0126,2
PRJ0781,SK0110,3
PRJ0025,SK0019,4
PRJ3874,SK0104,2
PRJ3445,SK0193,4
PRJ1850,SK0003,4
PRJ0723,SK0172,4
PRJ2623,SK0036,2
PRJ0475,SK0074,4
PRJ1398,SK0206,3
PRJ4604,SK0117,3
PRJ1634,SK0194,2
PRJ2569,SK0276,4
PRJ2175,SK0253,2
PRJ0239,SK0046,4
PRJ4691,SK0178,3
PRJ1573,SK0244,3
PRJ2890,SK0213,4
PRJ0610,SK0056,2
PRJ4573,SK0287,3
PRJ3626,SK0277,2
PRJ2230,SK0034,4
PRJ0529,SK0241,3
PRJ4591,SK0158,2
PRJ3317,SK0255,3
PRJ4893,SK0023,2
PRJ0382,SK0107,4
PRJ3252,SK0099,4
PRJ4958,SK0168,3
PRJ3646,SK0064,3
PRJ4404,SK0123,4
PRJ3673,SK0232,2
PRJ1103,SK0156,2
PRJ1566,SK0001,2
PRJ2708,SK0281,2
PRJ3240,SK0189,2
PRJ4483,SK0287,3
PRJ2955,SK0053,3
PRJ0752,SK0144,4
PRJ1579,SK0013,4
PRJ0253,SK0006,3
PRJ2249,SK0088,4
PRJ2974,SK0258,2
PRJ2050,SK0265,3
PRJ1532,SK0197,3
PRJ2004,SK0257,2
PRJ4159,SK0288,3
PRJ3494,SK0102,2
PRJ2020,SK0271,4
PRJ0723,SK0223,3
PRJ4546,SK0278,2
PRJ4184,SK0079,3
PRJ0392,SK0189,4
PRJ4002,SK0295,4
PRJ4991,SK0140,2
PRJ2797,SK0229,2
PRJ3533,SK0038,4
PRJ2170,SK0084,2
PRJ3220,SK0124,4
PRJ1139,SK0095,3
PRJ0903,SK0163,4
PRJ4323,SK0198,4
PRJ1626,SK0275,3
PRJ2211,SK0170,2
PRJ2254,SK0276,4
PRJ4124,SK0003,3
PRJ0574,SK0063,4
PRJ4902,SK0184,2
PRJ3820,SK0274,3
PRJ0102,SK0040,2
PRJ0325,SK0254,3
PRJ1992,SK0045,2
PRJ3314,SK0086,3
PRJ3817,SK0273,3
PRJ4844,SK0005,2
PRJ0387,SK0090,2
PRJ2813,SK0229,2
PRJ3055,SK0158,2
PRJ4286,SK0011,2
PRJ1358,SK0244,2
PRJ2182,SK0153,4
PRJ2034,SK0128,2
PRJ4206,SK0020,4
PRJ4946,SK0296,2
PRJ2201,SK0156,2
PRJ2771,SK0263,2
PRJ2285,SK0129,2
PRJ2401,SK0023,3
PRJ3946,SK0113,3
PRJ3596,SK0066,2
PRJ2486,SK0209,3
PRJ1036,SK0282,2
PRJ4417,SK0098,2
PRJ3259,SK0124,4
PRJ2241,SK0041,4
PRJ1490,SK0266,4
PRJ2415,SK0124,4
PRJ2083,SK0037,4
PRJ1686,SK0240,4
PRJ3394,SK0177,4
PRJ1875,SK0040,2
PRJ1390,SK0241,4
PRJ4388,SK0199,3
PRJ4100,SK0202,4
PRJ4115,SK0086,4
PRJ0374,SK0085,2
PRJ1704,SK0017,2
PRJ1514,SK0270,2
PRJ4137,SK0011,2
PRJ2094,SK0267,3
PRJ0763,SK0193,2
PRJ0163,SK0145,2
PRJ3806,SK0143,3
PRJ2475,SK0190,2
PRJ0092,SK0053,2
PRJ4593,SK0293,3
PRJ1749,SK0049,3
PRJ3169,SK0033,2
PRJ3988,SK0126,3
PRJ0331,SK0166,2
PRJ2577,SK0107,4
PRJ3956,SK0165,2
PRJ2757,SK0179,4
PRJ3478,SK0222,2
PRJ0733,SK0014,2
PRJ0695,SK0272,4
PRJ3758,SK0219,3
PRJ4774,SK0268,2
PRJ4266,SK0023,4
PRJ1208,SK0049,4
PRJ4811,SK0253,3
PRJ1034,SK0272,3
PRJ1350,SK0267,4
PRJ4494,SK0060,2
PRJ2789,SK0273,3
PRJ2000,SK0282,4
PRJ0195,SK0161,4
PRJ4723,SK0024,3
PRJ0100,SK0079,4
PRJ3650,SK0269,3
PRJ4076,SK0120,2
PRJ3735,SK0277,3
PRJ3897,SK0080,2
PRJ3210,SK0253,3
PRJ4725,SK0143,3
PRJ1309,SK0090,2
PRJ3560,SK0027,4
PRJ3975,SK0185,4
PRJ2734,SK0298,4
PRJ4145,SK0199,4
PRJ4806,SK0175,2
PRJ0116,SK0014,3
PRJ0095,SK0032,4
PRJ1837,SK0067,3
PRJ1333,SK0214,4
PRJ0557,SK0060,4
PRJ1817,SK0018,4
PRJ0354,SK0044,2
PRJ0101,SK0018,4
PRJ2611,SK0167,4
PRJ3482,SK0219,2
PRJ1370,SK0155,3
PRJ0179,SK0006,2
PRJ0328,SK0225,3
PRJ0317,SK0268,3
PRJ4471,SK0269,3
PRJ3726,SK0160,2
PRJ4466,SK0095,2
PRJ1520,SK0027,3
PRJ0522,SK0223,3
PRJ0764,SK0039,4
PRJ3215,SK0231,2
PRJ1298,SK0285,3
PRJ4951,SK0097,3
PRJ3049,SK0256,2
PRJ4827,SK0114,3
PRJ0669,SK0204,2
PRJ4213,SK0203,3
PRJ4644,SK0247,2
PRJ3005,SK0081,3
PRJ1887,SK0107,2
PRJ3406,SK0090,2
PRJ0995,SK0124,4
PRJ3768,SK0254,2
PRJ1246,SK0206,3
PRJ4694,SK0207,3
PRJ0440,SK0020,4
PRJ4715,SK0108,4
PRJ1630,SK0256,2
PRJ0131,SK0212,4
PRJ0990,SK0247,2
PRJ2736,SK0206,3
PRJ3389,SK0282,2
PRJ1248,SK0223,4
