job_title,date,open_positions,average_market_salary
Sports coach,2025-03-13,2047,182957.83
Chief of Staff,2026-01-31,3132,117221.07
"Administrator, Civil Service",2025-10-19,1592,147569.65
Clinical research associate,2025-09-15,3838,58176.55
"Scientist, research (maths)",2025-05-14,3403,107913.68
Chiropodist,2026-05-03,1956,153666.35
Chief Marketing Officer,2025-10-08,3689,181667.42
"Scientist, physiological",2026-05-30,320,199331.79
"Surveyor, commercial/residential",2026-03-15,4223,118634.0
Ecologist,2025-11-08,3418,76295.86
"Engineer, water",2026-07-31,1757,153596.54
"Engineer, water",2024-12-08,1032,173232.73
Legal executive,2026-07-05,4615,169681.46
Chartered management accountant,2026-03-04,3291,79191.49
"Scientist, biomedical",2025-11-10,375,56013.79
Phytotherapist,2024-09-10,475,167873.71
"Civil engineer, consulting",2025-08-31,1204,180730.78
Event organiser,2025-01-22,2900,185040.21
Food technologist,2025-10-11,2585,138090.79
Adult guidance worker,2026-03-01,4433,62023.43
Fitness centre manager,2026-04-27,1179,121956.72
"Restaurant manager, fast food",2026-07-02,283,186742.36
Horticultural consultant,2024-12-30,2870,175210.17
Careers adviser,2025-08-05,3652,123697.61
Television/film/video producer,2026-04-05,3944,123975.6
"Engineer, materials",2024-09-11,4114,67314.22
"Development worker, international aid",2026-01-19,3957,148644.15
"Engineer, communications",2025-01-31,2641,123798.23
"Engineer, broadcasting (operations)",2025-11-21,4479,170697.64
Horticultural consultant,2025-05-28,883,75090.5
Fine artist,2025-07-18,1303,172028.81
Print production planner,2024-09-18,750,82356.55
Copy,2025-09-10,3426,193367.47
Therapeutic radiographer,2025-01-23,2022,176657.69
Telecommunications researcher,2024-12-30,2793,196448.7
Oncologist,2026-04-07,4041,70265.94
Musician,2025-06-30,1168,163176.36
Podiatrist,2026-01-16,2144,70777.43
Multimedia programmer,2025-05-20,2214,184645.16
Hotel manager,2026-06-11,3524,151661.97
Air cabin crew,2024-08-08,12,80523.44
"Presenter, broadcasting",2025-12-29,3469,134337.29
Museum education officer,2026-03-27,1451,126911.4
Museum education officer,2025-07-06,1548,81906.96
Housing manager/officer,2024-12-17,3467,108355.44
"Designer, interior/spatial",2025-12-06,2471,147319.41
Podiatrist,2025-10-23,1997,174409.59
International aid/development worker,2025-08-27,4118,115758.68
Newspaper journalist,2026-05-05,2792,106592.04
Passenger transport manager,2025-03-15,4544,129345.61
Radio broadcast assistant,2025-11-04,4337,59888.19
Trade mark attorney,2026-05-22,3672,90550.73
Games developer,2025-06-09,1238,92849.9
Homeopath,2026-06-23,538,187936.71
"Accountant, chartered certified",2025-05-11,4276,124765.33
Commercial art gallery manager,2025-12-06,4135,125470.89
Ophthalmologist,2026-06-13,4006,185158.53
Adult nurse,2025-09-11,2110,188134.06
Osteopath,2026-01-13,1235,83661.69
Chartered management accountant,2025-10-19,4206,53707.05
Analytical chemist,2025-12-30,4723,74424.18
Furniture conservator/restorer,2025-04-17,46,104529.83
Waste management officer,2026-05-20,384,93739.06
"Conservator, furniture",2025-10-07,1076,149153.56
Commercial/residential surveyor,2025-10-23,617,72723.41
"Designer, multimedia",2025-11-22,937,189776.25
Engineering geologist,2026-04-23,3394,114693.85
"Designer, furniture",2025-10-13,2171,98023.6
Restaurant manager,2024-10-11,765,64970.1
"Engineer, technical sales",2025-11-26,3126,50088.4
"Journalist, newspaper",2025-09-07,2527,120001.24
Horticultural consultant,2024-12-07,3999,97039.04
Meteorologist,2024-08-06,1596,58605.8
Public librarian,2024-08-27,4328,65446.38
Chartered accountant,2024-08-27,3780,195693.22
"Administrator, charities/voluntary organisations",2026-03-08,4889,128223.41
Ranger/warden,2025-05-12,1047,84191.88
Bookseller,2025-04-23,3862,161540.02
Manufacturing engineer,2025-12-15,2504,133264.54
Pension scheme manager,2025-02-18,4186,95746.61
Advertising account planner,2025-10-09,3052,126980.62
Emergency planning/management officer,2024-08-14,1740,167057.09
Industrial/product designer,2026-04-26,3221,85275.55
"Administrator, sports",2025-08-15,4145,92999.3
Arts administrator,2025-11-09,922,84305.06
Occupational psychologist,2024-12-07,3847,112830.16
Sales executive,2025-10-05,3420,96764.95
Academic librarian,2026-03-09,4141,95432.21
Call centre manager,2025-08-20,2683,63939.6
Retail banker,2025-01-30,1152,164560.94
Air broker,2024-12-15,4932,199095.28
Barrister,2026-05-05,327,148227.16
Logistics and distribution manager,2026-07-30,2494,130959.77
"Nurse, mental health",2025-08-17,193,123678.86
Civil Service administrator,2025-12-12,2850,123800.09
Theatre stage manager,2025-01-07,4051,155661.69
Product/process development scientist,2024-11-24,1140,150681.75
Tourist information centre manager,2025-10-07,2208,186313.3
Herbalist,2026-03-29,2721,164226.46
Tour manager,2025-11-19,2972,68425.31
Planning and development surveyor,2025-11-08,4148,117688.9
"Education officer, museum",2026-05-03,2177,115995.54
Film/video editor,2025-02-10,4752,197535.01
Barista,2025-04-14,1423,198288.98
Chartered loss adjuster,2024-09-19,3812,193789.32
Soil scientist,2025-10-23,2228,139259.64
Geophysicist/field seismologist,2026-03-06,2121,179288.98
Building control surveyor,2025-08-15,4463,183841.47
Location manager,2025-03-28,4158,188752.39
Legal executive,2024-08-10,1167,117226.5
"Scientist, biomedical",2025-07-05,751,171362.95
Research scientist (physical sciences),2024-08-09,1205,195124.84
Charity fundraiser,2025-01-07,630,175343.76
"Lighting technician, broadcasting/film/video",2025-03-26,3931,138283.35
Trading standards officer,2024-08-10,3728,143688.04
Community pharmacist,2026-03-19,1673,173356.42
Health physicist,2025-05-12,2143,155278.43
"Lecturer, higher education",2024-12-06,4619,129693.38
Jewellery designer,2024-12-14,816,106775.88
Public librarian,2026-01-30,1610,62535.36
Geophysicist/field seismologist,2026-01-21,3419,57896.67
Print production planner,2025-06-26,2564,150419.82
Music therapist,2025-08-18,83,163970.65
Museum/gallery conservator,2024-12-04,1615,173673.61
Manufacturing engineer,2025-02-28,1093,77685.09
"Therapist, speech and language",2024-10-02,3726,87364.21
Corporate investment banker,2025-12-29,4499,194744.34
Furniture conservator/restorer,2025-09-28,1418,104044.7
Intelligence analyst,2026-05-21,2764,81718.23
"Surveyor, commercial/residential",2026-03-24,1888,160990.58
Arts administrator,2026-06-12,2032,193464.26
Orthoptist,2024-10-18,4539,147697.32
Therapeutic radiographer,2025-06-14,4639,57529.78
Risk analyst,2025-11-22,2845,152414.77
"Designer, furniture",2024-10-04,1364,180895.4
Training and development officer,2024-11-23,2493,118484.46
"Physicist, medical",2024-11-10,2815,163755.4
Cabin crew,2025-03-21,1024,76998.53
Fast food restaurant manager,2025-12-29,55,119882.76
"Teacher, early years/pre",2025-02-12,3533,187516.84
Financial adviser,2024-09-08,4963,63198.36
Fitness centre manager,2026-01-16,3938,70239.16
"Geologist, wellsite",2024-12-06,3363,67554.21
Chief Technology Officer,2025-02-11,1355,112429.58
"Surveyor, quantity",2026-03-12,151,103561.32
"Therapist, art",2025-08-16,76,137774.8
Landscape architect,2024-12-16,4575,190824.96
Product/process development scientist,2026-02-09,3090,78505.27
Quarry manager,2026-05-17,3990,89563.54
"Education officer, community",2025-07-18,2384,137242.04
Arts development officer,2025-02-12,1206,50148.51
Audiological scientist,2026-04-08,612,84989.82
Land,2026-04-01,3787,76212.86
"Scientist, clinical (histocompatibility and immunogenetics)",2026-03-02,3058,92675.43
Therapeutic radiographer,2024-11-23,2261,145850.82
Audiological scientist,2025-03-14,1112,63890.22
Hospital pharmacist,2026-03-11,3223,101614.62
International aid/development worker,2024-12-20,603,186506.92
Quality manager,2024-11-26,3007,189734.86
Public relations officer,2025-09-19,1352,130058.68
Public relations officer,2024-11-01,3849,64319.46
"Presenter, broadcasting",2025-11-11,4568,130078.85
"Doctor, general practice",2026-02-18,3016,171548.78
Advertising copywriter,2025-02-13,1307,101887.61
"Designer, graphic",2025-02-03,1373,85380.94
"Horticulturist, amenity",2025-07-07,4745,186888.49
Stage manager,2025-12-12,1555,123039.91
Chartered public finance accountant,2025-05-16,4541,129825.08
Horticultural consultant,2026-03-02,1885,79817.4
"Programmer, multimedia",2025-10-27,1630,75427.66
"Engineer, civil (consulting)",2026-02-21,223,54606.53
"Therapist, music",2025-07-07,821,192730.2
Early years teacher,2026-02-03,1275,92098.36
Charity fundraiser,2025-09-01,2167,132252.31
Insurance claims handler,2025-06-16,1455,166424.91
"Surveyor, commercial/residential",2024-11-11,1414,85172.99
Product designer,2025-08-04,1895,89371.1
"Psychologist, counselling",2025-02-17,4316,135196.25
Media planner,2024-09-12,1642,51432.52
"Development worker, community",2024-12-01,4337,150968.34
Diplomatic Services operational officer,2025-08-02,1629,75446.26
IT sales professional,2026-03-17,944,155084.28
Production engineer,2026-07-03,1589,130083.48
"Engineer, aeronautical",2026-04-23,2550,97904.21
"Engineer, maintenance (IT)",2026-01-08,2801,98330.03
Child psychotherapist,2025-01-01,3754,169541.31
Automotive engineer,2026-06-01,3488,66218.66
Applications developer,2024-11-07,3558,76760.16
Sports administrator,2026-01-31,3824,143557.88
Cabin crew,2026-07-11,4251,175583.93
"Engineer, energy",2024-09-15,1349,100222.42
Industrial buyer,2025-09-16,2413,113821.57
Chemical engineer,2025-08-16,4281,129991.3
Contracting civil engineer,2025-11-07,4495,93662.24
"Engineer, mining",2024-08-12,3248,87221.11
"Research officer, trade union",2025-01-26,4665,76840.84
Theatre director,2024-08-26,3037,125917.31
Environmental manager,2025-03-06,793,150745.46
Occupational therapist,2025-04-08,2728,89043.05
"Programmer, systems",2026-07-26,476,108936.0
"Lecturer, further education",2024-12-16,4952,165020.91
Immunologist,2025-05-01,404,67951.35
"Engineer, electrical",2025-01-07,2676,87740.21
Risk analyst,2025-03-13,1314,61805.79
Insurance account manager,2025-10-20,3915,53289.9
Product/process development scientist,2025-04-05,4152,130516.76
"Nurse, mental health",2024-12-29,4883,93297.76
Dispensing optician,2024-11-07,1510,172017.43
Information officer,2025-02-14,1440,119389.34
General practice doctor,2026-01-30,4478,129672.6
Social researcher,2025-01-31,1479,133156.08
Structural engineer,2025-09-19,3091,153113.8
"Producer, radio",2026-02-20,4454,81647.28
Charity fundraiser,2026-06-20,3776,133198.89
Surgeon,2024-11-15,1103,168289.25
"Journalist, broadcasting",2026-07-02,3924,106408.5
Control and instrumentation engineer,2026-06-21,2583,99213.39
IT sales professional,2025-07-07,4647,152808.15
Meteorologist,2026-01-01,4095,199741.89
"Engineer, electronics",2026-03-20,758,146840.74
"Editor, magazine features",2026-01-08,3889,198197.52
"Presenter, broadcasting",2026-07-05,2654,87490.54
Chief Marketing Officer,2024-08-07,3817,177294.09
Communications engineer,2024-11-10,1471,142039.52
Public house manager,2026-06-21,4972,176221.75
"Engineer, civil (contracting)",2026-06-12,3796,151773.62
Mudlogger,2025-06-24,1601,170323.31
Forensic scientist,2024-11-22,1809,99008.63
Naval architect,2026-03-13,3347,51566.94
"Scientist, physiological",2024-09-28,532,78532.09
Dramatherapist,2026-01-04,3319,54007.4
Physiotherapist,2024-09-03,1195,166348.73
Sports therapist,2025-09-28,1715,141595.63
Quarry manager,2025-11-05,2898,179048.75
Environmental health practitioner,2025-06-02,1814,149106.09
"Lecturer, further education",2026-05-06,249,188976.84
Architectural technologist,2025-07-15,1856,72878.19
Environmental health practitioner,2026-06-09,4808,97474.26
Proofreader,2025-08-23,3231,161697.24
"Designer, multimedia",2024-09-09,895,104876.47
Field seismologist,2025-11-13,4713,120017.1
Fine artist,2026-03-20,3987,85163.78
"Sales professional, IT",2025-07-06,4689,108792.03
Neurosurgeon,2026-04-12,239,151200.74
Broadcast engineer,2026-01-10,588,61918.4
Clothing/textile technologist,2024-12-27,3873,166137.98
Chartered certified accountant,2025-03-04,3943,196028.79
"Psychologist, forensic",2026-04-29,2219,180240.48
Homeopath,2026-01-14,374,104496.69
Dance movement psychotherapist,2025-12-27,1260,58313.43
"Teacher, early years/pre",2025-08-26,1479,168927.74
"Therapist, music",2025-05-09,1124,156834.33
"Research officer, political party",2025-12-11,4356,102291.33
Investment analyst,2025-11-05,579,53614.98
Logistics and distribution manager,2026-04-01,4591,160361.09
Conference centre manager,2025-02-16,3351,195757.78
Seismic interpreter,2024-10-04,2244,173998.1
Printmaker,2026-07-04,4502,134714.33
"Administrator, arts",2024-10-14,3310,116343.51
Armed forces training and education officer,2025-05-14,3148,162108.65
"Accountant, chartered public finance",2025-03-30,3910,51885.06
"Scientist, water quality",2025-11-28,3585,54725.39
Meteorologist,2025-05-03,2624,60433.2
"Investment banker, corporate",2025-11-24,4210,193275.96
"Scientist, audiological",2025-06-17,4122,72738.32
Nature conservation officer,2026-02-19,4044,93494.12
Armed forces training and education officer,2025-04-28,4660,97237.16
Careers adviser,2025-03-10,1158,113346.64
Corporate treasurer,2025-05-13,701,115219.91
"Biochemist, clinical",2026-07-28,4370,124596.18
"Pilot, airline",2025-03-01,2333,105253.13
Gaffer,2025-10-24,42,170920.38
Historic buildings inspector/conservation officer,2025-11-07,514,79559.75
Oncologist,2026-06-16,1201,81784.77
Electrical engineer,2024-08-31,4266,85878.7
"Engineer, mining",2025-07-26,488,135359.11
"Programmer, multimedia",2026-02-12,4208,134449.92
Medical illustrator,2024-12-28,4429,145941.25
Insurance broker,2025-02-22,2750,150874.67
"Psychologist, educational",2026-06-08,1333,57200.04
Therapeutic radiographer,2024-08-17,1258,79418.93
Fine artist,2026-06-03,1922,55041.43
Community arts worker,2024-10-27,4283,190059.63
Architectural technologist,2025-10-06,2829,183898.96
Publishing rights manager,2025-11-25,227,94831.01
Chartered public finance accountant,2025-04-07,3360,131269.2
"Engineer, manufacturing systems",2025-03-10,1357,187907.08
Horticultural consultant,2024-09-02,486,192522.84
"Engineer, building services",2025-03-18,2918,181978.58
Structural engineer,2025-09-25,3851,97907.33
Legal executive,2025-06-04,2064,128250.31
Fashion designer,2026-06-05,1223,94665.13
Actuary,2026-03-23,328,166529.55
IT consultant,2025-10-24,487,193224.0
Analytical chemist,2024-12-11,2529,126871.99
Actuary,2026-03-05,3363,196601.03
Commercial art gallery manager,2025-07-19,874,64418.23
"Journalist, newspaper",2024-11-04,3585,58502.17
"Runner, broadcasting/film/video",2025-07-12,833,66817.72
Tourist information centre manager,2025-08-09,3139,184738.17
Primary school teacher,2024-08-09,545,132199.08
"Psychologist, clinical",2026-06-29,3332,128806.01
"Administrator, education",2026-05-03,2507,163619.29
Leisure centre manager,2024-11-26,3625,131848.44
Recycling officer,2024-08-19,547,91594.81
"Investment banker, operational",2025-10-08,2186,72578.4
"Engineer, energy",2025-08-06,660,89945.87
Psychiatric nurse,2026-04-21,1040,167953.27
"Accountant, chartered",2026-07-14,3540,151638.53
"Surveyor, land/geomatics",2024-12-17,2905,146221.35
Ranger/warden,2026-02-08,4596,190721.54
Dance movement psychotherapist,2024-09-08,2940,86296.42
"Surveyor, minerals",2026-05-04,322,179842.55
Recycling officer,2025-04-08,4921,167261.81
Equality and diversity officer,2026-02-02,4717,113976.53
Leisure centre manager,2024-09-30,51,173858.58
"Engineer, building services",2026-01-01,1779,77760.93
"Accountant, chartered certified",2025-02-07,4794,187735.08
Electrical engineer,2025-10-09,3544,120087.45
Radio producer,2026-07-17,472,86755.35
"Designer, fashion/clothing",2025-01-30,2486,198808.08
Occupational hygienist,2024-09-11,3763,64427.58
Pathologist,2025-09-08,2674,107539.56
Statistician,2025-09-04,2278,95954.29
"Engineer, drilling",2024-11-12,2743,80074.92
Osteopath,2026-05-24,3157,160475.31
Occupational hygienist,2025-01-15,1241,170504.12
Fine artist,2025-03-24,1350,109449.88
Magazine features editor,2026-05-31,4970,88758.04
Furniture designer,2026-06-11,1154,66782.05
Lobbyist,2026-01-07,4715,55805.41
"Sales professional, IT",2026-01-30,3959,181758.38
Neurosurgeon,2025-05-18,2669,99730.28
Automotive engineer,2025-05-26,1708,100971.04
Musician,2025-08-04,1488,89588.61
Patent attorney,2026-03-10,3167,130987.27
Theme park manager,2026-01-17,3593,142966.63
Civil Service fast streamer,2024-10-12,3175,196163.74
Production manager,2025-06-13,1510,116692.48
Sub,2026-05-24,2671,134798.49
"Engineer, structural",2025-07-27,3806,115205.33
"Civil engineer, contracting",2026-01-23,1256,59559.74
Senior tax professional/tax inspector,2026-04-11,3469,53675.0
Financial manager,2025-04-16,356,152724.74
Actuary,2026-06-22,395,101917.03
Bonds trader,2025-04-05,1674,127991.0
Operational investment banker,2024-11-07,3869,100197.17
Land/geomatics surveyor,2026-04-12,2298,133151.26
Herbalist,2026-07-27,3448,158276.16
Trade union research officer,2024-10-11,1097,178881.93
Science writer,2025-06-07,431,169242.28
Ambulance person,2026-04-05,3101,199821.41
Armed forces technical officer,2025-04-13,668,78746.03
Freight forwarder,2024-08-31,3607,119877.77
"Optician, dispensing",2026-01-11,927,66774.93
Primary school teacher,2025-05-23,2224,150624.16
Press sub,2026-05-05,3715,107725.28
Clinical psychologist,2026-06-14,2939,64263.41
Risk analyst,2025-08-31,4068,94305.68
Health promotion specialist,2025-05-21,3670,96589.6
Town planner,2024-12-23,416,161961.42
Purchasing manager,2026-03-25,2149,115243.14
"Designer, exhibition/display",2025-08-07,3766,107424.11
Clinical research associate,2026-05-22,366,164457.2
"Education officer, environmental",2026-01-17,3597,51431.86
Site engineer,2025-10-21,3114,65617.87
Fisheries officer,2026-03-23,851,199541.71
Barista,2025-07-11,4831,151401.94
"Designer, jewellery",2026-03-04,4610,192936.02
"Librarian, public",2026-06-01,3977,197107.55
Historic buildings inspector/conservation officer,2025-03-14,985,111044.51
Sports coach,2025-11-24,1201,91366.17
Food technologist,2026-05-29,2451,156027.89
Publishing rights manager,2025-11-19,1058,167196.69
"Doctor, hospital",2025-04-07,3794,98787.04
Charity fundraiser,2024-08-29,1601,88588.81
"Engineer, biomedical",2025-04-25,1471,86790.49
Brewing technologist,2025-04-22,2931,172508.35
Outdoor activities/education manager,2025-06-14,1981,183302.98
Data processing manager,2025-12-25,3876,152004.59
Media planner,2025-01-28,3580,94999.43
Advertising art director,2026-07-03,1312,158014.68
Research scientist (physical sciences),2025-06-12,3589,198992.92
Manufacturing systems engineer,2025-01-14,3674,152822.96
Futures trader,2026-03-22,2946,177276.35
Television production assistant,2025-06-07,4006,189422.24
"Scientist, marine",2025-12-12,3539,142218.4
Politician's assistant,2024-11-02,3219,141324.07
Physiological scientist,2025-09-10,4453,124903.71
Estate agent,2025-12-07,2428,89539.11
Maintenance engineer,2025-09-28,657,116098.84
"Sales professional, IT",2025-10-02,2996,125873.68
"Surveyor, quantity",2026-02-14,4622,77280.62
IT consultant,2026-04-10,618,176760.73
Armed forces operational officer,2026-07-22,4024,195308.96
Civil Service fast streamer,2025-08-31,2192,72762.44
Acupuncturist,2026-03-11,4077,189487.03
Early years teacher,2025-10-01,4862,73206.97
Television production assistant,2024-08-15,4556,100843.86
Learning disability nurse,2024-09-14,291,83463.26
Set designer,2025-09-16,1308,106627.39
"Psychologist, sport and exercise",2025-04-27,2239,190011.89
Special effects artist,2025-12-02,1252,192843.15
"Engineer, technical sales",2025-07-25,2802,64132.51
Health physicist,2025-08-14,2082,140390.06
Theatre stage manager,2025-10-24,2407,190141.95
Secretary/administrator,2025-04-12,542,95674.58
Academic librarian,2025-07-24,3172,155565.5
Purchasing manager,2026-04-18,3656,78963.75
Building surveyor,2024-11-11,3826,158140.47
Press sub,2026-02-13,1039,156199.81
Operational researcher,2026-06-28,4323,199287.02
Freight forwarder,2025-05-26,854,126125.16
"Designer, interior/spatial",2025-06-05,4447,106348.06
Wellsite geologist,2026-04-19,3778,116357.23
"Surveyor, rural practice",2026-02-07,4915,133003.83
Patent examiner,2025-09-19,760,75769.69
Community arts worker,2025-09-03,4684,186560.69
Control and instrumentation engineer,2026-08-01,4031,56675.34
"Surveyor, minerals",2025-03-06,4944,117286.13
Tax adviser,2026-04-22,4031,161219.58
Mental health nurse,2025-09-23,1709,80368.35
Tax adviser,2025-01-31,2049,74031.03
Counselling psychologist,2025-05-24,3885,153646.01
"Designer, fashion/clothing",2026-03-17,4991,159834.78
Insurance broker,2026-06-30,641,86340.61
Freight forwarder,2025-01-23,4711,105318.94
Research scientist (life sciences),2026-05-31,906,192179.39
"Engineer, petroleum",2025-09-05,2286,174553.99
Audiological scientist,2024-11-02,2184,165600.63
Fast food restaurant manager,2024-11-28,3785,163521.11
"Engineer, manufacturing",2025-03-12,3485,166567.33
"Engineer, electrical",2026-06-27,325,156986.62
Museum/gallery exhibitions officer,2024-10-04,901,189898.84
"Surveyor, insurance",2025-08-10,773,129263.13
"Engineer, water",2024-09-11,960,119027.0
Engineering geologist,2026-05-14,1489,159509.5
"Designer, graphic",2025-03-02,4956,114005.98
"Scientist, physiological",2025-10-03,2727,82140.26
Bonds trader,2025-10-26,2506,86626.58
Nutritional therapist,2025-02-22,1303,199654.56
Physiological scientist,2025-05-09,4204,191682.46
"Pilot, airline",2026-03-12,103,83455.14
"Designer, furniture",2026-07-15,3823,170952.61
Publishing rights manager,2025-08-09,2464,112886.14
Web designer,2025-10-27,3463,128449.26
Adult nurse,2026-06-01,4430,105357.03
"Administrator, local government",2025-06-28,4155,100706.75
Tax adviser,2025-03-16,4585,175689.35
"Designer, exhibition/display",2025-02-15,1462,84953.57
Travel agency manager,2026-06-14,4965,166852.29
Equities trader,2026-06-08,989,136441.74
Chartered legal executive (England and Wales),2025-02-23,2098,110678.27
Chiropodist,2025-10-23,2301,131539.65
Energy manager,2026-03-27,1457,192655.69
Health visitor,2025-10-15,3052,179031.4
Film/video editor,2026-08-01,367,198102.26
Arts development officer,2024-09-27,4857,198908.81
"Geneticist, molecular",2024-11-11,1613,108190.04
Armed forces technical officer,2025-09-25,1354,51508.29
Management consultant,2024-09-17,128,68959.0
"Radiographer, therapeutic",2025-02-14,694,50580.3
Research scientist (maths),2026-04-24,1988,80427.03
"Scientist, physiological",2025-11-02,3493,145511.58
Secretary/administrator,2026-06-27,2603,98649.28
"Designer, furniture",2025-03-28,1986,104510.96
"Education officer, environmental",2026-07-17,479,132393.35
Logistics and distribution manager,2024-09-05,3118,78544.94
Television floor manager,2026-02-12,2447,150947.87
Pharmacologist,2026-07-12,1867,54483.9
Architectural technologist,2026-07-22,810,100744.62
"Horticulturist, amenity",2025-02-09,942,187919.35
Therapeutic radiographer,2024-12-12,788,166697.36
"Horticulturist, commercial",2025-10-02,2623,168213.53
Health and safety adviser,2026-03-29,4936,185322.26
"Investment banker, operational",2024-11-28,4282,160415.22
"Social research officer, government",2025-05-31,332,130388.19
Glass blower/designer,2025-07-01,4279,142837.65
"Editor, commissioning",2025-03-10,288,102141.35
"Development worker, international aid",2025-03-16,463,50473.3
Medical sales representative,2025-09-19,2822,57602.95
Theatre stage manager,2026-03-06,2060,120967.52
"Therapist, nutritional",2025-02-05,1577,169392.98
Investment analyst,2025-02-13,4923,116735.91
"Administrator, charities/voluntary organisations",2026-06-04,1282,193588.55
"Psychologist, prison and probation services",2026-03-11,122,183566.98
Adult nurse,2024-10-11,1731,68203.25
Quality manager,2026-02-04,812,153279.48
Product manager,2025-03-08,4070,85894.37
