requisition_id,job_title,department_id,status,time_to_fill_days
REQ00173,Licensed conveyancer,D020,Closed,65
REQ00174,Air traffic controller,D012,Open,100
REQ00175,Animal technologist,D002,Closed,114
REQ00176,"Doctor, general practice",D020,Open,63
REQ00177,Barrister's clerk,D008,Closed,52
REQ00178,Seismic interpreter,D018,Open,56
REQ00179,Clinical embryologist,D020,Closed,23
REQ00180,"Presenter, broadcasting",D002,Closed,58
REQ00181,Artist,D010,Open,85
REQ00182,"Research officer, government",D011,Closed,97
REQ00183,Product manager,D012,Closed,70
REQ00184,Barrister's clerk,D005,Closed,34
REQ00185,Dentist,D009,Closed,77
REQ00186,Electronics engineer,D012,Closed,83
REQ00187,Materials engineer,D015,Open,51
REQ00188,"Therapist, nutritional",D004,On Hold,76
REQ00189,Hotel manager,D007,Closed,70
REQ00190,"Sales professional, IT",D020,Closed,26
REQ00191,Operations geologist,D004,Closed,87
REQ00192,Rural practice surveyor,D001,Closed,75
REQ00193,Retail merchandiser,D001,Closed,94
REQ00194,"Teacher, early years/pre",D003,Closed,21
REQ00195,Transport planner,D016,Open,15
REQ00196,Facilities manager,D012,Closed,46
REQ00197,"Accountant, chartered certified",D007,Closed,49
REQ00198,"Therapist, music",D017,Closed,82
REQ00199,"Surveyor, planning and development",D013,Closed,78
REQ00200,Toxicologist,D004,Closed,20
REQ00201,Haematologist,D010,Closed,79
REQ00202,Information officer,D005,Closed,76
REQ00203,"Engineer, technical sales",D011,Closed,47
REQ00204,Geoscientist,D014,Closed,69
REQ00205,Futures trader,D020,Closed,76
REQ00206,Police officer,D020,Closed,37
REQ00207,"Engineer, production",D010,Open,72
REQ00208,Bookseller,D005,On Hold,79
REQ00209,Systems developer,D003,Closed,94
REQ00210,Forensic psychologist,D020,Open,58
REQ00211,Animal nutritionist,D001,Closed,55
REQ00212,"Nurse, mental health",D003,Closed,78
REQ00213,Video editor,D005,Open,94
REQ00214,Educational psychologist,D004,Open,41
REQ00215,Operations geologist,D004,Closed,95
REQ00216,Hydrologist,D012,Open,105
REQ00217,"Accountant, chartered management",D013,Closed,39
REQ00218,"Radiographer, therapeutic",D014,Closed,65
REQ00219,Building surveyor,D018,Open,47
REQ00220,Market researcher,D014,Open,74
REQ00221,"Psychologist, occupational",D016,Closed,95
REQ00222,Osteopath,D016,On Hold,80
REQ00223,"Programmer, applications",D014,Closed,115
REQ00224,Tour manager,D010,Closed,51
REQ00225,"Accountant, chartered management",D001,On Hold,56
REQ00226,Financial manager,D001,Closed,72
REQ00227,Chartered public finance accountant,D014,Closed,45
REQ00228,"Sound technician, broadcasting/film/video",D018,Closed,51
REQ00229,"Geneticist, molecular",D012,Closed,58
REQ00230,Aid worker,D008,Closed,67
REQ00231,Patent examiner,D002,Closed,111
REQ00232,Operations geologist,D009,On Hold,15
REQ00233,Academic librarian,D003,Open,66
REQ00234,"Radiographer, diagnostic",D008,Closed,71
REQ00235,Web designer,D007,Closed,105
REQ00236,IT technical support officer,D017,Closed,66
REQ00237,Accommodation manager,D013,Open,75
REQ00238,"Radiographer, therapeutic",D010,Closed,114
REQ00239,Child psychotherapist,D015,Closed,98
REQ00240,Accounting technician,D008,Closed,53
REQ00241,"Therapist, occupational",D007,Closed,33
REQ00242,"Psychologist, forensic",D011,Closed,105
REQ00243,Production engineer,D009,Open,98
REQ00244,Health and safety inspector,D016,Closed,47
REQ00245,Set designer,D017,Open,67
REQ00246,"Engineer, site",D020,Closed,60
REQ00247,Technical brewer,D008,Closed,109
REQ00248,Geophysical data processor,D009,Closed,105
REQ00249,"Buyer, retail",D008,Open,84
REQ00250,Trade mark attorney,D012,Open,42
REQ00251,"Civil engineer, consulting",D003,Open,119
REQ00252,Environmental consultant,D006,Closed,82
REQ00253,"Civil engineer, consulting",D007,Closed,26
REQ00254,"Exhibitions officer, museum/gallery",D001,Closed,55
REQ00255,Public relations account executive,D003,Closed,106
REQ00256,Location manager,D014,Closed,77
REQ00257,"Engineer, production",D015,Closed,80
REQ00258,Dealer,D010,Open,103
REQ00259,Air cabin crew,D018,Closed,54
REQ00260,Bookseller,D001,Closed,108
REQ00261,"Teacher, English as a foreign language",D014,Closed,101
REQ00262,"Psychologist, educational",D006,Closed,87
REQ00263,Advertising art director,D010,Closed,67
REQ00264,"Surveyor, building control",D014,Closed,90
REQ00265,Counsellor,D007,Closed,109
REQ00266,"Surveyor, quantity",D015,Closed,89
REQ00267,Historic buildings inspector/conservation officer,D018,Closed,53
REQ00268,Regulatory affairs officer,D015,Open,31
REQ00269,Chartered certified accountant,D017,Open,96
REQ00270,"Accountant, chartered",D010,Closed,29
REQ00271,Health promotion specialist,D017,Closed,80
REQ00272,Petroleum engineer,D001,Closed,96
REQ00273,Publishing copy,D020,Closed,116
REQ00274,Health promotion specialist,D014,Closed,35
REQ00275,Copy,D017,Closed,25
REQ00276,"Loss adjuster, chartered",D019,Open,26
REQ00277,Environmental manager,D003,Closed,54
REQ00278,Clinical molecular geneticist,D008,Closed,74
REQ00279,"Therapist, horticultural",D013,Closed,18
REQ00280,Paramedic,D012,Closed,56
REQ00281,Professor Emeritus,D018,Open,72
REQ00282,Financial trader,D015,On Hold,40
REQ00283,Actuary,D001,Closed,83
REQ00284,Regulatory affairs officer,D011,Closed,69
REQ00285,Energy engineer,D009,Open,109
REQ00286,Photographer,D007,Closed,48
REQ00287,Pensions consultant,D017,Closed,15
REQ00288,"Producer, radio",D017,Closed,87
REQ00289,"Designer, television/film set",D001,Open,23
REQ00290,Tax inspector,D018,Closed,75
REQ00291,Site engineer,D005,Closed,59
REQ00292,Tax inspector,D018,On Hold,109
REQ00293,"Engineer, broadcasting (operations)",D015,Closed,104
REQ00294,Bookseller,D017,Closed,114
REQ00295,Corporate investment banker,D002,Closed,52
REQ00296,Environmental health practitioner,D006,Closed,25
REQ00297,Arts development officer,D002,Closed,108
REQ00298,Occupational hygienist,D008,Closed,101
REQ00299,Physiological scientist,D018,Open,47
REQ00300,Artist,D008,Closed,21
REQ00301,Camera operator,D018,Closed,79
REQ00302,Personal assistant,D020,Closed,100
REQ00303,Chartered management accountant,D002,Closed,73
REQ00304,"Education officer, environmental",D004,Closed,99
REQ00305,Economist,D001,Closed,62
REQ00306,Seismic interpreter,D009,Closed,105
REQ00307,Personnel officer,D004,Closed,47
REQ00308,"Loss adjuster, chartered",D004,Open,119
REQ00309,Mechanical engineer,D016,Closed,67
REQ00310,Copy,D020,Open,103
REQ00311,Research scientist (medical),D014,Closed,119
REQ00312,Artist,D019,Closed,84
REQ00313,Catering manager,D018,Open,104
REQ00314,Airline pilot,D013,Closed,19
REQ00315,Make,D002,Closed,22
REQ00316,Ranger/warden,D015,Closed,20
REQ00317,Pensions consultant,D009,Closed,67
REQ00318,Accounting technician,D007,On Hold,89
REQ00319,"Editor, commissioning",D015,Closed,50
REQ00320,Plant breeder/geneticist,D010,Closed,69
REQ00321,Rural practice surveyor,D005,Closed,59
REQ00322,Hydrologist,D020,Closed,19
REQ00323,Nutritional therapist,D011,Closed,40
REQ00324,"Engineer, electrical",D019,Closed,57
REQ00325,Equality and diversity officer,D019,Closed,93
REQ00326,"Engineer, aeronautical",D001,Closed,73
REQ00327,Historic buildings inspector/conservation officer,D010,On Hold,72
REQ00328,"Lecturer, higher education",D014,Closed,66
REQ00329,"Production designer, theatre/television/film",D005,Closed,15
REQ00330,Chartered legal executive (England and Wales),D015,Closed,58
REQ00331,Insurance broker,D006,Closed,80
REQ00332,Writer,D008,Open,33
REQ00333,"Designer, multimedia",D006,Closed,34
REQ00334,Estate manager/land agent,D019,Closed,77
REQ00335,Rural practice surveyor,D005,Open,27
REQ00336,Occupational psychologist,D006,Closed,68
REQ00337,Museum/gallery conservator,D011,Closed,37
REQ00338,Office manager,D020,Closed,117
REQ00339,"Sales professional, IT",D008,Closed,70
REQ00340,Financial manager,D007,Closed,39
REQ00341,Personnel officer,D018,Closed,100
REQ00342,Records manager,D014,Open,58
REQ00343,Tourism officer,D006,Closed,31
REQ00344,Counsellor,D010,Open,31
REQ00345,Warehouse manager,D013,Closed,57
REQ00346,Illustrator,D010,Closed,48
REQ00347,Statistician,D018,Closed,85
REQ00348,Professor Emeritus,D004,Open,108
REQ00349,Armed forces training and education officer,D016,Closed,85
REQ00350,"Psychologist, clinical",D003,Closed,101
REQ00351,Travel agency manager,D009,Closed,84
REQ00352,"Surveyor, land/geomatics",D015,Closed,38
REQ00353,Clinical biochemist,D005,Closed,97
REQ00354,Event organiser,D013,On Hold,109
REQ00355,Risk analyst,D003,Closed,113
REQ00356,Interpreter,D013,Closed,118
REQ00357,Estate agent,D011,Closed,58
REQ00358,"Geologist, engineering",D017,Closed,45
REQ00359,Arts development officer,D016,Closed,116
REQ00360,Administrator,D014,Open,76
REQ00361,"Editor, film/video",D019,Closed,25
REQ00362,"Presenter, broadcasting",D003,Open,80
REQ00363,Geophysical data processor,D007,On Hold,44
REQ00364,"Surveyor, hydrographic",D005,Closed,91
REQ00365,Automotive engineer,D006,Closed,52
REQ00366,Medical sales representative,D010,Closed,48
REQ00367,Industrial buyer,D014,Closed,84
REQ00368,Chief Marketing Officer,D017,Closed,59
REQ00369,Risk analyst,D015,Closed,30
REQ00370,Historic buildings inspector/conservation officer,D014,Closed,109
REQ00371,Oncologist,D003,Open,107
REQ00372,Toxicologist,D010,Closed,72
REQ00373,"Embryologist, clinical",D005,Closed,85
REQ00374,"Conservator, furniture",D013,Closed,56
REQ00375,TEFL teacher,D004,Closed,52
REQ00376,Public librarian,D015,Open,80
REQ00377,Careers information officer,D020,Closed,52
REQ00378,IT trainer,D011,Closed,74
REQ00379,Company secretary,D012,Closed,110
REQ00380,Educational psychologist,D016,Open,54
REQ00381,Chief Financial Officer,D019,Closed,56
REQ00382,"Copywriter, advertising",D005,Open,55
REQ00383,English as a second language teacher,D016,On Hold,103
REQ00384,Operational investment banker,D017,Closed,40
REQ00385,Warden/ranger,D001,Closed,28
REQ00386,"Engineer, aeronautical",D015,Closed,21
REQ00387,Podiatrist,D008,Closed,17
REQ00388,Research scientist (maths),D011,Open,111
REQ00389,Tax adviser,D001,Open,77
REQ00390,Professor Emeritus,D014,Closed,47
REQ00391,Careers adviser,D012,Open,44
REQ00392,Holiday representative,D008,Closed,20
REQ00393,Broadcast presenter,D015,Closed,52
REQ00394,Museum/gallery exhibitions officer,D017,Closed,78
REQ00395,"Administrator, Civil Service",D005,Closed,48
REQ00396,"Presenter, broadcasting",D003,Open,26
REQ00397,Administrator,D010,Closed,66
REQ00398,Restaurant manager,D015,Closed,108
REQ00399,Fine artist,D017,On Hold,40
REQ00400,Drilling engineer,D014,Closed,41
REQ00401,Product/process development scientist,D005,Closed,112
REQ00402,Trade union research officer,D003,Closed,109
REQ00403,Set designer,D016,Closed,21
REQ00404,"Administrator, arts",D019,Closed,114
REQ00405,Optometrist,D015,Closed,49
REQ00406,"Programmer, systems",D004,Closed,110
REQ00407,"Production designer, theatre/television/film",D003,On Hold,110
REQ00408,Human resources officer,D013,Open,25
REQ00409,"Engineer, civil (contracting)",D008,Closed,61
REQ00410,Lobbyist,D004,Open,25
REQ00411,"Engineer, water",D018,Closed,65
REQ00412,Colour technologist,D005,Open,90
REQ00413,"Physicist, medical",D011,Open,93
REQ00414,Operational researcher,D010,Closed,89
REQ00415,Adult guidance worker,D020,Closed,109
REQ00416,Meteorologist,D011,Closed,116
REQ00417,Barrister's clerk,D010,Closed,97
REQ00418,Museum/gallery conservator,D009,On Hold,65
REQ00419,Corporate investment banker,D019,Closed,57
REQ00420,Mental health nurse,D020,Closed,72
REQ00421,Child psychotherapist,D001,Closed,80
REQ00422,Radiation protection practitioner,D007,Closed,101
REQ00423,Solicitor,D015,Closed,80
REQ00424,"Engineer, drilling",D009,Open,17
REQ00425,Make,D015,Closed,93
REQ00426,Musician,D002,Open,45
REQ00427,"Teacher, primary school",D017,On Hold,69
REQ00428,"Teacher, secondary school",D011,Closed,115
REQ00429,Medical physicist,D019,Open,44
REQ00430,"Solicitor, Scotland",D002,Closed,94
REQ00431,"Lecturer, higher education",D009,Closed,44
REQ00432,Environmental manager,D012,Open,53
REQ00433,Facilities manager,D005,Open,32
REQ00434,Public librarian,D009,Closed,39
REQ00435,Equities trader,D020,On Hold,119
REQ00436,Clinical biochemist,D012,Closed,51
REQ00437,Corporate investment banker,D018,Closed,117
REQ00438,"Engineer, water",D010,Closed,16
REQ00439,Financial planner,D019,Closed,96
REQ00440,"Designer, blown glass/stained glass",D020,On Hold,50
REQ00441,Production manager,D017,Open,56
REQ00442,"Loss adjuster, chartered",D013,Closed,51
REQ00443,Physiological scientist,D006,Closed,17
REQ00444,"Psychologist, educational",D013,Closed,84
REQ00445,Learning disability nurse,D016,Closed,68
REQ00446,"Scientist, biomedical",D012,Closed,39
REQ00447,"Designer, industrial/product",D015,Closed,106
REQ00448,Actuary,D012,Open,118
REQ00449,Advice worker,D006,Closed,75
REQ00450,"Pilot, airline",D014,Closed,40
REQ00451,"Designer, textile",D017,Open,46
REQ00452,"Engineer, manufacturing systems",D002,Closed,76
REQ00453,Automotive engineer,D017,Open,57
REQ00454,"Horticulturist, amenity",D003,On Hold,77
REQ00455,Public relations officer,D014,Closed,92
REQ00456,Communications engineer,D011,Closed,38
REQ00457,Technical author,D017,Closed,59
REQ00458,Sport and exercise psychologist,D020,On Hold,51
REQ00459,Consulting civil engineer,D008,Closed,69
REQ00460,Industrial buyer,D013,Closed,37
REQ00461,Heritage manager,D013,Open,68
REQ00462,"Investment banker, corporate",D003,Closed,115
REQ00463,"Engineer, energy",D016,Closed,52
REQ00464,Restaurant manager,D014,Closed,45
REQ00465,"Surveyor, land/geomatics",D018,Closed,60
REQ00466,Sales executive,D016,Closed,83
REQ00467,"Engineer, chemical",D009,Closed,71
REQ00468,"Sound technician, broadcasting/film/video",D020,Closed,116
REQ00469,Financial controller,D018,Open,67
REQ00470,Ranger/warden,D012,Closed,108
REQ00471,Magazine journalist,D019,Closed,23
REQ00472,Passenger transport manager,D005,Closed,56
REQ00473,"Engineer, maintenance (IT)",D003,On Hold,105
REQ00474,Production manager,D011,Closed,119
REQ00475,Air traffic controller,D019,Open,68
REQ00476,Merchant navy officer,D005,Closed,71
REQ00477,Product manager,D005,Closed,38
REQ00478,"Therapist, occupational",D018,Open,106
REQ00479,"Engineer, control and instrumentation",D013,On Hold,106
REQ00480,"Restaurant manager, fast food",D019,Closed,42
REQ00481,Geophysical data processor,D011,On Hold,89
REQ00482,Energy engineer,D020,Closed,43
REQ00483,Clinical psychologist,D010,Closed,97
REQ00484,Community development worker,D008,Open,65
REQ00485,Archaeologist,D018,Closed,97
REQ00486,"Administrator, charities/voluntary organisations",D003,On Hold,24
REQ00487,Higher education careers adviser,D018,Closed,76
REQ00488,Furniture designer,D008,On Hold,119
REQ00489,Curator,D002,Closed,80
REQ00490,"Engineer, production",D014,On Hold,112
REQ00491,Writer,D016,Closed,17
REQ00492,Exercise physiologist,D009,Closed,89
REQ00493,"Engineer, technical sales",D013,Open,112
REQ00494,Claims inspector/assessor,D020,Closed,75
REQ00495,Graphic designer,D018,Closed,36
REQ00496,Probation officer,D009,Closed,99
REQ00497,"Lecturer, further education",D003,Closed,82
REQ00498,Secondary school teacher,D020,Closed,30
REQ00499,Writer,D019,Closed,88
REQ00500,Nutritional therapist,D018,Open,113
REQ00501,"Programmer, multimedia",D008,Closed,117
REQ00502,Artist,D001,Closed,26
REQ00503,Academic librarian,D017,Closed,76
REQ00504,"Teacher, primary school",D010,Closed,17
REQ00505,Health service manager,D007,Closed,19
REQ00506,Manufacturing systems engineer,D012,Closed,110
REQ00507,Industrial buyer,D018,Open,111
REQ00508,"Engineer, site",D019,Closed,70
REQ00509,Charity fundraiser,D005,Open,97
REQ00510,"Secretary, company",D010,Closed,27
REQ00511,Ranger/warden,D019,Open,71
REQ00512,Radio broadcast assistant,D019,Closed,20
REQ00513,Ship broker,D013,Closed,76
REQ00514,Pathologist,D009,Closed,15
REQ00515,Medical illustrator,D015,Closed,72
REQ00516,Retail buyer,D018,Open,102
REQ00517,Clinical molecular geneticist,D017,Closed,19
REQ00518,Systems analyst,D005,On Hold,23
REQ00519,Dancer,D003,Closed,56
REQ00520,Radiation protection practitioner,D014,Closed,105
REQ00521,Biomedical scientist,D011,Open,77
REQ00522,Advertising account planner,D017,Closed,50
REQ00523,Special educational needs teacher,D007,Open,45
REQ00524,Phytotherapist,D003,Open,67
REQ00525,Games developer,D017,Closed,101
REQ00526,"Accountant, chartered public finance",D018,Closed,20
REQ00527,Oceanographer,D001,Closed,98
REQ00528,Recycling officer,D012,Closed,38
REQ00529,"Teacher, secondary school",D001,Closed,51
REQ00530,Acupuncturist,D007,Closed,113
REQ00531,Herpetologist,D001,Closed,102
REQ00532,Aeronautical engineer,D020,On Hold,16
REQ00533,Industrial buyer,D005,Open,99
REQ00534,"Civil engineer, consulting",D020,Closed,72
REQ00535,Operations geologist,D013,Closed,40
REQ00536,Information systems manager,D001,Closed,60
REQ00537,"Engineer, water",D018,Closed,98
REQ00538,Immunologist,D012,Open,20
REQ00539,Local government officer,D006,Closed,24
REQ00540,Diplomatic Services operational officer,D020,On Hold,52
REQ00541,Furniture conservator/restorer,D016,Closed,76
REQ00542,Higher education lecturer,D013,Open,62
REQ00543,"Surveyor, commercial/residential",D018,Open,43
REQ00544,Insurance account manager,D008,Closed,80
REQ00545,Garment/textile technologist,D010,Closed,109
REQ00546,Purchasing manager,D017,Closed,84
REQ00547,Colour technologist,D016,Open,39
REQ00548,"Teacher, early years/pre",D007,Closed,53
REQ00549,"Engineer, chemical",D002,Closed,83
REQ00550,Industrial/product designer,D004,Closed,89
REQ00551,Operational investment banker,D017,Open,98
REQ00552,Radio producer,D016,Closed,36
REQ00553,Adult nurse,D015,Open,53
REQ00554,Lawyer,D015,Closed,112
REQ00555,Chiropodist,D015,Open,76
REQ00556,"Engineer, automotive",D015,Closed,88
REQ00557,"Doctor, general practice",D014,Closed,39
REQ00558,"Scientist, clinical (histocompatibility and immunogenetics)",D018,On Hold,42
REQ00559,"Geologist, engineering",D011,Closed,22
REQ00560,Film/video editor,D020,Open,26
REQ00561,Professor Emeritus,D020,Closed,53
REQ00562,Energy manager,D004,Closed,80
REQ00563,Passenger transport manager,D002,Open,44
REQ00564,Learning mentor,D018,Closed,33
REQ00565,Health physicist,D014,Closed,70
REQ00566,Trade union research officer,D009,Closed,101
REQ00567,Cartographer,D020,Open,55
REQ00568,Pathologist,D005,Closed,58
REQ00569,Warden/ranger,D020,Closed,24
REQ00570,Sales promotion account executive,D011,Open,90
REQ00571,Rural practice surveyor,D001,Closed,44
REQ00572,Contractor,D016,Closed,101
REQ00573,Nature conservation officer,D010,Closed,88
REQ00574,Scientific laboratory technician,D013,On Hold,113
REQ00575,"Engineer, civil (contracting)",D017,Open,34
REQ00576,Optometrist,D014,Closed,22
REQ00577,"Therapist, horticultural",D020,Closed,30
REQ00578,Forensic psychologist,D001,Closed,111
REQ00579,Dietitian,D003,Closed,20
REQ00580,Rural practice surveyor,D013,Closed,110
REQ00581,"Engineer, mining",D004,Closed,43
REQ00582,Sports development officer,D003,On Hold,56
REQ00583,Historic buildings inspector/conservation officer,D006,Open,85
REQ00584,Media buyer,D013,Closed,93
REQ00585,"Doctor, general practice",D016,On Hold,64
REQ00586,Arboriculturist,D015,Closed,109
REQ00587,"Pilot, airline",D009,Open,25
REQ00588,Armed forces technical officer,D008,Closed,53
REQ00589,Medical secretary,D011,On Hold,39
REQ00590,Ambulance person,D002,Closed,58
REQ00591,Education administrator,D015,On Hold,26
REQ00592,Learning mentor,D015,Closed,87
REQ00593,Minerals surveyor,D001,Closed,54
