skill_id,year,demand_index
SK0152,2023,59
SK0286,2021,47
SK0196,2023,93
SK0204,2024,78
SK0281,2021,39
SK0151,2021,27
SK0024,2024,62
SK0295,2021,23
SK0127,2026,72
SK0107,2024,27
SK0276,2022,82
SK0049,2026,26
SK0106,2026,72
SK0217,2021,15
SK0262,2024,15
SK0262,2023,66
SK0237,2023,77
SK0020,2023,87
SK0060,2022,94
SK0086,2024,30
SK0122,2024,71
SK0278,2022,44
SK0109,2021,59
SK0152,2021,66
SK0050,2022,54
SK0177,2025,26
SK0071,2023,38
SK0185,2024,29
SK0135,2022,84
SK0004,2021,66
SK0237,2022,24
SK0082,2022,93
SK0113,2023,30
SK0218,2026,61
SK0055,2026,31
SK0053,2026,52
SK0017,2025,81
SK0229,2023,91
SK0277,2025,64
SK0176,2022,99
SK0177,2025,68
SK0058,2026,50
SK0033,2021,33
SK0154,2022,32
SK0034,2022,66
SK0269,2021,31
SK0111,2021,38
SK0193,2022,35
SK0291,2025,74
SK0032,2022,14
SK0174,2024,25
SK0295,2021,98
SK0243,2025,14
SK0199,2022,13
SK0026,2026,52
SK0032,2022,19
SK0017,2024,32
SK0298,2024,43
SK0169,2023,18
SK0102,2021,25
SK0167,2026,55
SK0139,2026,22
SK0190,2025,86
SK0064,2024,12
SK0289,2022,19
SK0262,2024,70
SK0171,2025,14
SK0180,2025,25
SK0159,2025,24
SK0142,2023,61
SK0110,2024,40
SK0083,2023,32
SK0229,2025,75
SK0027,2023,87
SK0176,2021,34
SK0087,2022,70
SK0229,2026,38
SK0042,2026,73
SK0229,2025,93
SK0230,2024,21
SK0097,2022,68
SK0172,2024,49
SK0221,2026,55
SK0278,2026,71
SK0187,2025,83
SK0270,2022,23
SK0144,2022,40
SK0239,2022,18
SK0265,2025,95
SK0039,2025,87
SK0026,2023,98
SK0205,2026,50
SK0110,2024,18
SK0065,2024,13
SK0188,2025,20
SK0123,2025,35
SK0288,2022,63
SK0284,2022,79
SK0163,2021,31
SK0149,2022,61
SK0048,2025,85
SK0114,2022,11
SK0062,2021,44
SK0131,2024,42
SK0286,2022,75
SK0217,2025,66
SK0007,2026,64
SK0275,2021,43
SK0015,2021,54
SK0042,2022,65
SK0214,2021,59
SK0021,2025,84
SK0257,2026,28
SK0070,2021,31
SK0042,2024,59
SK0215,2021,12
SK0024,2026,27
SK0239,2021,23
SK0247,2022,57
SK0289,2023,61
SK0168,2021,15
SK0055,2024,89
SK0282,2022,65
SK0110,2022,12
SK0133,2024,13
SK0274,2023,15
SK0151,2022,73
SK0040,2022,92
SK0202,2024,74
SK0042,2022,94
SK0139,2022,99
SK0130,2026,36
SK0048,2024,69
SK0142,2022,29
SK0131,2021,64
SK0208,2021,50
SK0116,2024,51
SK0285,2022,92
SK0295,2024,90
SK0129,2025,50
SK0162,2026,40
SK0202,2024,69
SK0290,2021,66
SK0300,2022,17
SK0140,2026,48
SK0062,2022,75
SK0296,2024,99
SK0017,2023,22
SK0288,2026,81
SK0132,2026,23
SK0300,2021,71
SK0106,2022,89
SK0028,2025,16
SK0095,2021,19
SK0252,2024,13
SK0026,2025,74
SK0289,2023,27
SK0090,2021,12
SK0268,2026,80
SK0153,2025,18
SK0102,2026,33
SK0242,2025,96
SK0096,2022,64
SK0038,2023,48
SK0141,2022,59
SK0200,2026,12
SK0008,2022,22
SK0004,2024,62
SK0082,2023,62
SK0275,2026,71
SK0012,2024,70
SK0202,2026,45
SK0199,2024,17
SK0300,2022,15
SK0015,2024,85
SK0023,2026,39
SK0286,2023,86
SK0139,2023,74
SK0094,2026,11
SK0028,2025,72
SK0052,2024,70
SK0206,2023,37
SK0033,2024,97
SK0263,2024,37
SK0056,2024,37
SK0007,2022,50
SK0061,2023,76
SK0128,2021,65
SK0179,2021,11
SK0208,2022,85
SK0116,2026,29
SK0031,2023,53
SK0267,2026,88
SK0057,2023,17
SK0284,2024,73
SK0124,2024,27
SK0110,2026,86
SK0213,2026,54
SK0180,2023,44
SK0240,2021,94
SK0182,2025,37
SK0212,2024,97
SK0241,2023,63
SK0175,2025,22
SK0189,2021,72
SK0021,2026,40
SK0209,2026,94
SK0266,2026,73
SK0027,2024,60
SK0021,2025,54
SK0200,2025,69
SK0193,2022,55
SK0049,2026,10
SK0230,2023,18
SK0136,2023,29
SK0151,2021,84
SK0228,2021,32
SK0112,2025,26
SK0210,2025,78
SK0172,2022,15
SK0218,2021,45
SK0219,2023,58
SK0179,2024,92
SK0163,2022,56
SK0285,2025,53
SK0203,2025,85
SK0210,2024,22
SK0269,2026,93
SK0294,2026,82
SK0261,2025,34
SK0241,2022,71
SK0081,2024,89
SK0226,2022,95
SK0048,2022,19
SK0176,2025,98
SK0245,2025,33
SK0053,2022,88
SK0065,2021,79
SK0251,2025,86
SK0049,2021,47
SK0031,2022,55
SK0110,2023,89
SK0077,2025,76
SK0295,2022,35
SK0261,2022,60
SK0250,2021,16
SK0224,2025,79
SK0017,2024,62
SK0020,2025,22
SK0232,2025,28
SK0164,2021,71
SK0258,2024,52
SK0191,2026,99
SK0094,2022,54
SK0108,2025,27
SK0081,2023,28
SK0259,2022,57
SK0227,2022,42
SK0063,2024,23
SK0285,2025,82
SK0171,2023,57
SK0084,2024,47
SK0205,2024,82
SK0140,2025,17
SK0081,2024,76
SK0131,2022,65
SK0172,2025,19
SK0151,2022,88
SK0158,2025,26
SK0042,2025,88
SK0156,2025,64
SK0187,2026,52
SK0143,2024,83
SK0123,2022,89
SK0051,2025,52
SK0276,2021,21
SK0007,2021,80
SK0104,2024,53
SK0049,2024,12
SK0054,2023,24
SK0249,2021,97
SK0157,2021,94
SK0173,2026,63
SK0296,2023,52
SK0246,2025,69
SK0059,2025,41
SK0095,2026,88
SK0123,2025,76
SK0194,2021,56
SK0072,2023,95
SK0136,2024,42
SK0185,2024,83
SK0127,2021,58
SK0018,2023,77
SK0012,2021,22
SK0275,2022,65
SK0229,2022,59
SK0038,2022,78
SK0106,2026,60
SK0108,2025,25
SK0249,2024,18
SK0056,2025,66
SK0095,2021,12
SK0237,2026,87
SK0249,2023,84
SK0142,2024,25
SK0035,2021,57
SK0024,2022,97
SK0285,2021,62
SK0214,2026,53
SK0247,2023,80
SK0149,2022,54
SK0033,2023,50
SK0183,2021,97
SK0119,2026,76
SK0043,2022,78
SK0103,2024,17
SK0054,2021,92
SK0165,2026,63
SK0258,2022,22
SK0042,2025,88
SK0085,2024,46
SK0222,2026,67
SK0059,2024,93
SK0117,2024,12
SK0148,2023,81
SK0224,2024,62
SK0062,2024,61
SK0085,2026,57
SK0228,2026,60
SK0215,2021,67
SK0071,2024,69
SK0240,2026,63
SK0161,2026,53
SK0253,2022,31
SK0179,2022,46
SK0022,2025,24
SK0056,2023,65
SK0136,2023,22
SK0065,2023,62
SK0299,2023,30
SK0032,2026,11
SK0109,2021,64
SK0140,2025,96
SK0298,2022,50
SK0093,2025,51
SK0092,2023,96
SK0297,2024,84
SK0053,2022,92
SK0224,2021,70
SK0259,2023,16
SK0264,2024,71
SK0200,2025,66
SK0080,2022,82
SK0041,2025,50
SK0056,2025,39
SK0096,2024,73
SK0102,2021,13
SK0166,2023,10
SK0163,2022,58
SK0165,2023,97
SK0116,2021,77
SK0011,2021,32
SK0129,2024,12
SK0027,2026,97
SK0271,2023,33
SK0138,2023,83
SK0193,2025,20
SK0264,2025,58
SK0161,2026,92
SK0006,2025,15
SK0177,2025,17
SK0055,2021,60
SK0189,2025,41
SK0162,2022,74
SK0175,2021,16
SK0290,2026,84
SK0212,2023,40
SK0111,2026,25
SK0115,2024,20
SK0197,2026,29
SK0065,2023,86
SK0283,2022,48
SK0284,2026,54
SK0161,2022,72
SK0074,2024,53
SK0038,2021,24
SK0274,2025,25
SK0034,2025,61
SK0085,2024,78
SK0048,2025,11
SK0235,2026,70
SK0224,2021,67
SK0111,2023,84
SK0130,2026,74
SK0252,2024,89
SK0259,2025,32
SK0069,2021,51
SK0028,2023,26
SK0270,2022,43
SK0295,2022,70
SK0133,2025,44
SK0063,2025,81
SK0197,2024,48
SK0018,2021,10
SK0129,2022,31
SK0233,2023,15
SK0175,2022,64
SK0203,2023,24
SK0295,2023,51
SK0119,2023,49
SK0209,2023,16
SK0113,2022,13
SK0223,2021,75
SK0049,2025,88
SK0174,2021,52
SK0123,2021,35
SK0076,2022,41
SK0123,2025,33
SK0199,2024,47
SK0002,2024,82
SK0189,2024,12
SK0189,2022,34
SK0120,2024,79
SK0149,2023,81
SK0093,2025,72
SK0127,2022,21
SK0104,2022,65
SK0296,2022,66
SK0283,2022,16
SK0016,2023,70
SK0077,2022,28
SK0242,2026,16
SK0021,2025,70
SK0112,2024,85
SK0130,2021,99
SK0172,2021,41
SK0294,2024,68
SK0178,2026,64
SK0254,2026,22
SK0141,2023,31
SK0047,2024,84
SK0194,2022,97
SK0209,2025,51
SK0243,2023,47
SK0299,2023,57
SK0010,2023,43
SK0178,2023,91
SK0130,2023,48
SK0010,2022,77
SK0253,2021,19
SK0292,2025,66
SK0203,2023,44
SK0011,2025,56
SK0023,2023,64
SK0251,2022,92
SK0104,2024,79
SK0276,2021,21
SK0151,2026,81
SK0113,2022,44
SK0210,2026,75
SK0021,2024,85
SK0283,2022,66
SK0286,2026,67
SK0210,2024,50
SK0153,2025,41
SK0284,2022,16
SK0283,2026,27
SK0016,2021,64
SK0095,2022,61
SK0049,2023,49
SK0243,2023,90
SK0068,2024,14
SK0060,2021,85
SK0104,2024,11
SK0048,2025,97
SK0215,2024,95
SK0206,2026,41
SK0021,2021,66
SK0062,2025,86
SK0125,2026,73
SK0083,2025,21
SK0057,2025,19
SK0229,2023,88
SK0164,2021,29
SK0230,2025,28
SK0200,2022,96
SK0018,2022,67
SK0144,2025,24
SK0012,2022,23
SK0074,2022,13
SK0133,2026,27
SK0179,2024,80
SK0074,2023,15
SK0158,2026,69
SK0133,2021,84
SK0275,2024,72
SK0146,2024,11
SK0005,2021,98
SK0130,2026,68
SK0091,2024,51
SK0299,2025,26
SK0205,2023,86
SK0278,2023,68
SK0010,2023,83
SK0234,2025,52
SK0181,2021,92
SK0157,2021,45
SK0023,2025,70
SK0292,2022,23
SK0299,2025,61
SK0199,2023,13
SK0127,2024,94
SK0060,2024,28
SK0116,2023,17
SK0252,2022,39
SK0249,2023,58
SK0055,2024,55
SK0023,2024,93
SK0057,2022,22
SK0102,2024,49
SK0261,2022,13
SK0278,2022,84
SK0257,2022,68
SK0001,2025,93
SK0137,2022,43
SK0285,2021,68
SK0176,2022,48
SK0290,2024,59
SK0170,2024,54
SK0200,2022,25
SK0133,2022,66
SK0286,2021,87
SK0184,2022,98
SK0273,2025,12
SK0075,2024,29
SK0227,2024,53
SK0284,2021,77
SK0152,2022,62
SK0121,2022,23
SK0159,2022,85
SK0244,2026,27
SK0001,2026,99
SK0210,2021,79
SK0213,2023,97
SK0089,2022,85
SK0021,2021,76
SK0176,2024,93
SK0033,2022,90
SK0127,2025,14
SK0170,2024,97
SK0118,2024,82
SK0167,2026,22
SK0119,2023,79
SK0166,2021,23
SK0074,2026,69
SK0164,2026,49
SK0207,2025,80
SK0149,2021,74
SK0219,2023,80
SK0267,2023,97
SK0263,2026,90
SK0118,2022,96
SK0285,2023,81
SK0289,2023,72
SK0260,2024,47
SK0039,2023,63
SK0118,2023,25
SK0109,2025,32
SK0266,2026,78
SK0266,2024,85
SK0001,2023,34
SK0245,2026,28
SK0172,2024,79
SK0014,2026,23
SK0065,2024,23
SK0230,2025,61
SK0255,2024,28
SK0254,2023,41
SK0264,2021,94
SK0006,2026,32
SK0242,2026,11
SK0010,2024,43
SK0056,2025,98
SK0104,2021,14
SK0164,2021,54
SK0072,2023,76
SK0142,2026,99
SK0041,2026,44
SK0275,2026,47
SK0296,2026,82
SK0103,2021,10
SK0283,2022,58
SK0270,2026,75
SK0034,2021,37
SK0136,2023,81
SK0127,2021,28
SK0116,2021,40
SK0046,2022,26
SK0020,2025,30
SK0144,2021,81
SK0084,2022,23
SK0244,2025,77
SK0068,2022,58
SK0177,2023,61
SK0117,2022,79
SK0167,2024,96
SK0022,2021,78
SK0236,2025,74
SK0051,2024,12
SK0063,2023,78
SK0002,2023,84
SK0224,2023,51
SK0024,2024,88
SK0245,2022,97
SK0106,2024,87
SK0025,2021,65
SK0113,2023,24
SK0041,2024,31
SK0219,2022,58
SK0067,2024,96
SK0245,2026,90
SK0034,2024,40
SK0274,2022,78
SK0019,2026,96
SK0182,2021,55
SK0201,2023,53
SK0190,2021,18
SK0278,2021,86
SK0076,2025,26
SK0163,2023,62
SK0135,2022,39
SK0289,2026,12
SK0037,2024,44
SK0266,2026,10
SK0090,2024,56
SK0136,2025,32
SK0143,2023,45
SK0130,2022,89
SK0183,2026,47
SK0119,2026,44
SK0211,2023,69
SK0234,2021,55
SK0155,2023,83
SK0236,2022,24
SK0048,2021,58
SK0032,2022,49
SK0045,2021,29
SK0071,2023,68
SK0031,2026,53
SK0297,2024,86
SK0248,2021,60
SK0198,2023,43
SK0158,2021,17
SK0170,2024,74
SK0288,2023,23
SK0252,2025,63
SK0170,2023,37
SK0283,2022,69
SK0230,2021,74
SK0118,2022,22
SK0023,2025,18
SK0258,2024,63
SK0001,2023,11
SK0217,2025,28
SK0231,2021,51
SK0159,2026,31
SK0272,2025,50
SK0035,2022,81
SK0179,2023,24
SK0136,2024,77
SK0046,2024,92
SK0270,2024,15
SK0011,2025,17
SK0124,2024,37
SK0285,2022,48
SK0144,2022,25
SK0171,2021,10
SK0251,2024,53
SK0038,2024,84
SK0240,2024,33
SK0228,2026,64
SK0068,2024,19
SK0142,2025,22
SK0175,2023,56
SK0033,2023,55
SK0020,2025,39
SK0105,2026,47
SK0089,2021,94
SK0035,2021,46
SK0117,2025,64
SK0078,2026,53
SK0197,2026,12
SK0294,2022,73
SK0131,2021,28
SK0042,2026,81
SK0126,2023,49
SK0155,2021,47
SK0064,2026,13
SK0017,2023,74
SK0202,2022,53
SK0239,2024,46
SK0037,2024,20
SK0091,2021,15
SK0258,2023,28
SK0097,2024,41
SK0258,2022,48
SK0012,2023,56
SK0138,2023,11
SK0202,2023,77
SK0136,2023,76
SK0278,2025,84
SK0011,2022,27
SK0026,2021,53
SK0174,2023,29
SK0041,2026,33
SK0194,2025,18
SK0278,2022,38
SK0238,2023,98
SK0179,2021,11
SK0229,2021,12
SK0121,2026,71
SK0006,2025,13
SK0126,2023,85
SK0182,2026,45
SK0297,2026,65
SK0294,2021,33
SK0251,2025,34
SK0300,2023,10
SK0286,2023,72
SK0143,2021,39
SK0252,2023,81
SK0096,2023,12
SK0100,2025,88
SK0212,2021,49
SK0047,2026,44
SK0063,2026,62
SK0040,2024,57
SK0188,2024,98
SK0149,2022,55
SK0220,2023,55
SK0289,2021,64
SK0023,2023,98
SK0022,2026,81
SK0051,2022,82
SK0122,2023,77
SK0002,2026,71
SK0010,2024,49
SK0231,2025,15
SK0276,2024,84
SK0002,2026,63
SK0241,2022,40
SK0228,2022,17
SK0157,2026,67
SK0104,2022,61
SK0241,2025,11
SK0130,2023,62
SK0282,2026,30
SK0003,2022,19
SK0036,2026,55
SK0154,2023,96
SK0189,2026,89
SK0239,2024,95
SK0263,2024,37
SK0290,2025,35
SK0241,2024,19
SK0223,2025,11
SK0285,2021,36
SK0264,2026,45
SK0114,2021,54
SK0250,2021,36
SK0014,2025,13
SK0149,2026,30
SK0205,2025,43
SK0019,2023,99
SK0190,2025,17
SK0156,2023,24
SK0065,2023,32
SK0178,2026,79
SK0109,2024,62
SK0100,2024,22
SK0019,2023,18
SK0178,2022,81
SK0259,2024,78
SK0035,2026,11
SK0130,2026,45
SK0239,2022,48
SK0196,2023,58
SK0049,2022,39
SK0288,2022,21
SK0078,2023,64
SK0218,2023,42
SK0221,2021,77
SK0180,2026,27
SK0203,2021,77
SK0215,2023,17
SK0203,2024,10
SK0240,2025,18
SK0292,2024,95
SK0027,2022,74
SK0203,2026,19
SK0088,2025,19
SK0133,2023,41
SK0013,2021,86
SK0123,2022,65
SK0216,2023,69
SK0254,2025,84
SK0245,2026,26
SK0188,2024,90
SK0150,2026,21
SK0259,2026,60
SK0230,2021,33
SK0084,2026,34
SK0238,2021,32
SK0292,2022,60
SK0210,2022,30
SK0052,2025,15
SK0261,2023,62
SK0018,2026,78
SK0008,2026,64
SK0112,2023,43
SK0149,2026,18
SK0069,2025,55
SK0207,2022,74
SK0229,2024,67
SK0051,2025,28
SK0147,2022,74
SK0133,2025,50
SK0134,2026,27
SK0263,2022,13
SK0123,2022,57
SK0137,2025,78
SK0123,2022,17
SK0285,2023,56
SK0133,2022,62
SK0158,2024,45
SK0180,2026,79
SK0065,2026,37
SK0042,2022,90
SK0147,2025,69
SK0150,2022,76
SK0182,2024,53
SK0001,2022,90
SK0130,2023,12
SK0243,2026,83
SK0136,2026,86
SK0146,2022,30
SK0067,2023,41
SK0110,2022,19
SK0145,2024,44
SK0208,2024,18
SK0236,2025,56
SK0084,2022,16
SK0279,2024,61
SK0032,2023,10
SK0194,2025,37
SK0218,2026,18
SK0102,2024,42
SK0053,2024,70
SK0181,2025,33
SK0240,2024,86
SK0171,2023,85
SK0020,2025,78
SK0173,2026,46
SK0021,2024,82
SK0299,2023,22
SK0121,2024,26
SK0241,2021,47
SK0238,2021,79
SK0062,2025,41
SK0019,2024,34
SK0298,2025,16
SK0149,2022,58
SK0079,2023,54
SK0218,2026,46
SK0265,2024,43
SK0251,2021,47
SK0167,2025,57
SK0200,2021,22
SK0275,2024,78
SK0207,2025,99
SK0054,2025,49
SK0062,2022,14
SK0149,2024,76
SK0170,2025,91
SK0069,2025,84
SK0157,2026,95
SK0181,2022,30
SK0190,2024,58
SK0036,2023,61
SK0194,2025,66
SK0187,2024,65
SK0176,2024,34
SK0277,2022,86
SK0038,2024,12
SK0033,2023,34
SK0132,2021,22
SK0256,2025,24
SK0057,2023,15
SK0031,2024,17
SK0039,2026,86
SK0213,2024,55
SK0053,2024,56
SK0272,2022,55
SK0240,2026,17
SK0165,2024,95
SK0198,2025,36
SK0214,2024,46
SK0089,2026,53
SK0178,2026,24
SK0099,2024,72
SK0003,2026,52
SK0219,2024,42
SK0062,2021,49
SK0222,2021,51
SK0195,2026,41
SK0217,2021,36
SK0256,2023,78
SK0161,2026,63
SK0195,2025,44
SK0152,2021,54
SK0233,2022,12
SK0239,2023,81
SK0070,2022,68
SK0124,2023,11
SK0098,2024,56
SK0244,2024,98
SK0103,2025,28
SK0253,2026,68
SK0165,2023,24
SK0285,2022,35
SK0165,2022,88
SK0041,2025,80
SK0234,2022,35
SK0161,2021,34
SK0236,2023,93
SK0290,2023,15
SK0207,2023,65
SK0105,2025,20
SK0205,2022,23
SK0193,2021,34
SK0050,2022,69
SK0032,2023,27
SK0194,2024,18
SK0082,2022,72
SK0022,2023,92
SK0228,2023,66
SK0139,2025,29
SK0178,2024,19
SK0157,2026,37
SK0215,2025,70
SK0278,2025,49
SK0023,2022,75
SK0254,2026,58
SK0190,2024,18
SK0299,2026,92
SK0290,2026,28
SK0069,2021,23
SK0208,2023,68
SK0249,2026,62
SK0086,2022,84
SK0295,2023,72
SK0075,2025,79
SK0300,2023,43
SK0203,2023,50
SK0223,2026,35
SK0072,2026,51
SK0123,2026,61
SK0089,2025,98
SK0221,2024,56
SK0045,2026,68
SK0042,2026,63
SK0025,2026,96
SK0028,2022,65
SK0182,2024,12
SK0010,2024,38
SK0268,2022,30
SK0213,2026,71
SK0094,2022,36
SK0008,2026,58
SK0045,2025,50
SK0034,2024,16
SK0036,2025,20
SK0120,2026,46
SK0271,2025,95
SK0184,2026,17
SK0120,2023,78
SK0048,2023,44
SK0109,2025,36
SK0222,2026,30
SK0113,2025,11
SK0177,2024,88
SK0022,2024,67
SK0032,2023,96
SK0216,2026,20
SK0219,2021,32
SK0009,2026,79
SK0171,2025,60
SK0172,2024,82
SK0244,2021,43
SK0264,2025,23
SK0291,2021,12
SK0140,2025,13
SK0211,2023,46
SK0182,2025,40
SK0222,2026,79
SK0262,2025,20
SK0258,2025,14
SK0276,2024,99
SK0009,2023,27
SK0133,2024,97
SK0202,2023,54
SK0107,2025,30
SK0235,2022,16
SK0281,2025,30
SK0233,2025,79
SK0078,2022,99
SK0113,2021,79
SK0059,2026,27
SK0281,2024,57
SK0123,2023,32
SK0226,2024,21
SK0020,2025,79
SK0038,2023,29
SK0200,2025,86
SK0012,2024,57
SK0211,2021,33
SK0136,2026,96
SK0016,2025,21
SK0254,2022,67
SK0198,2022,77
SK0267,2026,43
SK0174,2023,70
SK0143,2026,16
SK0299,2026,61
SK0206,2026,99
SK0033,2023,19
SK0126,2022,83
SK0113,2022,91
SK0078,2024,30
SK0213,2023,14
SK0288,2023,10
SK0106,2025,55
SK0287,2026,42
SK0194,2022,49
SK0155,2024,37
SK0020,2022,31
SK0282,2024,95
SK0060,2022,28
SK0101,2021,70
SK0008,2026,21
SK0111,2021,94
SK0272,2026,46
SK0220,2023,84
SK0225,2023,65
SK0263,2022,29
SK0139,2024,50
SK0267,2024,75
SK0185,2022,33
SK0035,2021,45
SK0264,2021,79
SK0274,2026,51
SK0179,2024,15
SK0126,2024,56
SK0291,2022,20
SK0065,2022,50
SK0212,2025,15
SK0048,2026,74
SK0238,2026,32
SK0202,2022,74
SK0232,2021,30
SK0281,2021,81
SK0194,2022,91
SK0227,2025,45
SK0214,2025,38
SK0083,2026,94
SK0160,2025,58
SK0277,2024,35
SK0086,2025,51
SK0061,2024,29
SK0192,2026,40
SK0106,2025,40
SK0226,2026,39
SK0136,2023,29
SK0087,2025,76
SK0056,2024,75
SK0085,2023,88
SK0096,2023,29
SK0129,2025,48
SK0023,2023,24
SK0288,2024,88
SK0073,2023,79
SK0253,2026,42
SK0014,2026,20
SK0109,2025,67
SK0142,2024,18
SK0081,2024,43
SK0034,2025,95
SK0212,2021,78
SK0251,2026,61
SK0067,2024,87
SK0205,2024,15
SK0237,2022,46
