candidate_id,skill_id,proficiency
CAND00023,SK0246,4
CAND12474,SK0103,1
CAND02115,SK0237,2
CAND00467,SK0013,4
CAND10008,SK0121,4
CAND01332,SK0057,3
CAND10294,SK0292,3
CAND03767,SK0282,1
CAND14007,SK0122,2
CAND01735,SK0183,1
CAND07136,SK0178,2
CAND04663,SK0227,1
CAND11024,SK0235,3
CAND02372,SK0166,1
CAND07902,SK0163,4
CAND01298,SK0028,5
CAND04110,SK0025,5
CAND09137,SK0216,2
CAND06779,SK0055,5
CAND06865,SK0187,3
CAND14836,SK0107,3
CAND10563,SK0193,2
CAND00927,SK0246,2
CAND13370,SK0034,4
CAND14919,SK0099,2
CAND02325,SK0093,2
CAND03870,SK0118,3
CAND04493,SK0154,2
CAND04341,SK0190,4
CAND09801,SK0059,2
CAND14101,SK0006,4
CAND14393,SK0108,4
CAND11988,SK0128,2
CAND00480,SK0156,1
CAND03147,SK0267,1
CAND00616,SK0186,3
CAND08164,SK0063,5
CAND04532,SK0145,2
CAND08984,SK0127,2
CAND14899,SK0187,4
CAND01055,SK0004,2
CAND11374,SK0118,3
CAND10868,SK0248,2
CAND13024,SK0202,2
CAND11871,SK0119,1
CAND13608,SK0117,2
CAND01796,SK0216,3
CAND12361,SK0130,3
CAND13183,SK0296,3
CAND00449,SK0165,2
CAND10501,SK0200,3
CAND03202,SK0209,1
CAND06479,SK0235,5
CAND05347,SK0118,3
CAND14258,SK0072,1
CAND06488,SK0236,5
CAND06548,SK0245,4
CAND12597,SK0098,2
CAND00317,SK0169,1
CAND12132,SK0043,1
CAND09618,SK0160,3
CAND09730,SK0173,5
CAND08886,SK0126,1
CAND04952,SK0153,4
CAND08458,SK0282,5
CAND09292,SK0080,2
CAND13973,SK0070,2
CAND10904,SK0033,4
CAND10645,SK0285,1
CAND05919,SK0300,5
CAND10992,SK0089,1
CAND01052,SK0249,5
CAND07927,SK0013,3
CAND03473,SK0165,2
CAND14612,SK0295,5
CAND02962,SK0210,2
CAND04052,SK0225,1
CAND10412,SK0210,5
CAND13737,SK0181,2
CAND13292,SK0084,4
CAND14666,SK0201,3
CAND04800,SK0278,4
CAND10200,SK0167,1
CAND06348,SK0063,1
CAND07342,SK0112,5
CAND11444,SK0091,3
CAND12583,SK0109,2
CAND02968,SK0210,2
CAND07028,SK0296,3
CAND01265,SK0026,2
CAND11214,SK0044,4
CAND14923,SK0008,5
CAND14433,SK0040,2
CAND13500,SK0072,5
CAND08975,SK0045,3
CAND07557,SK0117,5
CAND11021,SK0199,2
CAND04372,SK0050,2
CAND07073,SK0047,2
CAND05251,SK0299,3
CAND06336,SK0193,2
CAND03604,SK0237,4
CAND01962,SK0298,1
CAND02965,SK0228,4
CAND00064,SK0016,3
CAND09986,SK0060,5
CAND01248,SK0240,2
CAND14206,SK0153,2
CAND12034,SK0167,1
CAND08200,SK0141,2
CAND08985,SK0080,1
CAND00703,SK0253,4
CAND02883,SK0231,5
CAND05246,SK0186,1
CAND06958,SK0198,5
CAND01066,SK0110,1
CAND04221,SK0177,4
CAND14419,SK0006,4
CAND11254,SK0017,4
CAND07573,SK0283,1
CAND00096,SK0068,4
CAND09976,SK0197,4
CAND02211,SK0129,2
CAND10164,SK0169,1
CAND01653,SK0256,5
CAND14147,SK0115,3
CAND04481,SK0117,1
CAND10769,SK0115,5
CAND09002,SK0227,4
CAND02245,SK0010,5
CAND02516,SK0059,5
CAND10887,SK0015,1
CAND08297,SK0146,4
CAND00518,SK0144,1
CAND11434,SK0122,5
CAND12999,SK0023,1
CAND05572,SK0247,5
CAND05654,SK0259,2
CAND00799,SK0111,1
CAND05481,SK0104,1
CAND03712,SK0187,1
CAND02515,SK0152,5
CAND13753,SK0245,1
CAND13186,SK0199,2
CAND08272,SK0280,5
CAND10177,SK0202,5
CAND06837,SK0160,3
CAND12054,SK0245,4
CAND06916,SK0266,4
CAND13458,SK0042,1
CAND03213,SK0083,2
CAND08911,SK0285,4
CAND14106,SK0089,1
CAND02498,SK0140,3
CAND13638,SK0048,2
CAND14123,SK0002,3
CAND04624,SK0177,2
CAND03550,SK0052,3
CAND04302,SK0123,5
CAND01495,SK0083,5
CAND04679,SK0025,4
CAND06711,SK0276,4
CAND05033,SK0063,5
CAND14653,SK0155,2
CAND03679,SK0022,3
CAND04086,SK0078,4
CAND12097,SK0277,5
CAND08918,SK0180,3
CAND13384,SK0272,2
CAND14642,SK0049,2
CAND00949,SK0087,2
CAND08745,SK0241,1
CAND06078,SK0224,2
CAND07627,SK0202,2
CAND09397,SK0184,5
CAND06996,SK0016,3
CAND07574,SK0128,2
CAND13576,SK0141,3
CAND03351,SK0123,2
CAND12010,SK0202,5
CAND00936,SK0222,1
CAND10473,SK0093,1
CAND09796,SK0221,1
CAND05220,SK0088,4
CAND00466,SK0010,5
CAND04923,SK0219,1
CAND04699,SK0071,3
CAND02775,SK0240,4
CAND10401,SK0290,5
CAND01406,SK0147,3
CAND12749,SK0248,1
CAND08431,SK0011,4
CAND06409,SK0098,2
CAND01695,SK0037,5
CAND09531,SK0267,1
CAND12097,SK0237,3
CAND12403,SK0109,3
CAND14048,SK0179,5
CAND07619,SK0271,3
CAND10078,SK0269,5
CAND06374,SK0249,4
CAND11636,SK0262,3
CAND07921,SK0146,5
CAND13567,SK0098,2
CAND02453,SK0167,1
CAND01020,SK0256,4
CAND07557,SK0210,4
CAND07670,SK0108,1
CAND13699,SK0003,2
CAND14232,SK0246,3
CAND10880,SK0202,1
CAND10194,SK0016,3
CAND02979,SK0068,2
CAND06794,SK0196,3
CAND14460,SK0271,2
CAND06776,SK0036,2
CAND14551,SK0049,4
CAND04092,SK0102,3
CAND06062,SK0281,1
CAND11506,SK0206,4
CAND09976,SK0050,2
CAND05126,SK0089,1
CAND03114,SK0224,3
CAND14890,SK0069,3
CAND10235,SK0085,4
CAND02826,SK0298,5
CAND09370,SK0120,2
CAND07401,SK0147,1
CAND13865,SK0102,1
CAND02453,SK0114,4
CAND07986,SK0034,4
CAND08111,SK0132,2
CAND02197,SK0108,4
CAND14244,SK0255,2
CAND04404,SK0017,5
CAND00722,SK0158,1
CAND00111,SK0046,4
CAND03350,SK0140,4
CAND04761,SK0107,5
CAND13724,SK0218,5
CAND04723,SK0227,2
CAND00161,SK0059,2
CAND06290,SK0171,1
CAND09260,SK0250,1
CAND02333,SK0291,5
CAND02456,SK0164,1
CAND00290,SK0174,4
CAND10210,SK0114,3
CAND10300,SK0208,5
CAND00141,SK0234,3
CAND14495,SK0161,3
CAND07886,SK0265,3
CAND08170,SK0103,1
CAND10719,SK0298,3
CAND04621,SK0254,1
CAND02110,SK0281,5
CAND00835,SK0171,4
CAND14908,SK0232,5
CAND10906,SK0059,4
CAND11842,SK0264,2
CAND09275,SK0292,4
CAND03296,SK0082,3
CAND06558,SK0264,3
CAND13475,SK0237,5
CAND07775,SK0138,1
CAND03324,SK0026,5
CAND03828,SK0293,5
CAND00674,SK0223,3
CAND01206,SK0247,1
CAND06705,SK0289,3
CAND06655,SK0032,1
CAND13054,SK0270,1
CAND04887,SK0159,3
CAND09077,SK0087,2
CAND12928,SK0273,3
CAND04192,SK0066,1
CAND01369,SK0129,1
CAND03209,SK0102,2
CAND09995,SK0259,5
CAND12500,SK0082,5
CAND09153,SK0257,2
CAND14319,SK0160,5
CAND14360,SK0117,3
CAND06058,SK0159,1
CAND08979,SK0025,5
CAND00722,SK0201,2
CAND04751,SK0087,1
CAND09422,SK0299,1
CAND06756,SK0092,3
CAND02536,SK0262,3
CAND03875,SK0291,3
CAND06528,SK0258,5
CAND13494,SK0105,2
CAND14203,SK0053,4
CAND09068,SK0190,4
CAND09308,SK0244,4
CAND08802,SK0265,5
CAND05041,SK0243,3
CAND01700,SK0031,4
CAND13375,SK0278,5
CAND09205,SK0242,3
CAND05383,SK0021,3
CAND09919,SK0007,4
CAND05808,SK0157,4
CAND01294,SK0114,5
CAND07963,SK0104,3
CAND02172,SK0127,3
CAND05384,SK0011,1
CAND11155,SK0188,5
CAND08521,SK0045,4
CAND11133,SK0173,3
CAND07233,SK0299,1
CAND03403,SK0032,4
CAND10013,SK0037,2
CAND12536,SK0067,3
CAND09822,SK0120,2
CAND10901,SK0054,4
CAND06366,SK0151,2
CAND02698,SK0114,2
CAND09663,SK0123,2
CAND03100,SK0103,5
CAND08749,SK0080,4
CAND11028,SK0083,4
CAND11000,SK0291,4
CAND02151,SK0100,1
CAND00720,SK0254,5
CAND01377,SK0298,2
CAND10597,SK0034,1
CAND01427,SK0293,4
CAND14509,SK0036,4
CAND09054,SK0283,4
CAND09525,SK0105,1
CAND13375,SK0176,5
CAND05959,SK0114,4
CAND02171,SK0160,4
CAND01118,SK0102,3
CAND04022,SK0119,4
CAND10506,SK0239,1
CAND13385,SK0255,3
CAND14885,SK0269,3
CAND14707,SK0200,2
CAND03278,SK0044,5
CAND01504,SK0241,3
CAND01004,SK0296,1
CAND09045,SK0263,1
CAND13965,SK0174,4
CAND06740,SK0034,4
CAND05678,SK0244,4
CAND10493,SK0193,5
CAND04601,SK0078,3
CAND14325,SK0102,3
CAND13120,SK0054,2
CAND05782,SK0038,4
CAND13575,SK0162,1
CAND01095,SK0098,1
CAND03985,SK0225,1
CAND07071,SK0251,3
CAND12930,SK0259,4
CAND08398,SK0242,1
CAND02909,SK0160,4
CAND02979,SK0015,1
CAND12693,SK0258,5
CAND07519,SK0238,2
CAND03997,SK0055,5
CAND11482,SK0182,2
CAND02925,SK0153,4
CAND05973,SK0084,5
CAND03929,SK0080,4
CAND14099,SK0250,4
CAND02603,SK0104,4
CAND10289,SK0259,5
CAND06615,SK0124,3
CAND06328,SK0276,3
CAND14197,SK0105,5
CAND11891,SK0063,4
CAND05388,SK0200,1
CAND03781,SK0156,3
CAND11872,SK0269,4
CAND09405,SK0261,5
CAND14382,SK0245,5
CAND09028,SK0059,1
CAND02872,SK0119,1
CAND10671,SK0123,1
CAND03715,SK0091,1
CAND00594,SK0007,3
CAND06307,SK0151,1
CAND13093,SK0153,5
CAND00299,SK0152,2
CAND01956,SK0074,4
CAND07674,SK0282,3
CAND09588,SK0017,4
CAND09744,SK0269,5
CAND04393,SK0268,4
CAND07318,SK0157,2
CAND08248,SK0072,5
CAND11709,SK0119,2
CAND08098,SK0059,5
CAND00957,SK0077,3
CAND03737,SK0216,1
CAND04964,SK0220,1
CAND10044,SK0037,2
CAND13831,SK0019,2
CAND08371,SK0063,2
CAND05820,SK0286,3
CAND06293,SK0167,4
CAND03249,SK0139,1
CAND13259,SK0082,3
CAND11875,SK0238,4
CAND05667,SK0230,3
CAND11493,SK0179,3
CAND05218,SK0181,4
CAND09422,SK0295,1
CAND10817,SK0042,5
CAND14729,SK0276,2
CAND05049,SK0084,1
CAND00392,SK0073,2
CAND03028,SK0289,4
CAND09864,SK0228,5
CAND09931,SK0040,1
CAND09160,SK0063,4
CAND14772,SK0100,4
CAND04454,SK0109,1
CAND14040,SK0184,2
CAND03739,SK0104,2
CAND14734,SK0250,1
CAND08657,SK0182,2
CAND08276,SK0137,3
CAND00749,SK0019,1
CAND08947,SK0075,3
CAND03519,SK0047,1
CAND02474,SK0116,4
CAND13388,SK0158,1
CAND00322,SK0092,2
CAND07036,SK0096,4
CAND01765,SK0029,2
CAND10475,SK0023,3
CAND02496,SK0145,1
CAND14160,SK0106,5
CAND05261,SK0263,1
CAND11040,SK0291,3
CAND01628,SK0063,1
CAND02907,SK0111,2
CAND04107,SK0166,1
CAND01099,SK0270,1
CAND05423,SK0048,5
CAND12705,SK0025,5
CAND11516,SK0096,1
CAND11388,SK0073,2
CAND06025,SK0144,4
CAND05007,SK0205,2
CAND03133,SK0039,5
CAND02215,SK0076,3
CAND09961,SK0256,4
CAND03886,SK0045,1
CAND10872,SK0298,3
CAND02065,SK0187,5
CAND03321,SK0124,3
CAND12068,SK0041,4
CAND12533,SK0128,3
CAND05052,SK0294,2
CAND07239,SK0085,2
CAND03535,SK0230,1
CAND05354,SK0186,2
CAND10887,SK0127,2
CAND13522,SK0141,3
CAND14034,SK0081,5
CAND13013,SK0259,3
CAND14694,SK0193,5
CAND09965,SK0297,5
CAND08809,SK0244,5
CAND03277,SK0106,3
CAND01424,SK0157,5
CAND12734,SK0044,5
CAND13633,SK0087,5
CAND07053,SK0043,5
CAND12820,SK0228,2
CAND00460,SK0265,5
CAND02216,SK0128,4
CAND02806,SK0017,5
CAND12135,SK0005,5
CAND01282,SK0055,5
CAND04990,SK0099,3
CAND08841,SK0070,3
CAND10120,SK0292,5
CAND03502,SK0113,3
CAND03272,SK0165,1
CAND09043,SK0064,5
CAND06140,SK0151,5
CAND10862,SK0191,3
CAND09094,SK0150,2
CAND01971,SK0132,3
CAND08467,SK0042,3
CAND14302,SK0001,3
CAND02800,SK0039,4
CAND10366,SK0085,3
CAND07370,SK0228,5
CAND14549,SK0011,1
CAND09789,SK0263,4
CAND05617,SK0239,1
CAND07296,SK0050,2
CAND12774,SK0074,2
CAND05936,SK0288,5
CAND11888,SK0288,1
CAND04412,SK0087,3
CAND02924,SK0294,5
CAND10215,SK0202,2
CAND05232,SK0154,2
CAND04818,SK0283,3
CAND00461,SK0092,1
CAND09991,SK0039,4
CAND02255,SK0288,2
CAND06099,SK0243,4
CAND05975,SK0038,4
CAND06535,SK0071,2
CAND09496,SK0162,4
CAND06289,SK0186,4
CAND05698,SK0176,3
CAND03761,SK0015,2
CAND12110,SK0002,2
CAND08243,SK0223,1
CAND08715,SK0282,4
CAND13042,SK0049,1
CAND02719,SK0288,4
CAND13982,SK0006,5
CAND04535,SK0025,5
CAND03660,SK0025,1
CAND12170,SK0061,3
CAND05618,SK0117,3
CAND05328,SK0085,3
CAND10879,SK0173,3
CAND03150,SK0023,1
CAND02354,SK0259,2
CAND08400,SK0167,5
CAND06784,SK0128,4
CAND02163,SK0015,3
CAND10282,SK0059,5
CAND03258,SK0088,5
CAND00525,SK0214,4
CAND13312,SK0205,4
CAND13689,SK0016,3
CAND05333,SK0062,2
CAND00188,SK0104,3
CAND02067,SK0133,1
CAND07074,SK0051,3
CAND02561,SK0145,3
CAND14784,SK0160,3
CAND05091,SK0200,4
CAND14558,SK0206,4
CAND00306,SK0219,2
CAND03349,SK0138,1
CAND10772,SK0258,5
CAND03205,SK0054,4
CAND05691,SK0142,2
CAND02444,SK0182,1
CAND12927,SK0229,4
CAND12451,SK0067,2
CAND11741,SK0067,1
CAND11393,SK0013,2
CAND05908,SK0124,3
CAND10541,SK0009,3
CAND08480,SK0227,2
CAND11352,SK0002,2
CAND00791,SK0185,2
CAND10146,SK0089,4
CAND06960,SK0298,3
CAND03183,SK0282,1
CAND13586,SK0030,3
CAND07413,SK0036,3
CAND07786,SK0243,3
CAND05738,SK0088,3
CAND10854,SK0194,4
CAND03310,SK0187,1
CAND10877,SK0081,5
CAND07801,SK0031,2
CAND07723,SK0266,5
CAND00601,SK0034,4
CAND13367,SK0269,3
CAND07137,SK0141,1
CAND03683,SK0132,3
CAND12307,SK0165,4
CAND01154,SK0043,3
CAND04186,SK0291,2
CAND06261,SK0012,5
CAND02186,SK0213,1
CAND00193,SK0053,4
CAND05668,SK0143,3
CAND05877,SK0263,5
CAND14933,SK0158,3
CAND00104,SK0133,1
CAND02023,SK0130,3
CAND00248,SK0169,1
CAND02196,SK0099,5
CAND00863,SK0150,5
CAND07963,SK0184,2
CAND01627,SK0034,4
CAND12643,SK0049,1
CAND12678,SK0287,5
CAND03243,SK0010,2
CAND07135,SK0252,2
CAND14721,SK0285,1
CAND12016,SK0130,2
CAND07225,SK0211,5
CAND07259,SK0271,3
CAND05860,SK0033,2
CAND01305,SK0139,5
CAND07155,SK0198,2
CAND02150,SK0296,4
CAND12466,SK0155,1
CAND03141,SK0276,1
CAND01282,SK0009,3
CAND11913,SK0175,2
CAND08073,SK0207,4
CAND12793,SK0167,1
CAND01266,SK0211,4
CAND09326,SK0196,2
CAND06609,SK0166,2
CAND11795,SK0104,3
CAND00407,SK0098,3
CAND03111,SK0223,2
CAND01968,SK0187,2
CAND01191,SK0259,3
CAND03257,SK0068,5
CAND11877,SK0230,3
CAND07599,SK0292,5
CAND04912,SK0123,5
CAND00420,SK0074,4
CAND01506,SK0157,4
CAND06252,SK0190,1
CAND09062,SK0048,4
CAND04545,SK0212,5
CAND11055,SK0050,3
CAND12620,SK0009,1
CAND06390,SK0010,2
CAND01275,SK0013,5
CAND14963,SK0258,1
CAND07416,SK0136,3
CAND07033,SK0262,4
CAND07864,SK0265,4
CAND05784,SK0105,1
CAND14142,SK0097,1
CAND12936,SK0137,1
CAND11120,SK0158,1
CAND14196,SK0226,3
CAND02332,SK0120,1
CAND01786,SK0170,4
CAND03806,SK0001,3
CAND09778,SK0257,2
CAND13228,SK0074,3
CAND08219,SK0140,2
CAND10700,SK0142,2
CAND11580,SK0064,5
CAND03700,SK0113,1
CAND02236,SK0061,2
CAND08657,SK0022,1
CAND12708,SK0135,5
CAND07236,SK0206,3
CAND05959,SK0045,2
CAND04445,SK0175,2
CAND03116,SK0077,3
CAND07578,SK0115,1
CAND06789,SK0217,1
CAND13557,SK0181,4
CAND07352,SK0204,2
CAND06411,SK0165,5
CAND03461,SK0202,4
CAND11216,SK0055,5
CAND09857,SK0042,5
CAND02022,SK0128,5
CAND08922,SK0162,4
CAND05264,SK0050,3
CAND10630,SK0019,4
CAND02261,SK0133,4
CAND14702,SK0113,1
CAND12018,SK0216,4
CAND05069,SK0043,5
CAND09464,SK0193,3
CAND03775,SK0104,1
CAND08065,SK0062,3
CAND02965,SK0006,2
CAND13019,SK0033,1
CAND14859,SK0278,4
CAND03504,SK0272,4
CAND04984,SK0031,3
CAND06600,SK0187,5
CAND10168,SK0011,5
CAND05080,SK0147,5
CAND10830,SK0152,3
CAND10395,SK0267,3
CAND00933,SK0095,4
CAND06632,SK0061,1
CAND02247,SK0045,3
CAND04223,SK0189,5
CAND05798,SK0012,5
CAND08189,SK0182,1
CAND01960,SK0002,1
CAND07378,SK0001,1
CAND11214,SK0159,4
CAND10022,SK0105,4
CAND12649,SK0047,1
CAND04185,SK0246,2
CAND14572,SK0232,1
CAND05029,SK0236,2
CAND09786,SK0009,3
CAND09194,SK0142,4
CAND12712,SK0071,3
CAND09979,SK0149,3
CAND04971,SK0038,4
CAND06101,SK0250,1
CAND05019,SK0297,3
CAND07219,SK0274,4
CAND06533,SK0229,1
CAND14216,SK0143,4
CAND07219,SK0264,4
CAND05546,SK0106,2
CAND01167,SK0199,1
CAND05506,SK0159,1
CAND01665,SK0036,5
CAND14161,SK0088,3
CAND06686,SK0155,2
CAND03556,SK0065,4
CAND05360,SK0229,4
CAND00807,SK0022,2
CAND09003,SK0292,5
CAND10143,SK0088,2
CAND14656,SK0140,3
CAND03862,SK0069,3
CAND06400,SK0248,4
CAND12976,SK0042,4
CAND01396,SK0053,4
CAND11150,SK0149,4
CAND00257,SK0186,3
CAND04487,SK0073,2
CAND00772,SK0215,2
CAND14730,SK0071,5
CAND00279,SK0095,2
CAND12315,SK0215,1
CAND10526,SK0241,1
CAND08038,SK0281,4
CAND07593,SK0179,4
CAND07183,SK0042,2
CAND08144,SK0078,4
CAND06642,SK0187,4
CAND12208,SK0113,3
CAND12656,SK0051,4
CAND11719,SK0143,5
CAND13868,SK0237,2
CAND13425,SK0087,5
CAND14019,SK0183,1
CAND00883,SK0270,5
CAND04172,SK0146,1
CAND08310,SK0254,2
CAND14725,SK0066,5
CAND00525,SK0197,1
CAND09400,SK0033,4
CAND13832,SK0014,2
CAND07304,SK0212,3
CAND14397,SK0085,2
CAND08029,SK0030,5
CAND05905,SK0257,4
CAND07000,SK0119,1
CAND09229,SK0126,1
CAND02314,SK0224,1
CAND10373,SK0028,5
CAND00646,SK0195,5
CAND09841,SK0045,4
CAND13855,SK0200,2
CAND05351,SK0013,2
CAND01177,SK0090,3
CAND02372,SK0245,3
CAND06557,SK0080,5
CAND02765,SK0230,3
CAND03844,SK0223,2
CAND03490,SK0150,2
CAND08990,SK0287,2
CAND04702,SK0073,1
CAND08247,SK0120,1
CAND08533,SK0160,1
CAND14938,SK0288,3
CAND08693,SK0111,5
CAND12373,SK0274,2
CAND10455,SK0277,1
CAND12549,SK0232,3
CAND09682,SK0171,2
CAND03515,SK0205,5
CAND07046,SK0226,1
CAND11304,SK0058,2
CAND02971,SK0028,4
CAND08423,SK0035,5
CAND01837,SK0224,1
CAND12719,SK0056,1
CAND01932,SK0037,5
CAND10343,SK0097,4
CAND11831,SK0200,3
CAND07542,SK0291,1
CAND14862,SK0091,4
CAND11922,SK0291,4
CAND04336,SK0059,1
CAND11306,SK0098,1
CAND01128,SK0223,3
CAND00591,SK0249,5
CAND04933,SK0228,2
CAND09356,SK0092,1
CAND13832,SK0240,4
CAND00523,SK0185,1
CAND08099,SK0145,2
CAND07510,SK0115,2
CAND09482,SK0217,3
CAND11366,SK0049,3
