employee_id,salary,bonus,department_id,job_title,effective_date
EMP00083,135765.39,16864.56,D013,"Programme researcher, broadcasting/film/video",2024-09-24
EMP00084,99294.21,13411.68,D001,"Scientist, research (medical)",2023-09-05
EMP00085,95849.09,5281.09,D016,"Engineer, mining",2023-12-02
EMP00086,110885.65,4516.41,D014,Investment analyst,2024-04-13
EMP00087,113439.58,4972.94,D016,"Buyer, industrial",2025-11-24
EMP00088,77213.32,9848.33,D014,Production manager,2024-09-04
EMP00089,121291.64,12165.32,D001,"Teacher, music",2025-03-27
EMP00090,97428.79,13531.39,D007,Sports coach,2025-06-20
EMP00091,164606.18,8055.48,D008,"Engineer, communications",2023-08-30
EMP00092,64178.31,578.34,D001,Retail banker,2025-05-01
EMP00093,75714.09,11701.74,D013,"Programmer, multimedia",2024-05-02
EMP00094,90881.01,17651.31,D004,Chartered public finance accountant,2024-07-24
EMP00095,122334.54,18334.9,D004,Financial controller,2026-04-11
EMP00096,117528.01,18185.22,D013,Land/geomatics surveyor,2025-04-19
EMP00097,121590.02,13331.87,D019,Magazine journalist,2025-01-05
EMP00098,62934.6,1818.25,D017,Occupational psychologist,2026-05-17
EMP00099,126427.44,23578.58,D020,Photographer,2025-02-15
EMP00100,73606.6,4106.81,D002,Waste management officer,2024-09-25
EMP00101,111769.02,1956.98,D018,Podiatrist,2024-02-02
EMP00102,115828.28,12369.28,D007,Firefighter,2026-03-07
EMP00103,126127.81,10312.91,D011,"Engineer, electronics",2024-01-11
EMP00104,83240.09,9071.78,D008,Special effects artist,2025-07-09
EMP00105,68386.97,11269.02,D004,"Teacher, special educational needs",2026-03-27
EMP00106,107017.37,1304.28,D010,Marine scientist,2024-02-04
EMP00107,107152.31,4304.71,D007,Soil scientist,2025-07-30
EMP00108,123668.53,5147.08,D009,Press sub,2023-09-01
EMP00109,108165.51,20160.91,D007,Fitness centre manager,2023-12-02
EMP00110,114318.78,21750.17,D010,Broadcast journalist,2023-11-07
EMP00111,72257.61,11714.25,D009,"Psychologist, forensic",2026-05-06
EMP00112,137665.93,8329.8,D015,"Social research officer, government",2025-10-19
EMP00113,126613.17,14876.35,D005,Counsellor,2025-05-19
EMP00114,94528.19,5752.5,D016,"Journalist, newspaper",2023-12-07
EMP00115,141920.36,21574.93,D009,Naval architect,2026-04-12
EMP00116,105871.54,9322.31,D002,Armed forces training and education officer,2025-06-17
EMP00117,120956.31,20672.45,D003,Community education officer,2024-10-10
EMP00118,103833.15,10210.12,D012,Tourism officer,2026-05-24
EMP00119,130276.05,22353.21,D004,Volunteer coordinator,2025-11-12
EMP00120,56339.84,10431.71,D012,Television production assistant,2026-03-17
EMP00121,104561.08,17110.48,D005,Clinical psychologist,2023-12-09
EMP00122,104237.2,7906.43,D001,Podiatrist,2025-02-21
EMP00123,131812.95,14478.14,D017,"Conservation officer, nature",2025-07-28
EMP00124,86630.22,10770.55,D016,"Geneticist, molecular",2026-07-22
EMP00125,114765.26,4605.82,D020,Photographer,2024-05-02
EMP00126,93050.18,16004.24,D004,Toxicologist,2025-06-24
EMP00127,74497.35,7524.93,D015,Information officer,2025-10-01
EMP00128,127364.3,7978.74,D010,"Psychotherapist, dance movement",2024-05-15
EMP00129,83281.87,13113.59,D003,"Pharmacist, community",2026-06-08
EMP00130,126013.39,20234.83,D008,Dispensing optician,2024-11-23
EMP00131,111578.83,9446.29,D013,"Therapist, drama",2025-05-19
EMP00132,97261.77,18161.29,D002,"Engineer, building services",2025-04-14
EMP00133,102280.57,7851.76,D007,"Nurse, learning disability",2025-06-07
EMP00134,111786.12,16196.94,D002,Software engineer,2024-10-06
EMP00135,110805.59,16605.92,D011,Herpetologist,2024-06-17
EMP00136,105606.74,17155.17,D005,"Copywriter, advertising",2026-01-25
EMP00137,127250.2,2786.85,D007,Plant breeder/geneticist,2024-08-11
EMP00138,104340.62,9042.36,D006,"Scientist, water quality",2025-03-22
EMP00139,111076.91,8724.39,D005,Medical illustrator,2026-06-08
EMP00140,111196.92,12559.97,D001,Commercial horticulturist,2023-08-26
EMP00141,94855.74,15245.43,D012,Radio producer,2026-01-21
EMP00142,100263.57,15723.28,D014,Therapeutic radiographer,2026-03-24
EMP00143,105258.25,6546.23,D014,"Programmer, systems",2024-03-13
EMP00144,79238.21,6069.79,D003,"Engineer, aeronautical",2023-08-12
EMP00145,61509.55,6233.86,D011,Politician's assistant,2024-02-25
EMP00146,141474.71,16308.57,D005,Quarry manager,2026-05-14
EMP00147,144337.78,12532.0,D013,Systems analyst,2025-12-20
EMP00148,91481.95,2267.61,D010,Trading standards officer,2023-10-22
EMP00149,84585.9,8501.66,D009,Art therapist,2024-08-11
EMP00150,163832.94,27187.91,D002,Chemical engineer,2024-05-16
EMP00151,89365.36,13196.98,D014,"Accountant, chartered management",2024-06-20
EMP00152,95289.52,9211.37,D009,"Conservator, museum/gallery",2023-12-07
EMP00153,144742.82,25853.44,D017,"Research officer, trade union",2025-06-17
EMP00154,122422.85,12750.58,D001,Camera operator,2025-02-19
EMP00155,111709.64,14144.39,D011,Training and development officer,2026-02-06
EMP00156,101993.36,14196.52,D018,Barrister,2024-01-27
EMP00157,88836.59,4605.85,D008,Web designer,2025-01-02
EMP00158,105734.44,11558.6,D016,Intelligence analyst,2026-06-17
EMP00159,121231.46,23199.6,D006,Conference centre manager,2024-07-23
EMP00160,144991.48,3002.08,D003,Acupuncturist,2025-09-02
EMP00161,134617.75,22988.71,D018,Emergency planning/management officer,2025-03-25
EMP00162,97620.47,4620.52,D014,"Solicitor, Scotland",2024-06-25
EMP00163,93367.28,4749.98,D008,"Programme researcher, broadcasting/film/video",2024-07-28
EMP00164,65825.91,12719.67,D016,"Designer, interior/spatial",2025-04-29
EMP00165,125519.71,6181.96,D016,Chiropractor,2024-06-14
EMP00166,98189.7,12468.87,D014,"Conservation officer, historic buildings",2026-03-31
EMP00167,92900.78,9462.8,D014,Company secretary,2024-07-04
EMP00168,112578.83,20733.12,D004,Medical secretary,2026-04-29
EMP00169,130445.85,2534.86,D019,Call centre manager,2023-10-18
EMP00170,84763.21,8156.19,D004,"Teacher, music",2023-08-19
EMP00171,112932.98,22358.04,D013,Architectural technologist,2024-04-01
EMP00172,62580.71,12457.31,D015,Graphic designer,2026-04-30
EMP00173,161494.81,29366.24,D018,Management consultant,2025-05-08
EMP00174,76576.76,4715.21,D010,Museum/gallery exhibitions officer,2024-01-16
EMP00175,91893.34,10332.69,D007,Dramatherapist,2026-05-03
EMP00176,91136.97,7428.01,D012,Industrial/product designer,2025-07-09
EMP00177,115479.67,18513.35,D005,Geoscientist,2025-09-24
EMP00178,99322.77,1625.46,D019,Pensions consultant,2025-06-19
EMP00179,142090.23,7913.02,D018,"Education officer, museum",2026-05-07
EMP00180,89081.92,16362.79,D003,Dentist,2025-06-27
EMP00181,72630.18,14062.76,D019,Animal technologist,2024-07-24
EMP00182,103846.34,9551.16,D018,Chief Marketing Officer,2024-06-08
EMP00183,68764.17,7854.08,D009,"Nurse, adult",2026-08-02
EMP00184,119348.71,23736.65,D007,Legal secretary,2026-04-09
EMP00185,125678.63,20495.95,D012,"Physicist, medical",2025-12-28
EMP00186,101270.08,13165.04,D008,Orthoptist,2026-06-26
EMP00187,84155.91,10240.63,D020,"Engineer, water",2025-03-25
EMP00188,49726.18,2722.94,D016,Fashion designer,2024-09-08
EMP00189,103648.98,11864.45,D008,Town planner,2023-12-15
EMP00190,119511.27,2309.54,D017,"Engineer, petroleum",2023-11-17
EMP00191,83918.26,6069.33,D018,Manufacturing engineer,2024-08-09
EMP00192,118639.79,20574.45,D004,Animator,2025-12-09
EMP00193,103675.92,12903.96,D012,"Scientist, research (maths)",2025-07-12
EMP00194,101272.98,12891.21,D017,"Designer, furniture",2026-05-08
EMP00195,111983.11,4672.1,D003,Holiday representative,2023-10-16
EMP00196,63339.78,5480.11,D014,Energy engineer,2024-04-13
EMP00197,109973.36,8261.62,D004,"Conservator, museum/gallery",2024-06-17
EMP00198,92306.48,12372.56,D015,Music therapist,2025-12-05
EMP00199,96359.35,4945.72,D014,"Conservation officer, historic buildings",2025-05-30
EMP00200,100213.19,8806.18,D012,IT trainer,2024-07-06
EMP00201,138812.36,550.99,D015,Financial adviser,2026-05-30
EMP00202,102719.51,15779.28,D019,Solicitor,2023-12-27
EMP00203,86446.34,2925.3,D016,"Chemist, analytical",2026-07-14
EMP00204,116684.31,10590.21,D017,Health and safety inspector,2024-04-06
EMP00205,125244.97,951.27,D010,"Administrator, education",2025-10-29
EMP00206,106856.93,3738.93,D015,Farm manager,2026-06-17
EMP00207,90840.49,10695.71,D014,Astronomer,2023-09-04
EMP00208,123483.15,5204.12,D010,"Research officer, trade union",2025-12-07
EMP00209,132944.68,21956.21,D001,Interior and spatial designer,2024-08-16
EMP00210,99316.75,7400.12,D006,Intelligence analyst,2024-12-26
EMP00211,95199.86,834.68,D005,"Therapist, nutritional",2024-08-22
EMP00212,146498.18,24762.49,D009,Secretary/administrator,2025-04-02
EMP00213,136598.72,3754.09,D001,Herpetologist,2025-04-30
EMP00214,100747.14,9062.05,D009,Brewing technologist,2025-03-23
EMP00215,122037.08,12403.51,D001,Graphic designer,2025-06-27
EMP00216,117493.9,7230.47,D020,"Designer, jewellery",2026-07-03
EMP00217,131685.49,6412.83,D014,"Biochemist, clinical",2026-06-07
EMP00218,125692.62,1497.7,D003,Counsellor,2026-05-04
EMP00219,95587.51,16757.39,D001,Heritage manager,2026-06-02
EMP00220,139097.65,15072.55,D001,Seismic interpreter,2026-02-25
EMP00221,63529.37,12493.48,D005,Human resources officer,2025-03-30
EMP00222,138951.46,8207.43,D007,Energy manager,2023-09-04
EMP00223,137194.33,1110.56,D020,Logistics and distribution manager,2025-12-19
EMP00224,112674.12,3436.45,D013,Artist,2023-08-15
EMP00225,75967.15,161.03,D003,Ranger/warden,2025-10-09
EMP00226,68117.59,7719.64,D015,Health service manager,2025-07-26
EMP00227,135112.46,5882.24,D019,"Merchandiser, retail",2026-06-01
EMP00228,85759.44,349.31,D011,"Administrator, education",2025-04-14
EMP00229,118155.44,9848.67,D005,Tourism officer,2025-03-19
EMP00230,88756.33,11954.38,D001,"Engineer, petroleum",2025-09-27
EMP00231,97550.71,2072.43,D017,Fine artist,2024-06-12
EMP00232,100200.62,8499.95,D006,Educational psychologist,2024-08-22
EMP00233,180967.48,14592.46,D009,"Scientist, biomedical",2025-12-18
EMP00234,55082.86,2996.25,D002,Audiological scientist,2023-08-15
EMP00235,95290.27,1205.84,D003,Television/film/video producer,2023-10-20
EMP00236,131742.0,17741.8,D005,Systems analyst,2023-12-30
EMP00237,120970.84,9842.81,D009,Translator,2023-11-26
EMP00238,102505.18,11592.85,D010,"Psychologist, occupational",2024-05-19
EMP00239,87992.56,9085.76,D009,Agricultural consultant,2025-04-21
EMP00240,138917.49,21122.9,D006,Counselling psychologist,2026-03-28
EMP00241,96471.36,2674.24,D007,Geochemist,2025-04-14
EMP00242,72339.2,12373.95,D005,Geophysicist/field seismologist,2023-11-03
EMP00243,136998.75,5191.26,D015,"Accountant, chartered management",2024-01-21
EMP00244,128090.66,5789.12,D008,Immigration officer,2024-06-20
EMP00245,98859.85,11278.82,D009,"Engineer, electrical",2026-06-18
EMP00246,117219.7,17309.18,D014,Chartered legal executive (England and Wales),2025-05-12
EMP00247,125500.97,7220.59,D016,Aeronautical engineer,2024-03-22
EMP00248,120436.88,22857.26,D008,Water quality scientist,2024-12-14
EMP00249,107375.51,11630.87,D016,"Administrator, charities/voluntary organisations",2023-08-28
EMP00250,75918.52,7358.2,D009,Psychotherapist,2026-07-31
EMP00251,107172.95,7581.64,D016,Radio broadcast assistant,2024-06-08
EMP00252,113797.97,17943.49,D018,Chief Operating Officer,2024-06-30
EMP00253,125696.81,7200.95,D001,"Surveyor, hydrographic",2025-04-09
EMP00254,112702.8,2564.62,D015,Ecologist,2024-07-19
EMP00255,120194.1,1524.0,D008,Fashion designer,2024-09-23
EMP00256,151334.27,9641.62,D013,Land/geomatics surveyor,2026-05-13
EMP00257,114904.43,21358.25,D015,Financial controller,2025-04-21
EMP00258,99530.33,12047.0,D007,"Conservation officer, nature",2025-08-06
EMP00259,117200.22,2868.63,D010,Records manager,2025-04-10
EMP00260,50816.13,2001.15,D013,Public relations officer,2024-10-28
EMP00261,67869.0,7913.26,D014,English as a second language teacher,2024-12-23
EMP00262,114126.66,12772.8,D018,Recruitment consultant,2023-11-12
EMP00263,123205.99,19942.39,D016,Press photographer,2024-02-15
EMP00264,119108.32,17647.74,D015,Marine scientist,2025-02-12
EMP00265,83808.82,6611.71,D008,Lobbyist,2026-05-31
EMP00266,73967.82,12258.22,D015,Furniture designer,2026-03-18
EMP00267,124329.58,10294.83,D016,Prison officer,2023-10-26
EMP00268,120280.4,8760.47,D020,Occupational therapist,2025-09-14
EMP00269,71418.24,1043.44,D005,Bookseller,2026-06-01
EMP00270,136764.28,4597.94,D013,Primary school teacher,2026-01-30
EMP00271,96776.71,7598.62,D011,Conference centre manager,2026-05-19
EMP00272,97670.48,14083.86,D006,"Producer, radio",2026-06-10
EMP00273,114259.81,1221.43,D013,Marketing executive,2024-08-18
EMP00274,105362.55,339.99,D008,Publishing copy,2024-11-23
EMP00275,69649.47,4851.58,D001,Equality and diversity officer,2026-06-25
EMP00276,137123.14,5030.34,D011,Leisure centre manager,2023-09-18
EMP00277,115931.72,12102.88,D017,IT sales professional,2026-02-25
EMP00278,87635.29,13917.14,D002,Insurance claims handler,2025-04-17
EMP00279,109418.98,6215.78,D009,"Surveyor, hydrographic",2024-10-29
EMP00280,110667.04,16592.08,D016,Clinical biochemist,2025-07-18
EMP00281,150104.46,2612.43,D007,Homeopath,2026-06-26
EMP00282,98213.73,3987.5,D015,Psychotherapist,2024-09-06
EMP00283,123845.83,8408.51,D007,Chief Strategy Officer,2025-10-31
EMP00284,106178.73,20991.95,D002,Education administrator,2024-02-23
EMP00285,74460.46,2689.15,D007,Neurosurgeon,2023-08-24
EMP00286,86395.51,12368.74,D017,Optometrist,2026-06-11
EMP00287,130867.69,16672.7,D020,Phytotherapist,2024-03-20
EMP00288,115330.87,17015.65,D003,Claims inspector/assessor,2026-01-21
EMP00289,117156.63,15919.74,D002,"Librarian, academic",2024-12-26
EMP00290,88188.32,5305.87,D010,Fine artist,2026-03-21
EMP00291,115873.33,22377.42,D002,Telecommunications researcher,2026-06-27
EMP00292,99904.5,2551.45,D016,"Engineer, water",2025-11-04
EMP00293,78140.85,6051.27,D008,Technical author,2025-05-17
EMP00294,136606.32,2548.47,D011,Conference centre manager,2023-11-06
EMP00295,95705.97,8451.14,D006,Training and development officer,2025-09-17
EMP00296,101806.69,13786.67,D012,Geographical information systems officer,2023-12-07
EMP00297,81629.07,3297.28,D006,Editorial assistant,2023-09-10
EMP00298,92475.23,16109.78,D004,"Psychologist, counselling",2025-03-24
EMP00299,68804.43,1305.72,D019,Arts development officer,2024-11-19
EMP00300,124176.18,10987.87,D016,Corporate treasurer,2023-09-21
EMP00301,96047.5,9319.77,D008,Broadcast presenter,2023-11-15
EMP00302,137102.38,11756.26,D006,Logistics and distribution manager,2025-04-24
EMP00303,121533.3,19089.37,D017,Barrister's clerk,2026-04-02
EMP00304,128243.74,17000.2,D011,Chief Technology Officer,2025-09-05
EMP00305,72170.91,5847.12,D005,"Engineer, maintenance (IT)",2024-05-08
EMP00306,127930.21,24527.4,D020,Forest/woodland manager,2024-07-11
EMP00307,191881.32,13812.05,D007,Environmental education officer,2026-06-14
EMP00308,109549.54,15675.07,D019,Fisheries officer,2024-02-13
EMP00309,125389.68,16924.05,D016,"Teacher, early years/pre",2024-03-21
EMP00310,96277.68,7688.41,D010,Arts administrator,2025-01-17
EMP00311,95924.75,4312.57,D010,Press sub,2025-04-01
EMP00312,173411.81,16174.4,D016,"Designer, industrial/product",2024-04-03
EMP00313,78731.39,1934.92,D012,Public house manager,2026-05-20
EMP00314,119381.74,14580.65,D013,Water engineer,2025-12-13
EMP00315,87073.0,2100.41,D005,"Solicitor, Scotland",2026-07-26
EMP00316,146868.74,21660.85,D011,Video editor,2024-04-28
EMP00317,92569.94,10170.94,D003,Lawyer,2026-07-31
EMP00318,126339.44,1292.53,D015,Retail merchandiser,2023-10-23
EMP00319,124072.4,20364.55,D017,"Education officer, community",2025-08-31
EMP00320,96058.55,8711.81,D011,Holiday representative,2026-04-05
EMP00321,100144.3,8127.27,D004,Product manager,2026-02-13
EMP00322,95862.6,11228.63,D020,Public librarian,2026-02-05
EMP00323,89194.82,10766.33,D010,Energy engineer,2024-05-09
EMP00324,110637.31,7965.36,D012,"Engineer, structural",2025-12-02
EMP00325,109498.02,11519.37,D007,Systems analyst,2023-08-06
EMP00326,87102.57,7372.6,D020,Building control surveyor,2026-07-21
EMP00327,132728.63,3420.56,D005,"Conservator, museum/gallery",2024-12-17
EMP00328,96518.14,3701.47,D001,Toxicologist,2023-09-29
EMP00329,110565.54,20725.79,D018,Trade mark attorney,2026-05-07
EMP00330,107060.25,2961.76,D001,Armed forces logistics/support/administrative officer,2023-11-11
EMP00331,73005.76,9080.52,D015,Environmental consultant,2024-04-29
EMP00332,122587.98,12778.96,D010,"Production assistant, television",2024-01-20
EMP00333,111179.42,3346.6,D019,Clinical research associate,2023-08-28
EMP00334,90707.5,368.21,D014,Tourism officer,2025-11-28
EMP00335,100067.0,16385.87,D008,Clinical molecular geneticist,2025-05-20
EMP00336,80360.56,12671.77,D014,Data scientist,2026-06-18
EMP00337,83694.95,591.64,D002,Private music teacher,2024-06-09
EMP00338,158596.79,30843.59,D006,Logistics and distribution manager,2025-07-31
EMP00339,107959.76,20466.6,D001,Tour manager,2024-02-25
EMP00340,143027.92,24009.34,D019,Financial manager,2025-12-17
EMP00341,118801.92,16049.1,D001,Tax adviser,2025-02-16
EMP00342,73460.73,4702.93,D005,Medical laboratory scientific officer,2025-10-07
EMP00343,127493.93,24139.45,D001,International aid/development worker,2023-08-16
EMP00344,108045.84,1127.96,D018,"Psychologist, counselling",2025-04-07
EMP00345,77705.08,312.29,D012,Chartered loss adjuster,2024-07-08
EMP00346,121244.64,19497.97,D014,Holiday representative,2024-01-02
EMP00347,71113.69,12357.07,D003,"Education officer, community",2023-10-12
EMP00348,136705.54,20260.46,D012,Chartered accountant,2025-06-07
EMP00349,126164.95,7005.36,D001,Chartered public finance accountant,2026-07-09
EMP00350,112506.07,18756.73,D013,"Pharmacist, community",2024-10-05
EMP00351,110975.91,233.7,D014,"Embryologist, clinical",2025-08-21
EMP00352,160162.08,6361.8,D012,"Editor, film/video",2024-06-06
EMP00353,118593.9,13325.9,D009,Analytical chemist,2025-10-06
EMP00354,107381.71,7143.07,D014,"Nurse, adult",2024-09-27
EMP00355,88385.44,8930.17,D011,"Journalist, magazine",2024-11-01
EMP00356,119398.56,20234.09,D018,"Therapist, sports",2024-10-10
EMP00357,139445.96,15170.48,D010,Chartered management accountant,2026-05-25
EMP00358,89755.24,10675.55,D008,Armed forces technical officer,2025-01-07
EMP00359,117435.78,7568.12,D001,"Accountant, chartered certified",2023-08-16
EMP00360,86298.74,7057.2,D013,Health and safety adviser,2025-01-05
EMP00361,149519.39,22421.92,D016,Food technologist,2026-03-09
EMP00362,117895.1,1881.38,D015,Energy manager,2025-05-01
EMP00363,75532.49,5203.06,D012,"Nurse, mental health",2024-12-22
EMP00364,116550.85,7410.52,D010,Food technologist,2024-11-21
EMP00365,153801.08,17454.0,D004,"Engineer, structural",2024-11-03
EMP00366,91900.1,698.66,D004,"Nurse, children's",2024-02-10
EMP00367,124728.47,20267.49,D009,"Geologist, engineering",2024-08-24
EMP00368,111648.33,21490.55,D016,Horticultural therapist,2024-10-07
EMP00369,142400.92,11347.86,D007,Food technologist,2023-08-12
EMP00370,117024.89,21480.69,D003,"Engineer, materials",2023-11-12
EMP00371,104583.43,14994.95,D004,"Designer, multimedia",2024-01-01
EMP00372,117175.01,15378.71,D003,"Surveyor, quantity",2025-10-30
EMP00373,104029.02,6377.22,D007,Personal assistant,2024-01-13
EMP00374,62447.63,1611.4,D004,Theatre stage manager,2024-07-03
EMP00375,115994.03,16483.49,D007,Chief Financial Officer,2024-07-27
EMP00376,131309.85,23008.06,D008,Forensic psychologist,2026-06-09
EMP00377,138689.2,16262.91,D011,Data processing manager,2023-12-05
EMP00378,96478.28,10845.38,D006,"Designer, graphic",2024-01-01
EMP00379,107523.53,8561.7,D004,Actor,2024-11-16
EMP00380,105301.36,19820.78,D016,Banker,2023-08-10
EMP00381,119030.12,18180.62,D016,"Psychologist, educational",2026-06-03
EMP00382,54997.53,5514.01,D008,Dealer,2024-08-20
EMP00383,118890.31,5057.99,D007,Diagnostic radiographer,2025-09-06
EMP00384,118368.59,18890.35,D008,Private music teacher,2026-04-10
EMP00385,117464.71,5977.12,D003,Occupational therapist,2025-06-25
EMP00386,101164.49,12782.87,D005,"Restaurant manager, fast food",2023-11-15
EMP00387,74839.72,11903.82,D010,Field trials officer,2025-04-22
EMP00388,96143.97,7504.9,D003,"Investment banker, operational",2024-04-13
EMP00389,83410.71,13076.87,D006,"Designer, graphic",2026-06-23
EMP00390,137622.0,147.32,D016,"Psychologist, clinical",2024-11-02
EMP00391,90037.1,4755.02,D019,Rural practice surveyor,2024-12-05
EMP00392,109648.27,19215.14,D010,Art gallery manager,2024-09-23
EMP00393,85704.53,7621.75,D020,"Runner, broadcasting/film/video",2024-01-21
EMP00394,131631.02,12055.36,D004,Product designer,2026-02-03
EMP00395,140390.16,12437.73,D011,Sports administrator,2024-12-27
EMP00396,99906.92,15735.2,D015,IT consultant,2025-06-30
EMP00397,111123.68,18584.06,D003,Race relations officer,2025-04-28
EMP00398,136566.57,21124.6,D020,Claims inspector/assessor,2025-05-13
EMP00399,117089.6,13859.96,D020,Banker,2023-08-11
EMP00400,99102.21,12938.14,D012,Town planner,2024-11-22
EMP00401,80263.75,13816.27,D017,Engineering geologist,2026-07-21
EMP00402,102410.61,12231.09,D012,Emergency planning/management officer,2025-10-28
EMP00403,99150.42,17014.39,D001,"Sound technician, broadcasting/film/video",2024-03-04
EMP00404,112051.43,5108.79,D018,Microbiologist,2026-05-06
