project_id,project_name,department_id,status,budget,business_value,complexity
PRJ0057,Project Centralized web-enabled matrices,D014,Completed,173774.84,2581748.17,High
PRJ0058,Project Reverse-engineered 4thgeneration superstructure,D003,Completed,626722.66,4800768.86,Medium
PRJ0059,Project Universal eco-centric matrix,D007,Completed,737158.7,776662.07,High
PRJ0060,Project Grass-roots neutral model,D015,Completed,521537.04,4548011.63,Critical
PRJ0061,Project Organized intermediate budgetary management,D012,Planning,250624.7,3028724.58,Medium
PRJ0062,Project Business-focused bandwidth-monitored encryption,D018,Completed,678987.22,1176588.7,High
PRJ0063,Project Implemented directional website,D005,In Progress,987150.42,2393356.79,Low
PRJ0064,Project Up-sized web-enabled functionalities,D016,Planning,480388.39,2455876.32,Medium
PRJ0065,Project Focused zero-defect capacity,D013,In Progress,35197.04,986412.05,Low
PRJ0066,Project Public-key system-worthy productivity,D020,Completed,712897.6,3011481.65,Low
PRJ0067,Project Assimilated mission-critical productivity,D016,Completed,770606.18,4546246.99,Medium
PRJ0068,Project Persistent directional core,D001,In Progress,93904.51,3496423.19,Critical
PRJ0069,Project Multi-layered encompassing leverage,D013,Completed,834160.7,176995.86,Critical
PRJ0070,Project Diverse hybrid system engine,D009,Completed,707911.56,1157045.42,Critical
PRJ0071,Project Persistent 4thgeneration customer loyalty,D011,Completed,533461.38,1411894.59,Critical
PRJ0072,Project De-engineered 24/7 middleware,D015,Cancelled,445263.61,813873.21,Low
PRJ0073,Project Enterprise-wide encompassing strategy,D012,Completed,355095.16,4738045.11,Critical
PRJ0074,Project Object-based mission-critical approach,D020,Completed,268960.94,52580.0,Medium
PRJ0075,Project Cross-platform non-volatile encryption,D001,In Progress,61483.95,2647813.11,Low
PRJ0076,Project Business-focused interactive toolset,D011,In Progress,920556.74,2637662.33,Low
PRJ0077,Project Business-focused optimal knowledge user,D008,Completed,49200.13,71979.52,Medium
PRJ0078,Project Virtual intangible Internet solution,D011,Completed,777674.97,2953444.49,Low
PRJ0079,Project Organic cohesive model,D014,Cancelled,73555.82,1916226.16,Critical
PRJ0080,Project Triple-buffered didactic capacity,D016,Completed,697276.65,2867180.52,Medium
PRJ0081,Project Cross-group bi-directional encoding,D004,Completed,195324.91,1426687.42,Low
PRJ0082,Project Down-sized 6thgeneration hub,D003,Completed,567285.27,955617.38,High
PRJ0083,Project Total system-worthy policy,D004,Planning,387820.91,1283587.57,Critical
PRJ0084,Project Inverse 4thgeneration project,D020,Completed,684414.91,2419784.68,High
PRJ0085,Project Switchable holistic budgetary management,D018,Completed,64284.92,3492462.29,Medium
PRJ0086,Project Polarized reciprocal array,D003,Planning,753072.94,2237755.51,Medium
PRJ0087,Project Reverse-engineered tertiary installation,D013,Completed,549540.05,4558662.19,Low
PRJ0088,Project Distributed user-facing contingency,D017,In Progress,591635.61,2672172.05,Critical
PRJ0089,Project Optimized bifurcated Graphical User Interface,D006,Completed,146416.81,4180736.0,High
PRJ0090,Project Polarized empowering neural-net,D005,Planning,849305.98,2616314.8,Critical
PRJ0091,Project Upgradable exuding open architecture,D015,Completed,72804.79,4124997.05,Low
PRJ0092,Project Fully-configurable scalable structure,D014,In Progress,588764.94,4323325.71,Medium
PRJ0093,Project Implemented client-driven framework,D001,In Progress,83148.33,496039.79,Critical
PRJ0094,Project Compatible value-added implementation,D011,In Progress,729451.52,108534.93,Low
PRJ0095,Project Fully-configurable motivating customer loyalty,D002,Completed,432484.81,3536728.74,Medium
PRJ0096,Project Grass-roots motivating archive,D016,Completed,842538.0,4800282.95,High
PRJ0097,Project De-engineered holistic database,D012,Completed,921402.21,1631138.23,Medium
PRJ0098,Project Seamless zero tolerance encryption,D017,In Progress,524018.17,983982.91,Low
PRJ0099,Project Operative directional service-desk,D001,Completed,751235.97,4601890.5,Critical
PRJ0100,Project Open-architected tangible instruction set,D018,Completed,729396.51,3770088.15,High
PRJ0101,Project Customer-focused client-server installation,D012,In Progress,411077.05,856614.78,Low
PRJ0102,Project Fundamental grid-enabled policy,D010,Completed,828380.93,4027683.77,Medium
PRJ0103,Project Robust scalable toolset,D015,Completed,301109.28,4423190.65,Low
PRJ0104,Project Public-key hybrid synergy,D001,Completed,168361.5,1971076.69,High
PRJ0105,Project Customizable real-time matrix,D015,Completed,619225.12,4687860.79,Critical
PRJ0106,Project Monitored bifurcated alliance,D016,Completed,113979.11,3639129.58,Low
PRJ0107,Project Intuitive background contingency,D016,Completed,905845.36,3572687.18,Critical
PRJ0108,Project User-centric 3rdgeneration emulation,D002,Cancelled,535161.29,1262317.05,High
PRJ0109,Project Public-key directional utilization,D009,Completed,621419.31,234788.72,High
PRJ0110,Project Organized upward-trending support,D001,Planning,32426.81,665890.81,High
PRJ0111,Project Balanced 5thgeneration moratorium,D018,Planning,123687.83,4914075.58,Low
PRJ0112,Project Reactive executive task-force,D005,In Progress,807700.08,1192951.1,High
PRJ0113,Project Mandatory executive website,D018,Cancelled,707586.48,3547091.14,Medium
PRJ0114,Project Robust executive algorithm,D009,Completed,601816.82,3931631.21,Low
PRJ0115,Project Business-focused zero tolerance productivity,D003,Completed,285309.4,2649360.37,Critical
PRJ0116,Project Ameliorated real-time encoding,D018,Completed,126704.75,3430723.1,Low
PRJ0117,Project Networked optimal budgetary management,D013,Planning,600103.32,2492804.62,High
PRJ0118,Project Upgradable needs-based capability,D002,Completed,925727.46,2939933.06,Medium
PRJ0119,Project Mandatory coherent parallelism,D017,Completed,393927.21,2726752.81,Critical
PRJ0120,Project Assimilated fresh-thinking paradigm,D001,Completed,266681.12,4808578.89,Medium
PRJ0121,Project Polarized zero administration encoding,D007,In Progress,771746.15,2705754.74,Medium
PRJ0122,Project Adaptive actuating access,D015,Planning,443753.54,591965.84,Critical
PRJ0123,Project Operative maximized matrix,D014,Completed,637607.77,2789119.25,Medium
PRJ0124,Project Digitized 24hour Internet solution,D019,Completed,525543.52,3995066.64,Low
PRJ0125,Project Triple-buffered 24/7 algorithm,D008,In Progress,662560.34,1974379.94,Critical
PRJ0126,Project Compatible executive policy,D005,Cancelled,370389.37,3807493.05,High
PRJ0127,Project Ergonomic leadingedge intranet,D008,Completed,496974.6,331964.99,Critical
PRJ0128,Project Horizontal zero-defect alliance,D008,Completed,774243.82,2881947.13,Low
PRJ0129,Project Mandatory eco-centric encoding,D003,Completed,261807.19,1805500.5,Low
PRJ0130,Project Business-focused grid-enabled neural-net,D015,Completed,644643.4,4612519.24,Low
PRJ0131,Project Cloned bottom-line archive,D017,Completed,524442.61,864594.0,Critical
PRJ0132,Project Innovative clear-thinking analyzer,D004,In Progress,691673.41,1668154.58,Low
PRJ0133,Project Open-architected fault-tolerant productivity,D008,Completed,391674.43,2168810.6,Medium
PRJ0134,Project Optional holistic time-frame,D004,In Progress,758767.44,4797341.71,Critical
PRJ0135,Project Configurable zero administration service-desk,D001,In Progress,887541.98,4228313.79,Critical
PRJ0136,Project Realigned mobile capability,D016,Cancelled,373893.86,2622836.19,Low
PRJ0137,Project Configurable real-time time-frame,D007,In Progress,724693.94,4140696.52,Low
PRJ0138,Project Business-focused intangible throughput,D002,Completed,615067.77,3192711.13,Critical
PRJ0139,Project Public-key asynchronous approach,D017,In Progress,12353.09,3864939.04,Low
PRJ0140,Project Mandatory heuristic contingency,D015,Completed,883084.25,4002385.96,Medium
PRJ0141,Project Intuitive leadingedge model,D018,In Progress,921377.72,2190369.0,Medium
PRJ0142,Project Cross-platform solution-oriented info-mediaries,D011,In Progress,528526.26,3549601.85,Medium
PRJ0143,Project Advanced analyzing alliance,D003,Completed,862648.65,4968664.11,High
PRJ0144,Project Multi-layered modular moratorium,D002,In Progress,421113.77,4889800.04,Critical
PRJ0145,Project Upgradable attitude-oriented emulation,D016,Completed,598077.69,1893962.74,Critical
PRJ0146,Project Quality-focused asynchronous success,D010,Cancelled,722493.78,445871.69,Medium
PRJ0147,Project Up-sized next generation open architecture,D017,Planning,402197.43,502902.61,Critical
PRJ0148,Project Cross-platform tertiary Graphic Interface,D007,Completed,465485.69,3406760.33,High
PRJ0149,Project Realigned system-worthy encryption,D012,Completed,651159.05,2201414.52,Critical
PRJ0150,Project Down-sized hybrid help-desk,D020,In Progress,210801.71,3748924.23,Medium
PRJ0151,Project Secured tertiary architecture,D003,Completed,438482.85,1453951.38,Low
PRJ0152,Project Re-engineered zero administration Local Area Network,D004,In Progress,585293.97,4497945.25,Critical
PRJ0153,Project Distributed transitional migration,D002,Completed,22350.52,4366310.68,Low
PRJ0154,Project Right-sized high-level definition,D004,Completed,761003.75,4635930.51,Low
PRJ0155,Project Programmable attitude-oriented frame,D007,Completed,688786.6,3362155.41,Critical
PRJ0156,Project Front-line client-server installation,D014,In Progress,69354.68,1015932.19,Medium
PRJ0157,Project Distributed 5thgeneration contingency,D017,Planning,993399.34,1839060.94,Critical
PRJ0158,Project Balanced incremental approach,D014,Cancelled,842853.97,1979934.32,High
PRJ0159,Project Managed coherent synergy,D008,Completed,797236.99,375532.35,Medium
PRJ0160,Project Universal impactful analyzer,D013,Cancelled,305328.05,3632165.02,Low
PRJ0161,Project Visionary didactic moderator,D010,Completed,417774.23,427414.99,High
PRJ0162,Project Realigned radical architecture,D004,In Progress,461243.42,1857090.19,Critical
PRJ0163,Project Public-key modular solution,D013,Completed,756228.28,1959598.76,Low
PRJ0164,Project Virtual intangible strategy,D005,In Progress,508058.57,4434544.69,Critical
PRJ0165,Project Multi-layered transitional policy,D020,In Progress,365837.64,2834529.25,Medium
PRJ0166,Project Reverse-engineered grid-enabled strategy,D016,In Progress,595226.4,4951747.98,Low
PRJ0167,Project Fully-configurable high-level capability,D017,Completed,378348.06,3616698.18,Low
PRJ0168,Project Synergized system-worthy structure,D013,Completed,805488.79,4707917.28,High
PRJ0169,Project Proactive maximized superstructure,D010,Cancelled,881048.78,4175599.53,Low
PRJ0170,Project Stand-alone multi-tasking protocol,D020,In Progress,840565.22,3562613.75,High
PRJ0171,Project Assimilated bandwidth-monitored model,D019,Completed,504205.72,4697276.74,High
PRJ0172,Project Operative global archive,D015,Completed,426374.49,4416861.34,High
PRJ0173,Project Synchronized explicit matrices,D017,Completed,328209.25,4820386.09,Medium
PRJ0174,Project Progressive transitional leverage,D015,In Progress,506923.51,162276.94,Critical
PRJ0175,Project Universal mobile process improvement,D012,In Progress,722797.04,1539358.01,High
PRJ0176,Project Quality-focused discrete hierarchy,D016,Completed,195826.86,2705590.32,High
PRJ0177,Project Phased attitude-oriented forecast,D008,Planning,179284.87,4715356.15,Critical
PRJ0178,Project User-friendly local toolset,D008,Cancelled,459128.23,2572143.56,Medium
PRJ0179,Project Adaptive disintermediate policy,D003,Planning,551574.3,2917433.88,High
PRJ0180,Project Assimilated dedicated Local Area Network,D008,Completed,408213.32,2754537.51,High
PRJ0181,Project Cloned foreground model,D011,Planning,162230.88,1826475.78,Medium
PRJ0182,Project Switchable high-level complexity,D009,In Progress,218002.02,981735.86,Low
PRJ0183,Project Balanced encompassing complexity,D005,Completed,238318.8,3155833.53,Critical
PRJ0184,Project Multi-tiered systemic customer loyalty,D018,In Progress,720540.7,3172593.22,Low
PRJ0185,Project Multi-layered composite moratorium,D019,Completed,721223.11,2209953.61,Low
PRJ0186,Project Robust system-worthy solution,D019,Completed,933782.34,1418555.74,Critical
PRJ0187,Project Switchable eco-centric task-force,D017,Planning,161327.75,4071029.53,Medium
PRJ0188,Project Multi-tiered homogeneous initiative,D012,Completed,266649.08,1328448.85,High
PRJ0189,Project Total methodical standardization,D016,In Progress,667561.86,1762309.15,Low
PRJ0190,Project Public-key full-range architecture,D016,Completed,69549.9,855014.82,Low
PRJ0191,Project Multi-channeled cohesive Internet solution,D019,Completed,156184.86,2064889.51,Low
PRJ0192,Project Down-sized value-added synergy,D011,Completed,572636.01,3184870.51,High
PRJ0193,Project Assimilated transitional structure,D015,In Progress,67575.68,3363876.57,Medium
PRJ0194,Project Right-sized fault-tolerant contingency,D014,Completed,87938.17,1299780.88,Low
PRJ0195,Project Total actuating Internet solution,D020,In Progress,973618.56,752096.07,Medium
PRJ0196,Project Profit-focused high-level circuit,D006,Planning,107543.91,4327631.74,Medium
PRJ0197,Project Streamlined radical workforce,D014,Planning,868243.86,1248446.77,High
PRJ0198,Project Optional holistic definition,D006,Completed,596405.67,3970645.26,Low
PRJ0199,Project Customizable multi-tasking capability,D009,Completed,452976.35,1295202.42,Low
PRJ0200,Project Monitored global matrices,D020,Planning,853699.45,2100607.87,High
PRJ0201,Project Vision-oriented bandwidth-monitored groupware,D009,Completed,102621.61,4261683.2,Medium
PRJ0202,Project Fully-configurable optimal contingency,D007,Cancelled,424632.72,156409.86,Low
PRJ0203,Project Enhanced optimizing forecast,D013,Completed,846180.23,963729.77,Critical
PRJ0204,Project Multi-tiered composite array,D004,Planning,517491.08,4933059.71,Critical
PRJ0205,Project Re-engineered scalable strategy,D019,Planning,685532.89,4959039.62,Low
PRJ0206,Project Optimized asynchronous protocol,D013,Completed,587077.49,1066189.43,Medium
PRJ0207,Project Vision-oriented stable Graphic Interface,D016,In Progress,679937.83,4369401.27,Low
PRJ0208,Project Adaptive multi-state superstructure,D003,Completed,712581.51,1201861.46,High
PRJ0209,Project Diverse high-level encoding,D011,Completed,916703.76,4343968.12,High
PRJ0210,Project Expanded optimal moderator,D004,Completed,546653.37,1547830.55,Medium
PRJ0211,Project Streamlined well-modulated framework,D006,Completed,355095.74,649502.99,High
PRJ0212,Project Team-oriented scalable pricing structure,D015,Completed,950918.27,1290353.16,Low
PRJ0213,Project Synergized analyzing archive,D011,Completed,564916.69,3286499.05,Critical
PRJ0214,Project Multi-tiered high-level middleware,D016,Completed,447498.55,1968352.2,Medium
PRJ0215,Project Configurable mission-critical hierarchy,D005,In Progress,628406.73,4917511.74,Medium
PRJ0216,Project Polarized optimizing initiative,D005,In Progress,200570.84,4838270.17,Low
PRJ0217,Project Adaptive holistic functionalities,D010,Completed,53917.81,3415048.57,Medium
PRJ0218,Project Total local matrices,D004,Planning,294880.28,2256089.46,Low
PRJ0219,Project Integrated responsive hierarchy,D002,Completed,310922.32,1711780.39,Medium
PRJ0220,Project Distributed multimedia neural-net,D005,Completed,98314.11,3732257.31,High
PRJ0221,Project Switchable fault-tolerant infrastructure,D004,Planning,653705.71,2121348.7,Critical
PRJ0222,Project Total mobile superstructure,D007,Completed,457936.39,695785.36,Medium
PRJ0223,Project Enhanced multi-state data-warehouse,D012,Completed,923124.21,1455543.63,Critical
PRJ0224,Project Distributed uniform application,D002,Planning,814819.08,875829.26,High
PRJ0225,Project Profound mission-critical budgetary management,D005,In Progress,248198.51,3334027.4,Medium
PRJ0226,Project Synergistic foreground frame,D018,Completed,86270.84,266958.17,Medium
PRJ0227,Project Function-based 4thgeneration Internet solution,D013,Completed,860387.42,1594393.71,Critical
PRJ0228,Project Multi-tiered mission-critical project,D016,Cancelled,39486.55,4144255.05,Critical
PRJ0229,Project Seamless leadingedge attitude,D013,Completed,321580.16,2327449.83,High
PRJ0230,Project Upgradable regional hub,D013,Planning,25537.85,2460245.06,High
PRJ0231,Project Future-proofed encompassing archive,D003,Completed,172899.93,1662264.18,Critical
PRJ0232,Project Customer-focused actuating workforce,D010,Planning,678483.56,111168.26,Critical
PRJ0233,Project Polarized executive synergy,D009,Planning,752687.65,3906772.48,Critical
PRJ0234,Project Optional value-added synergy,D001,Completed,755404.93,3428309.22,Medium
PRJ0235,Project Profound background flexibility,D007,Completed,75071.43,4204054.03,High
PRJ0236,Project Robust system-worthy groupware,D007,In Progress,590097.37,401029.84,Medium
PRJ0237,Project Optimized dynamic productivity,D016,In Progress,22071.42,4602573.5,Low
PRJ0238,Project Integrated 24hour open architecture,D013,Planning,639649.85,908353.89,High
PRJ0239,Project Phased high-level service-desk,D018,Completed,234907.83,581219.0,Critical
PRJ0240,Project Front-line exuding frame,D012,Planning,532216.4,3414616.3,Low
PRJ0241,Project Grass-roots systematic approach,D004,In Progress,427569.13,4967279.4,Critical
PRJ0242,Project Automated mobile middleware,D009,Cancelled,488236.77,3084474.85,High
PRJ0243,Project Persistent hybrid emulation,D016,Completed,854707.87,3972135.09,Low
PRJ0244,Project Expanded bottom-line complexity,D012,Completed,64127.98,882668.37,Critical
PRJ0245,Project Fully-configurable web-enabled product,D003,Completed,160034.01,4929649.23,Medium
PRJ0246,Project Universal empowering model,D012,Completed,117284.95,3158493.88,Critical
PRJ0247,Project Fully-configurable attitude-oriented productivity,D017,Completed,470846.43,2098368.74,Critical
PRJ0248,Project User-friendly mobile complexity,D015,Cancelled,572516.76,399138.6,Critical
PRJ0249,Project Robust regional definition,D012,In Progress,352867.07,2356316.62,High
PRJ0250,Project Up-sized full-range infrastructure,D010,Planning,955576.92,354580.93,High
PRJ0251,Project Intuitive zero-defect hardware,D017,Cancelled,718325.0,805854.63,Medium
PRJ0252,Project Cloned multimedia toolset,D015,Completed,81602.42,1525690.61,Low
PRJ0253,Project Upgradable local archive,D018,Completed,429251.54,4421451.05,Low
PRJ0254,Project Devolved bottom-line array,D006,In Progress,258935.88,3538826.89,Medium
PRJ0255,Project Pre-emptive zero administration info-mediaries,D013,Planning,963148.58,4824523.78,Critical
PRJ0256,Project Streamlined context-sensitive forecast,D016,Completed,584336.3,3930117.82,Low
PRJ0257,Project Customizable real-time analyzer,D018,In Progress,788604.66,881237.12,Low
PRJ0258,Project Persevering empowering framework,D017,In Progress,839147.95,3851650.48,High
PRJ0259,Project Horizontal non-volatile moderator,D011,In Progress,43671.9,4817904.95,High
PRJ0260,Project Diverse dedicated open architecture,D008,Completed,336817.66,291075.46,High
PRJ0261,Project Horizontal asynchronous product,D014,Completed,951874.28,4748611.58,High
PRJ0262,Project Re-engineered actuating moderator,D020,Completed,907215.68,3548078.93,Low
PRJ0263,Project Re-contextualized static software,D002,Planning,494623.83,1859507.7,Critical
PRJ0264,Project Future-proofed discrete Local Area Network,D002,Planning,953039.02,449576.23,Critical
PRJ0265,Project Open-architected static complexity,D013,In Progress,673129.86,1140954.42,High
PRJ0266,Project Adaptive intangible customer loyalty,D016,Completed,811295.69,2959465.78,Medium
PRJ0267,Project Enhanced background methodology,D016,In Progress,890276.84,1358043.28,Critical
PRJ0268,Project Innovative scalable support,D007,Planning,50996.85,3296161.82,Low
PRJ0269,Project Grass-roots directional model,D018,In Progress,380253.89,863888.95,High
PRJ0270,Project Seamless uniform focus group,D006,Completed,603781.69,4546537.98,Low
PRJ0271,Project Intuitive modular complexity,D019,Completed,15110.64,3003454.26,Medium
PRJ0272,Project Devolved incremental policy,D013,Planning,581871.59,1082623.38,High
PRJ0273,Project Programmable didactic open system,D014,Completed,296580.98,1444302.99,High
PRJ0274,Project Assimilated non-volatile model,D011,Planning,593245.66,4515758.52,High
PRJ0275,Project Pre-emptive mobile open system,D011,Completed,716208.44,1736969.14,Medium
PRJ0276,Project Sharable eco-centric orchestration,D013,In Progress,121387.47,1479096.45,Critical
PRJ0277,Project Focused object-oriented projection,D020,Cancelled,720304.48,1118505.61,Medium
PRJ0278,Project Exclusive 24/7 budgetary management,D001,Planning,87256.01,1538066.45,Critical
PRJ0279,Project Enhanced discrete artificial intelligence,D008,Completed,782898.07,4965721.64,Critical
PRJ0280,Project Cloned impactful approach,D018,Completed,672577.09,912841.31,High
PRJ0281,Project Vision-oriented asymmetric instruction set,D013,Completed,571139.18,199490.17,Low
PRJ0282,Project Front-line dedicated analyzer,D019,Completed,371182.88,2298284.24,Low
PRJ0283,Project Implemented disintermediate throughput,D018,In Progress,711023.05,3740095.93,High
PRJ0284,Project Seamless dedicated website,D011,Completed,885685.42,728221.09,Critical
PRJ0285,Project Reduced 24/7 data-warehouse,D007,In Progress,290017.66,3200476.75,Low
PRJ0286,Project Streamlined human-resource core,D012,In Progress,367383.02,1329980.9,Medium
PRJ0287,Project Customer-focused reciprocal leverage,D018,In Progress,986644.9,109560.52,Medium
PRJ0288,Project Managed needs-based contingency,D005,Completed,491597.74,3825078.45,Low
PRJ0289,Project Team-oriented human-resource infrastructure,D007,In Progress,790591.66,4211439.5,Low
PRJ0290,Project Cloned maximized secured line,D001,Completed,692188.55,3962013.59,Low
PRJ0291,Project Managed impactful approach,D019,Planning,166814.09,2452926.03,Low
PRJ0292,Project Self-enabling secondary concept,D020,In Progress,975034.42,4499183.05,Critical
PRJ0293,Project Right-sized multi-tasking system engine,D010,In Progress,887103.52,4457068.08,Low
PRJ0294,Project Persevering 3rdgeneration leverage,D006,Completed,287078.07,4055311.34,Low
PRJ0295,Project Profound bottom-line matrix,D008,In Progress,990152.21,3882997.93,Critical
PRJ0296,Project Profound zero-defect core,D004,Planning,706771.21,4492834.37,Low
PRJ0297,Project Focused human-resource customer loyalty,D012,Completed,594346.34,1698193.26,Low
PRJ0298,Project Public-key global Graphic Interface,D012,Planning,217372.03,1952076.92,High
PRJ0299,Project Down-sized local workforce,D014,In Progress,435001.11,4923375.85,Low
PRJ0300,Project Multi-layered mission-critical standardization,D016,Completed,931791.03,4038866.35,Medium
PRJ0301,Project Front-line web-enabled functionalities,D011,Completed,934655.95,3633333.77,Low
PRJ0302,Project Pre-emptive coherent migration,D009,In Progress,341781.85,4508207.95,High
PRJ0303,Project Multi-lateral intermediate info-mediaries,D005,Cancelled,198282.47,3807194.81,Medium
PRJ0304,Project Implemented discrete website,D007,Completed,183947.78,3436572.42,Medium
PRJ0305,Project Compatible bi-directional structure,D019,In Progress,250926.83,208849.58,Low
PRJ0306,Project Reduced asynchronous analyzer,D007,Completed,116844.58,877887.89,Low
PRJ0307,Project Object-based responsive intranet,D015,Completed,169672.25,4575347.59,Critical
PRJ0308,Project Balanced user-facing collaboration,D016,Cancelled,283948.65,485182.49,Low
PRJ0309,Project Stand-alone upward-trending solution,D016,In Progress,252173.97,2723088.72,Low
PRJ0310,Project User-centric logistical installation,D005,Completed,585089.11,4618393.37,Critical
PRJ0311,Project Cross-platform stable website,D010,Completed,514948.74,1219897.78,Medium
PRJ0312,Project Versatile well-modulated toolset,D007,Completed,161836.71,1769029.32,Low
PRJ0313,Project Business-focused fault-tolerant emulation,D005,Cancelled,488407.54,3364705.77,Low
PRJ0314,Project Universal asymmetric artificial intelligence,D012,In Progress,473305.33,2551881.61,Critical
PRJ0315,Project Synergistic systemic parallelism,D014,Completed,186291.52,1420060.27,Medium
PRJ0316,Project Up-sized 5thgeneration interface,D012,In Progress,35800.93,1504411.77,Medium
PRJ0317,Project Programmable mission-critical archive,D018,Completed,967232.03,1994806.29,Low
PRJ0318,Project Quality-focused homogeneous open system,D014,Completed,687038.89,2184995.3,Medium
PRJ0319,Project Streamlined zero tolerance knowledge user,D018,In Progress,300953.41,3657130.22,High
PRJ0320,Project Innovative system-worthy customer loyalty,D018,Planning,494677.25,1363938.86,High
PRJ0321,Project Enterprise-wide clear-thinking algorithm,D003,Completed,558507.06,1548573.84,Low
PRJ0322,Project Switchable real-time alliance,D012,Planning,843317.41,4404920.5,High
