employee_id,skill_id,proficiency_level,target_level
EMP06961,SK0243,4,5
EMP08238,SK0299,5,4
EMP02840,SK0086,5,2
EMP04492,SK0074,3,5
EMP03643,SK0060,5,5
EMP03568,SK0132,1,4
EMP07379,SK0143,4,3
EMP08690,SK0282,2,5
EMP09140,SK0262,3,1
EMP07535,SK0212,4,2
EMP06360,SK0188,4,1
EMP01740,SK0218,4,1
EMP07181,SK0021,3,2
EMP06963,SK0068,3,3
EMP09003,SK0085,4,2
EMP07302,SK0040,5,4
EMP04209,SK0215,4,4
EMP09652,SK0212,2,3
EMP00755,SK0061,4,4
EMP05943,SK0086,4,5
EMP08353,SK0043,2,1
EMP09201,SK0049,4,4
EMP08190,SK0208,4,4
EMP02664,SK0196,3,4
EMP01408,SK0120,1,1
EMP05418,SK0254,1,4
EMP08242,SK0257,2,1
EMP02642,SK0219,3,1
EMP09313,SK0251,3,4
EMP05604,SK0279,5,1
EMP06675,SK0233,2,4
EMP01609,SK0142,2,5
EMP06102,SK0101,2,1
EMP07640,SK0156,1,5
EMP07091,SK0048,5,5
EMP00811,SK0139,4,1
EMP09373,SK0160,1,3
EMP02362,SK0196,5,1
EMP06530,SK0028,4,4
EMP06238,SK0148,3,3
EMP08347,SK0219,5,4
EMP07765,SK0239,2,4
EMP09750,SK0161,5,1
EMP04450,SK0018,2,5
EMP07739,SK0167,5,1
EMP09283,SK0049,1,5
EMP00277,SK0134,4,5
EMP02402,SK0291,2,5
EMP08924,SK0017,3,2
EMP02093,SK0287,5,4
EMP02735,SK0157,5,2
EMP06614,SK0162,2,3
EMP07524,SK0251,1,4
EMP08653,SK0080,5,5
EMP07784,SK0034,5,1
EMP05998,SK0086,2,2
EMP00883,SK0028,2,1
EMP01132,SK0158,3,2
EMP08803,SK0257,5,5
EMP04931,SK0090,3,1
EMP01585,SK0016,3,1
EMP00474,SK0272,1,5
EMP01802,SK0109,1,4
EMP08785,SK0285,4,4
EMP09798,SK0003,1,5
EMP08061,SK0014,2,1
EMP03942,SK0157,3,2
EMP02783,SK0122,4,2
EMP03837,SK0071,3,2
EMP09772,SK0050,2,1
EMP07389,SK0284,2,3
EMP05476,SK0256,3,4
EMP08972,SK0168,4,3
EMP01327,SK0180,3,5
EMP00554,SK0162,5,3
EMP01859,SK0007,4,4
EMP03374,SK0011,5,1
EMP06939,SK0090,1,4
EMP04220,SK0294,1,2
EMP08854,SK0124,4,3
EMP08267,SK0143,5,5
EMP01194,SK0235,2,3
EMP02039,SK0159,1,5
EMP05512,SK0267,4,5
EMP05509,SK0186,1,2
EMP01890,SK0159,5,4
EMP00528,SK0081,3,2
EMP07398,SK0255,3,1
EMP05168,SK0107,2,4
EMP02568,SK0157,3,5
EMP06722,SK0061,1,4
EMP01869,SK0285,2,5
EMP05805,SK0220,1,5
EMP07928,SK0108,5,5
EMP05645,SK0160,2,2
EMP00813,SK0071,5,5
EMP06683,SK0261,1,2
EMP07528,SK0016,4,4
EMP04491,SK0142,5,3
EMP08735,SK0100,1,1
EMP09495,SK0294,2,1
EMP06154,SK0255,3,5
EMP00592,SK0204,1,5
EMP00686,SK0137,1,1
EMP00629,SK0165,5,1
EMP08411,SK0024,2,1
EMP08751,SK0133,4,3
EMP03384,SK0034,2,5
EMP01370,SK0240,3,5
EMP03279,SK0031,1,1
EMP08466,SK0062,3,2
EMP01302,SK0284,2,2
EMP03923,SK0282,5,3
EMP02661,SK0006,5,2
EMP06947,SK0039,4,5
EMP02243,SK0015,2,2
EMP02521,SK0008,3,2
EMP08058,SK0289,5,3
EMP05373,SK0103,5,3
EMP05194,SK0023,3,1
EMP04583,SK0110,1,1
EMP05091,SK0166,5,3
EMP01628,SK0035,1,4
EMP07842,SK0115,4,2
EMP05213,SK0274,3,5
EMP09219,SK0120,3,4
EMP03047,SK0008,2,2
EMP01069,SK0056,5,2
EMP05367,SK0067,2,1
EMP03354,SK0219,1,5
EMP07673,SK0224,5,2
EMP06042,SK0070,1,3
EMP06734,SK0211,4,3
EMP01016,SK0296,1,5
EMP07150,SK0124,5,5
EMP06878,SK0272,3,4
EMP06201,SK0053,5,1
EMP02141,SK0071,4,2
EMP05624,SK0001,2,4
EMP00949,SK0229,5,5
EMP03459,SK0219,2,5
EMP02695,SK0169,5,5
EMP03180,SK0271,3,2
EMP00817,SK0194,4,5
EMP09448,SK0098,4,4
EMP07897,SK0043,1,3
EMP09918,SK0080,5,4
EMP02133,SK0276,4,5
EMP02211,SK0274,1,5
EMP07600,SK0235,2,4
EMP07031,SK0168,3,4
EMP05589,SK0296,5,2
EMP05858,SK0256,1,2
EMP03305,SK0280,3,1
EMP04053,SK0123,1,1
EMP00435,SK0202,2,3
EMP00898,SK0237,3,5
EMP07867,SK0206,1,4
EMP02529,SK0099,5,2
EMP06651,SK0057,3,4
EMP02699,SK0203,1,5
EMP09570,SK0129,2,2
EMP02986,SK0115,3,3
EMP07706,SK0201,1,4
EMP04221,SK0186,2,3
EMP07272,SK0176,2,3
EMP09558,SK0182,5,2
EMP00818,SK0199,2,1
EMP06953,SK0267,5,2
EMP05106,SK0043,5,3
EMP04982,SK0291,3,2
EMP02984,SK0072,5,4
EMP05417,SK0282,2,3
EMP07036,SK0165,1,2
EMP06815,SK0095,2,2
EMP01322,SK0252,5,3
EMP06327,SK0090,5,4
EMP03336,SK0149,4,1
EMP08983,SK0265,4,5
EMP04624,SK0165,5,4
EMP02015,SK0219,1,5
EMP07673,SK0066,3,2
EMP06278,SK0016,3,2
EMP02903,SK0004,4,1
EMP04537,SK0009,3,1
EMP05566,SK0133,3,3
EMP08313,SK0052,1,3
EMP05148,SK0273,1,1
EMP01857,SK0247,5,2
EMP01163,SK0239,2,2
EMP01097,SK0297,3,1
EMP01116,SK0173,4,2
EMP02464,SK0279,5,5
EMP02130,SK0125,5,5
EMP02718,SK0218,5,4
EMP00313,SK0170,5,3
EMP09333,SK0117,3,2
EMP00757,SK0156,3,4
EMP08094,SK0299,1,2
EMP06296,SK0147,2,3
EMP06873,SK0076,2,5
EMP00893,SK0142,5,1
EMP08888,SK0254,1,4
EMP01638,SK0281,1,5
EMP08690,SK0276,3,1
EMP06260,SK0187,5,5
EMP09635,SK0088,3,5
EMP07310,SK0143,4,2
EMP07334,SK0218,2,1
EMP01385,SK0113,1,1
EMP06240,SK0171,2,5
EMP03341,SK0299,1,5
EMP08608,SK0022,5,3
EMP01065,SK0200,1,3
EMP02435,SK0200,1,2
EMP04885,SK0232,2,2
EMP03802,SK0117,1,3
EMP08923,SK0191,3,3
EMP09623,SK0185,5,3
EMP09467,SK0245,3,1
EMP08279,SK0014,5,4
EMP06952,SK0007,3,2
EMP07667,SK0206,2,2
EMP05670,SK0274,2,3
EMP08775,SK0233,3,4
EMP04506,SK0086,5,4
EMP01021,SK0114,3,3
EMP08769,SK0070,5,2
EMP05663,SK0134,4,3
EMP05895,SK0104,1,5
EMP02042,SK0175,1,5
EMP06782,SK0274,5,4
EMP04958,SK0013,1,2
EMP00635,SK0267,4,2
EMP02043,SK0023,4,2
EMP07290,SK0039,1,4
EMP00923,SK0080,2,3
EMP03851,SK0277,4,1
EMP07031,SK0279,1,1
EMP07951,SK0159,4,3
EMP05223,SK0249,5,3
EMP05631,SK0184,5,5
EMP04005,SK0290,5,5
EMP04548,SK0040,1,5
EMP06542,SK0295,5,5
EMP05416,SK0046,2,3
EMP03123,SK0101,5,5
EMP02689,SK0253,1,2
EMP04628,SK0118,1,5
EMP00082,SK0241,1,3
EMP05540,SK0007,3,5
EMP06424,SK0194,5,5
EMP07869,SK0209,5,2
EMP07651,SK0004,2,5
EMP03989,SK0019,5,2
EMP02362,SK0231,5,4
EMP05352,SK0246,3,1
EMP02536,SK0286,1,1
EMP07525,SK0236,1,1
EMP00879,SK0272,5,1
EMP01422,SK0147,2,3
EMP05396,SK0095,3,5
EMP09604,SK0231,4,3
EMP06054,SK0042,3,3
EMP00189,SK0240,3,4
EMP04697,SK0158,5,1
EMP07085,SK0105,2,4
EMP01893,SK0002,3,1
EMP05532,SK0026,5,2
EMP00723,SK0146,3,5
EMP06158,SK0156,4,4
EMP03896,SK0182,2,5
EMP06169,SK0237,4,4
EMP05659,SK0093,2,5
EMP00849,SK0198,5,1
EMP09750,SK0262,2,4
EMP07295,SK0017,1,5
EMP06398,SK0132,5,1
EMP01080,SK0049,1,3
EMP08012,SK0204,1,1
EMP03535,SK0121,5,1
EMP08966,SK0243,4,3
EMP01298,SK0162,3,3
EMP09903,SK0003,2,2
EMP05049,SK0164,1,5
EMP06340,SK0248,5,2
EMP04247,SK0158,3,4
EMP00157,SK0049,3,2
EMP02226,SK0117,1,4
EMP01502,SK0087,4,2
EMP07617,SK0064,5,2
EMP03487,SK0294,2,3
EMP05831,SK0021,1,3
EMP02300,SK0275,3,2
EMP05398,SK0230,3,5
EMP09041,SK0020,1,1
EMP07116,SK0008,5,1
EMP01179,SK0299,5,2
EMP09322,SK0107,1,4
EMP03300,SK0204,5,3
EMP05095,SK0139,2,2
EMP08294,SK0300,3,2
EMP09138,SK0247,3,2
EMP08828,SK0275,2,4
EMP06332,SK0280,1,5
EMP07869,SK0117,4,2
EMP09448,SK0152,4,2
EMP02753,SK0134,4,2
EMP02957,SK0141,3,4
EMP09542,SK0150,5,2
EMP01383,SK0226,1,2
EMP07991,SK0058,2,5
EMP00958,SK0194,2,1
EMP08356,SK0222,4,2
EMP00724,SK0057,3,1
EMP04360,SK0280,3,5
EMP06238,SK0293,1,1
EMP05156,SK0126,1,2
EMP01123,SK0209,3,4
EMP08280,SK0230,4,5
EMP01007,SK0115,3,2
EMP07424,SK0133,4,3
EMP08570,SK0081,4,5
EMP04659,SK0194,1,5
EMP01535,SK0242,5,5
EMP05522,SK0104,5,3
EMP07153,SK0241,4,5
EMP03719,SK0042,4,5
EMP09741,SK0039,1,2
EMP05081,SK0217,1,3
EMP07595,SK0287,1,3
EMP01248,SK0015,3,4
EMP08539,SK0069,2,4
EMP01701,SK0073,5,5
EMP00505,SK0251,1,4
EMP02506,SK0060,5,3
EMP03849,SK0127,2,2
EMP02911,SK0223,3,5
EMP08033,SK0193,2,2
EMP04792,SK0206,1,1
EMP04671,SK0252,3,3
EMP05985,SK0228,4,2
EMP07689,SK0291,1,4
EMP06938,SK0081,1,4
EMP01314,SK0116,4,2
EMP09088,SK0086,4,1
EMP00420,SK0102,5,1
EMP02045,SK0054,4,1
EMP03111,SK0213,5,5
EMP02117,SK0029,5,2
EMP08166,SK0293,5,2
EMP07676,SK0281,1,5
EMP09419,SK0134,4,1
EMP04614,SK0247,5,2
EMP03344,SK0240,2,3
EMP05368,SK0198,1,4
EMP01033,SK0229,4,3
EMP06046,SK0077,5,2
EMP05713,SK0166,2,2
EMP05336,SK0209,4,4
EMP06778,SK0054,3,2
EMP05305,SK0294,5,4
EMP02034,SK0104,2,4
EMP04471,SK0081,4,2
EMP09877,SK0235,1,2
EMP08314,SK0257,5,5
EMP06829,SK0069,5,2
EMP05993,SK0222,2,4
EMP05662,SK0134,4,3
EMP02471,SK0141,5,5
EMP00733,SK0070,3,4
EMP05427,SK0023,2,2
EMP05067,SK0036,5,3
EMP03181,SK0114,5,1
EMP01780,SK0096,1,1
EMP01109,SK0088,5,2
EMP05846,SK0099,4,2
EMP07167,SK0241,4,1
EMP09365,SK0063,2,2
EMP07219,SK0106,3,4
EMP05269,SK0240,5,2
EMP00857,SK0034,2,2
EMP09367,SK0051,2,5
EMP02112,SK0080,1,3
EMP05348,SK0211,3,2
EMP07436,SK0184,4,1
EMP00587,SK0188,2,1
EMP06071,SK0024,4,2
EMP07696,SK0029,4,5
EMP06638,SK0122,1,2
EMP09963,SK0083,3,3
EMP00159,SK0290,4,1
EMP06902,SK0241,1,2
EMP05338,SK0287,3,4
EMP07506,SK0290,1,5
EMP05090,SK0191,3,2
EMP03207,SK0286,1,3
EMP03140,SK0202,2,4
EMP09310,SK0186,4,3
EMP01128,SK0270,2,3
EMP08165,SK0298,2,4
EMP09724,SK0027,2,4
EMP04959,SK0247,5,3
EMP06698,SK0087,3,2
EMP00581,SK0285,3,4
EMP01593,SK0295,2,5
EMP07876,SK0086,2,3
EMP07987,SK0175,4,2
EMP02959,SK0111,3,5
EMP01486,SK0249,4,2
EMP00027,SK0089,5,2
EMP02483,SK0178,1,5
EMP09991,SK0245,2,5
EMP03465,SK0053,3,1
EMP03394,SK0065,1,5
EMP05341,SK0042,4,5
EMP05051,SK0143,3,3
EMP00373,SK0113,4,4
EMP03857,SK0129,4,4
EMP02956,SK0148,4,4
EMP04008,SK0267,3,4
EMP05232,SK0103,5,3
EMP02923,SK0091,3,4
EMP02295,SK0277,2,3
EMP08761,SK0019,4,1
EMP01625,SK0127,5,4
EMP00294,SK0237,5,4
EMP06418,SK0117,4,4
EMP05676,SK0263,1,3
EMP03161,SK0178,2,3
EMP04387,SK0124,2,2
EMP08790,SK0168,5,2
EMP03467,SK0228,1,5
EMP08925,SK0145,3,2
EMP09979,SK0258,2,5
EMP02970,SK0221,1,5
EMP04370,SK0190,1,4
EMP09479,SK0092,2,4
EMP05008,SK0086,1,3
EMP03383,SK0287,3,5
EMP09615,SK0278,1,1
EMP08609,SK0012,2,3
EMP01801,SK0020,2,1
EMP09818,SK0299,3,4
EMP02954,SK0172,5,1
EMP01940,SK0018,5,5
EMP02601,SK0253,3,5
EMP01621,SK0061,1,2
EMP06756,SK0052,2,4
EMP06474,SK0004,1,1
EMP03203,SK0194,1,4
EMP02511,SK0103,3,3
EMP07631,SK0272,5,5
EMP09954,SK0112,2,5
EMP00722,SK0244,5,1
EMP02108,SK0275,1,2
EMP02469,SK0188,3,2
EMP03919,SK0165,1,4
EMP06802,SK0073,1,2
EMP06443,SK0246,4,3
EMP06877,SK0210,3,2
EMP09375,SK0096,2,1
EMP07717,SK0129,5,1
EMP00650,SK0171,5,2
EMP02219,SK0010,3,2
EMP02585,SK0234,5,1
EMP07329,SK0102,4,5
EMP09805,SK0151,3,4
EMP05410,SK0191,5,2
EMP07202,SK0045,4,2
EMP06143,SK0246,4,2
EMP02659,SK0036,3,3
EMP05492,SK0111,3,4
EMP00939,SK0201,3,5
EMP06913,SK0189,2,5
EMP02971,SK0086,5,1
EMP02997,SK0204,1,4
EMP04977,SK0191,5,2
EMP02665,SK0010,1,3
EMP02370,SK0021,4,2
EMP02966,SK0186,4,3
EMP06504,SK0184,4,4
EMP08678,SK0225,5,5
EMP05662,SK0249,3,5
EMP00519,SK0111,5,5
EMP01123,SK0227,5,3
EMP09910,SK0184,5,1
EMP05924,SK0124,1,4
EMP05532,SK0012,3,3
EMP06137,SK0287,4,5
EMP04681,SK0133,5,5
EMP02093,SK0173,5,3
EMP03045,SK0009,1,2
EMP00547,SK0221,2,4
EMP09138,SK0087,1,4
EMP06920,SK0168,5,2
EMP00513,SK0060,4,4
EMP02159,SK0219,4,1
EMP06822,SK0228,5,3
EMP04596,SK0120,3,5
EMP08603,SK0027,2,2
EMP00261,SK0041,3,3
EMP02585,SK0121,1,4
EMP01874,SK0119,1,4
EMP02059,SK0023,2,2
EMP00407,SK0087,2,5
EMP02336,SK0242,5,4
EMP03375,SK0042,2,4
EMP07114,SK0103,3,4
EMP03887,SK0060,4,4
EMP09539,SK0117,4,1
EMP00055,SK0228,3,1
EMP07706,SK0183,3,4
EMP08160,SK0002,3,5
EMP05830,SK0268,2,4
EMP08352,SK0008,4,5
EMP08326,SK0286,4,5
EMP00280,SK0244,2,2
EMP08575,SK0100,4,4
EMP07309,SK0043,1,5
EMP00065,SK0109,5,1
EMP09075,SK0255,1,1
EMP00421,SK0155,5,1
EMP08519,SK0152,1,2
EMP00360,SK0149,5,1
EMP01843,SK0017,5,3
EMP09104,SK0213,1,5
EMP07234,SK0173,5,1
EMP03966,SK0079,3,2
EMP07510,SK0080,5,2
EMP09957,SK0149,5,1
EMP02074,SK0108,3,3
EMP04147,SK0115,4,5
EMP00057,SK0015,3,5
EMP04399,SK0250,1,1
EMP02930,SK0026,1,5
EMP04227,SK0233,5,5
EMP09881,SK0262,3,3
EMP04806,SK0176,1,1
EMP09487,SK0286,2,5
EMP02106,SK0091,2,4
EMP09243,SK0068,3,1
EMP07882,SK0164,2,4
EMP00055,SK0100,2,4
EMP06315,SK0278,4,1
EMP07157,SK0076,4,3
EMP07413,SK0099,2,5
EMP03554,SK0039,2,3
EMP09689,SK0081,3,2
EMP07530,SK0175,4,1
EMP09849,SK0058,1,5
EMP01454,SK0202,1,5
EMP03365,SK0268,3,2
EMP08898,SK0139,4,2
EMP07256,SK0165,5,4
EMP09957,SK0180,2,2
EMP00895,SK0014,3,3
EMP03728,SK0111,5,4
EMP07258,SK0247,5,1
EMP04649,SK0171,5,5
EMP04113,SK0032,1,1
EMP00286,SK0176,5,5
EMP05056,SK0168,4,2
EMP00607,SK0182,4,4
EMP06282,SK0203,2,5
EMP00569,SK0200,5,1
EMP06779,SK0002,5,2
EMP00725,SK0235,4,1
EMP02426,SK0091,3,2
EMP01732,SK0286,5,3
EMP09322,SK0135,5,1
EMP03899,SK0014,3,2
EMP04064,SK0117,5,4
EMP08652,SK0051,5,5
EMP08856,SK0205,4,5
EMP06829,SK0049,3,4
EMP01854,SK0283,2,1
EMP09456,SK0285,2,1
EMP02579,SK0267,3,3
EMP04090,SK0122,2,5
EMP09997,SK0072,1,1
EMP01189,SK0051,2,5
EMP06836,SK0213,2,4
EMP05746,SK0060,5,4
EMP02318,SK0020,2,1
EMP01937,SK0170,5,1
EMP03747,SK0295,1,3
EMP02777,SK0079,2,2
EMP05018,SK0191,5,5
EMP01307,SK0129,4,5
EMP06859,SK0257,4,5
EMP09757,SK0030,3,4
EMP08716,SK0189,4,3
EMP09161,SK0052,3,4
EMP02162,SK0288,3,5
EMP06253,SK0283,3,4
EMP09576,SK0198,5,1
EMP04438,SK0090,1,1
EMP03187,SK0072,2,2
EMP02336,SK0193,4,5
EMP05938,SK0259,2,4
EMP01359,SK0281,4,2
EMP09779,SK0105,5,5
EMP00524,SK0155,1,5
EMP00666,SK0125,4,3
EMP08404,SK0227,4,5
EMP03874,SK0059,3,2
EMP09645,SK0074,4,1
EMP08051,SK0267,3,1
EMP09314,SK0272,3,2
EMP07270,SK0224,3,1
EMP06231,SK0254,3,3
EMP08130,SK0010,1,3
EMP04198,SK0023,2,1
EMP05481,SK0090,5,4
EMP08138,SK0202,4,5
EMP01584,SK0225,4,5
EMP07830,SK0064,4,1
EMP05449,SK0115,3,3
EMP03818,SK0232,2,4
EMP05366,SK0185,4,1
EMP01018,SK0107,2,5
EMP04398,SK0098,5,5
EMP01627,SK0029,5,3
EMP06563,SK0188,1,4
EMP06818,SK0099,3,4
EMP04462,SK0229,5,4
EMP08257,SK0274,3,1
EMP04567,SK0193,2,4
EMP07261,SK0011,2,2
EMP06004,SK0080,2,4
EMP04084,SK0043,1,2
EMP09056,SK0071,2,3
EMP00564,SK0173,5,1
EMP05545,SK0196,1,2
EMP09590,SK0157,3,1
EMP08448,SK0217,3,4
EMP05756,SK0045,3,5
EMP03318,SK0294,3,1
EMP08200,SK0235,2,3
EMP00093,SK0104,2,5
EMP03938,SK0268,4,1
EMP01394,SK0148,5,4
EMP05664,SK0108,2,2
EMP03230,SK0192,1,2
EMP04861,SK0272,1,1
EMP07099,SK0021,5,1
EMP06890,SK0175,4,2
EMP09510,SK0015,2,2
EMP04948,SK0170,4,4
EMP06721,SK0277,3,3
EMP05488,SK0300,2,2
EMP06520,SK0194,5,5
EMP07328,SK0115,1,2
EMP01717,SK0168,3,1
EMP09786,SK0300,3,2
EMP02186,SK0049,2,4
EMP09823,SK0274,4,4
EMP08591,SK0266,1,3
EMP09334,SK0287,3,1
EMP05816,SK0229,3,2
EMP06475,SK0191,5,2
EMP05293,SK0168,4,3
EMP01889,SK0005,4,5
EMP01256,SK0013,2,1
EMP00076,SK0053,4,2
EMP08539,SK0203,3,3
EMP04542,SK0071,4,1
EMP07539,SK0248,1,2
EMP06707,SK0134,3,5
EMP05496,SK0127,5,5
EMP08184,SK0121,4,2
EMP04171,SK0196,4,4
EMP03774,SK0086,5,1
EMP00034,SK0294,4,3
EMP06511,SK0086,1,1
EMP02252,SK0139,4,4
EMP05569,SK0016,2,4
EMP05233,SK0189,2,4
EMP04076,SK0134,3,5
EMP00749,SK0002,2,1
EMP07848,SK0176,1,5
EMP09784,SK0134,2,4
EMP01952,SK0190,4,2
EMP02298,SK0153,4,3
EMP05592,SK0281,2,2
EMP04990,SK0042,3,2
EMP04400,SK0219,1,3
EMP05751,SK0175,3,2
EMP00214,SK0130,3,3
EMP09811,SK0282,3,5
EMP02455,SK0250,5,5
EMP01361,SK0166,3,5
EMP03848,SK0047,3,2
EMP04600,SK0163,4,5
EMP00463,SK0268,5,2
EMP01985,SK0288,1,1
EMP08837,SK0255,2,2
EMP02954,SK0169,1,3
EMP08904,SK0029,2,1
EMP04497,SK0076,3,3
EMP06695,SK0153,2,1
EMP02170,SK0268,3,3
EMP03775,SK0161,3,5
EMP03391,SK0297,2,2
EMP08975,SK0126,3,3
EMP06714,SK0162,2,2
EMP09095,SK0041,4,1
EMP05227,SK0234,1,2
EMP01082,SK0090,5,1
EMP08726,SK0154,2,1
EMP04687,SK0168,2,1
EMP02467,SK0129,2,3
EMP08096,SK0115,3,2
EMP04435,SK0141,1,2
EMP08177,SK0047,3,5
EMP05170,SK0082,2,5
EMP03489,SK0124,4,1
EMP04801,SK0204,3,2
EMP06572,SK0050,4,3
EMP09191,SK0163,3,4
EMP07388,SK0300,2,3
EMP04278,SK0163,1,4
EMP01263,SK0207,2,3
EMP08118,SK0027,5,3
EMP03547,SK0019,2,4
EMP01308,SK0136,4,4
EMP07798,SK0167,3,2
EMP04859,SK0199,2,2
EMP08516,SK0018,3,1
EMP09158,SK0160,4,3
EMP09564,SK0284,1,5
EMP07979,SK0128,5,2
EMP04217,SK0059,4,3
EMP08508,SK0124,2,2
EMP05065,SK0138,5,3
EMP01981,SK0053,2,2
EMP08577,SK0036,1,3
EMP01135,SK0040,5,3
EMP01848,SK0143,5,1
EMP01359,SK0138,4,1
EMP02512,SK0100,3,5
EMP09819,SK0145,4,3
EMP05640,SK0058,3,4
EMP05462,SK0077,1,4
EMP01788,SK0204,3,4
EMP00472,SK0157,2,4
EMP08042,SK0277,5,1
EMP03819,SK0216,2,5
EMP09894,SK0180,5,3
EMP05283,SK0117,1,3
EMP02525,SK0295,1,2
EMP07730,SK0239,3,3
EMP06723,SK0246,5,4
EMP02261,SK0283,4,4
EMP01565,SK0194,5,2
EMP09202,SK0182,5,5
EMP01211,SK0042,1,5
EMP00767,SK0232,3,1
EMP05482,SK0275,1,3
EMP09774,SK0256,2,3
EMP03557,SK0127,1,1
EMP06761,SK0166,4,3
EMP03143,SK0208,4,1
EMP05265,SK0195,4,3
EMP08996,SK0056,5,5
EMP05345,SK0193,2,4
EMP04161,SK0169,3,1
EMP03266,SK0287,5,2
EMP07848,SK0134,3,4
EMP04543,SK0030,1,3
EMP01428,SK0299,2,3
EMP03358,SK0019,1,4
EMP08833,SK0294,3,1
EMP05064,SK0213,2,5
EMP02977,SK0297,1,4
EMP00217,SK0132,3,2
EMP07919,SK0202,5,1
EMP02106,SK0133,5,5
EMP02403,SK0262,1,5
EMP05520,SK0077,3,3
EMP06644,SK0022,3,4
EMP06508,SK0124,2,5
EMP05673,SK0213,2,3
EMP08378,SK0129,4,5
EMP04928,SK0148,5,5
EMP07571,SK0108,1,2
EMP07259,SK0139,3,3
EMP05632,SK0087,4,4
EMP07694,SK0276,5,1
EMP03764,SK0068,4,1
EMP04365,SK0223,2,1
EMP02593,SK0072,5,4
EMP06128,SK0144,2,5
EMP01787,SK0224,3,1
EMP05492,SK0181,4,2
EMP03972,SK0207,2,4
EMP03950,SK0149,3,2
EMP07823,SK0117,5,1
EMP05224,SK0113,4,4
EMP09138,SK0213,3,3
EMP09004,SK0292,2,3
EMP05307,SK0085,5,1
EMP04924,SK0262,1,1
EMP03688,SK0205,1,1
EMP08826,SK0273,3,3
EMP00565,SK0277,4,5
EMP06720,SK0295,4,1
EMP08874,SK0097,5,4
EMP09483,SK0248,5,2
EMP04551,SK0226,5,5
EMP05657,SK0249,5,3
EMP02300,SK0183,4,1
EMP04959,SK0018,2,2
EMP00601,SK0189,4,5
EMP01321,SK0217,5,5
EMP05137,SK0270,2,4
EMP05107,SK0011,2,3
EMP03380,SK0213,3,4
EMP08943,SK0221,1,1
EMP09697,SK0155,2,5
EMP06375,SK0065,4,1
EMP04720,SK0106,2,2
EMP04694,SK0280,3,5
EMP01570,SK0157,2,3
EMP00609,SK0058,5,1
EMP06402,SK0085,4,1
EMP08205,SK0252,4,2
EMP03751,SK0050,5,2
EMP04932,SK0172,5,3
