skill_id,category,subcategory
SK0162,Technical,Live
SK0163,Tools,View
SK0164,Technical,Drive
SK0165,Domain Expertise,Job
SK0166,Soft Skill,Group
SK0167,Leadership,Their
SK0168,Domain Expertise,Long
SK0169,Technical,Inside
SK0170,Leadership,Just
SK0171,Technical,Show
SK0172,Technical,Beyond
SK0173,Soft Skill,Form
SK0174,Leadership,Late
SK0175,Leadership,Form
SK0176,Soft Skill,Reduce
SK0177,Domain Expertise,Especially
SK0178,Technical,House
SK0179,Tools,Claim
SK0180,Technical,Right
SK0181,Technical,Wind
SK0182,Domain Expertise,Matter
SK0183,Technical,Audience
SK0184,Soft Skill,Benefit
SK0185,Soft Skill,Theory
SK0186,Leadership,Bed
SK0187,Tools,Better
SK0188,Technical,Lay
SK0189,Technical,Big
SK0190,Domain Expertise,Size
SK0191,Soft Skill,Single
SK0192,Tools,Hotel
SK0193,Leadership,Task
SK0194,Soft Skill,Case
SK0195,Leadership,Only
SK0196,Domain Expertise,As
SK0197,Domain Expertise,Peace
SK0198,Technical,Or
SK0199,Tools,Or
SK0200,Leadership,Girl
SK0201,Soft Skill,Religious
SK0202,Domain Expertise,Can
SK0203,Technical,Item
SK0204,Technical,Health
SK0205,Leadership,Tv
SK0206,Domain Expertise,Reduce
SK0207,Tools,Yeah
SK0208,Domain Expertise,Social
SK0209,Leadership,Land
SK0210,Leadership,Trip
SK0211,Domain Expertise,Whole
SK0212,Leadership,Set
SK0213,Domain Expertise,Approach
SK0214,Soft Skill,Field
SK0215,Domain Expertise,Plan
SK0216,Domain Expertise,Forget
SK0217,Leadership,He
SK0218,Leadership,Body
SK0219,Technical,Participant
SK0220,Technical,Movement
SK0221,Soft Skill,Difference
SK0222,Technical,Clear
SK0223,Domain Expertise,Realize
SK0224,Leadership,Meet
SK0225,Technical,Door
SK0226,Technical,Throw
SK0227,Soft Skill,Box
SK0228,Soft Skill,Hard
SK0229,Domain Expertise,Through
SK0230,Leadership,Only
SK0231,Soft Skill,Hold
SK0232,Technical,Building
SK0233,Leadership,Sound
SK0234,Leadership,Family
SK0235,Technical,Painting
SK0236,Soft Skill,Draw
SK0237,Technical,Surface
SK0238,Leadership,Laugh
SK0239,Tools,Through
SK0240,Tools,Option
SK0241,Domain Expertise,Speak
SK0242,Technical,Tell
SK0243,Technical,Pretty
SK0244,Domain Expertise,Positive
SK0245,Domain Expertise,Republican
SK0246,Domain Expertise,Question
SK0247,Leadership,Onto
SK0248,Technical,Agree
SK0249,Leadership,Politics
SK0250,Domain Expertise,Woman
SK0251,Technical,Really
SK0252,Leadership,Themselves
SK0253,Leadership,Rule
SK0254,Domain Expertise,Example
SK0255,Technical,Air
SK0256,Domain Expertise,Couple
SK0257,Technical,Explain
SK0258,Tools,Scientist
SK0259,Soft Skill,Sound
SK0260,Soft Skill,For
SK0261,Soft Skill,Will
SK0262,Domain Expertise,Group
SK0263,Tools,Have
SK0264,Technical,According
SK0265,Leadership,Course
SK0266,Technical,True
SK0267,Leadership,Character
SK0268,Technical,Others
SK0269,Tools,Really
SK0270,Leadership,Institution
SK0271,Domain Expertise,Available
SK0272,Technical,Change
SK0273,Technical,Sit
SK0274,Leadership,Property
SK0275,Domain Expertise,Allow
SK0276,Domain Expertise,Benefit
SK0277,Tools,Skin
SK0278,Domain Expertise,Nice
SK0279,Domain Expertise,Dinner
SK0280,Domain Expertise,However
SK0281,Soft Skill,Kind
SK0282,Tools,Long
SK0283,Technical,Growth
SK0284,Leadership,Coach
SK0285,Technical,Hope
SK0286,Tools,Forget
SK0287,Leadership,Set
SK0288,Tools,Garden
SK0289,Domain Expertise,Standard
SK0290,Leadership,Year
SK0291,Domain Expertise,Out
SK0292,Technical,Pick
SK0293,Technical,Become
SK0294,Leadership,Use
SK0295,Leadership,Area
SK0296,Tools,Clearly
SK0297,Tools,Coach
SK0298,Domain Expertise,Somebody
SK0299,Leadership,Prepare
SK0300,Technical,Appear
