employee_id,project_id,role,hours_allocated
EMP04578,PRJ2240,Reviewer,209
EMP01744,PRJ0985,Reviewer,174
EMP06210,PRJ2533,Reviewer,260
EMP03152,PRJ1677,Reviewer,46
EMP07639,PRJ4317,Lead,370
EMP08414,PRJ1478,Reviewer,401
EMP00640,PRJ4792,Reviewer,213
EMP05809,PRJ0357,Manager,38
EMP07928,PRJ0859,Lead,270
EMP08751,PRJ2497,Reviewer,69
EMP08440,PRJ2495,Manager,281
EMP01185,PRJ0211,Reviewer,428
EMP07106,PRJ4100,Manager,346
EMP04276,PRJ3889,Reviewer,408
EMP07003,PRJ2279,Lead,222
EMP00489,PRJ4747,Contributor,96
EMP09119,PRJ1487,Manager,488
EMP06643,PRJ1858,Contributor,26
EMP09609,PRJ0436,Manager,255
EMP02621,PRJ0898,Contributor,389
EMP02131,PRJ4863,Manager,392
EMP02199,PRJ1636,Reviewer,281
EMP07405,PRJ2049,Lead,428
EMP01178,PRJ1639,Reviewer,189
EMP02146,PRJ4049,Contributor,176
EMP04207,PRJ3104,Contributor,459
EMP04571,PRJ0461,Contributor,203
EMP03408,PRJ4123,Lead,364
EMP05932,PRJ1915,Lead,325
EMP04375,PRJ4256,Contributor,430
EMP07904,PRJ1185,Reviewer,410
EMP01335,PRJ1058,Lead,385
EMP09906,PRJ4508,Lead,370
EMP03684,PRJ3838,Reviewer,94
EMP08505,PRJ4840,Contributor,11
EMP03895,PRJ3057,Contributor,232
EMP09360,PRJ2181,Manager,356
EMP04703,PRJ0466,Lead,100
EMP05111,PRJ1141,Contributor,438
EMP00234,PRJ3887,Lead,367
EMP09363,PRJ2089,Contributor,463
EMP05830,PRJ3335,Reviewer,30
EMP00439,PRJ2178,Lead,11
EMP00333,PRJ1403,Reviewer,250
EMP03105,PRJ4027,Manager,146
EMP05550,PRJ1112,Lead,489
EMP08177,PRJ3542,Contributor,74
EMP08895,PRJ2333,Manager,77
EMP09422,PRJ4184,Contributor,423
EMP06565,PRJ1517,Lead,461
EMP04585,PRJ3981,Contributor,284
EMP03764,PRJ2398,Lead,201
EMP01124,PRJ1498,Lead,215
EMP04844,PRJ4430,Contributor,330
EMP07902,PRJ1036,Reviewer,253
EMP03300,PRJ0757,Reviewer,377
EMP00974,PRJ2177,Contributor,180
EMP00804,PRJ0596,Contributor,190
EMP09979,PRJ3024,Manager,418
EMP02648,PRJ0985,Reviewer,35
EMP08431,PRJ2595,Reviewer,401
EMP08661,PRJ0041,Manager,267
EMP01900,PRJ3704,Manager,410
EMP04076,PRJ2535,Reviewer,25
EMP07421,PRJ1911,Manager,251
EMP04855,PRJ1997,Manager,173
EMP05428,PRJ0910,Reviewer,76
EMP09302,PRJ4895,Contributor,88
EMP02589,PRJ2907,Lead,384
EMP09947,PRJ0174,Reviewer,244
EMP01180,PRJ1614,Contributor,235
EMP00084,PRJ4524,Lead,193
EMP03756,PRJ2479,Reviewer,474
EMP05791,PRJ0701,Contributor,254
EMP01235,PRJ2154,Contributor,182
EMP01665,PRJ2330,Lead,190
EMP02848,PRJ3072,Reviewer,38
EMP01567,PRJ1803,Reviewer,368
EMP02441,PRJ2581,Lead,467
EMP06116,PRJ3057,Lead,450
EMP09600,PRJ0223,Lead,87
EMP07136,PRJ1934,Manager,274
EMP00402,PRJ3988,Contributor,54
EMP05418,PRJ4500,Manager,249
EMP04880,PRJ0689,Reviewer,467
EMP05991,PRJ4960,Contributor,365
EMP07622,PRJ1596,Contributor,431
EMP06212,PRJ2328,Reviewer,267
EMP09153,PRJ4076,Lead,121
EMP05719,PRJ2501,Manager,166
EMP07689,PRJ1075,Manager,460
EMP08298,PRJ3431,Reviewer,471
EMP03553,PRJ3122,Lead,50
EMP00527,PRJ1683,Manager,368
EMP01723,PRJ3044,Manager,177
EMP07097,PRJ4508,Reviewer,306
EMP02585,PRJ3774,Contributor,87
EMP02832,PRJ4089,Manager,149
EMP03165,PRJ3656,Reviewer,475
EMP06788,PRJ3397,Contributor,283
EMP06733,PRJ0549,Reviewer,37
EMP02323,PRJ0306,Lead,369
EMP07831,PRJ1927,Contributor,175
EMP01604,PRJ1801,Manager,199
EMP03507,PRJ2159,Manager,244
EMP03604,PRJ2351,Reviewer,411
EMP01445,PRJ2159,Lead,436
EMP04585,PRJ0033,Reviewer,217
EMP09584,PRJ1783,Manager,278
EMP00841,PRJ3796,Lead,131
EMP01005,PRJ3655,Manager,392
EMP04429,PRJ1786,Manager,186
EMP02803,PRJ0322,Manager,237
EMP04692,PRJ3429,Lead,194
EMP02497,PRJ3884,Contributor,84
EMP04882,PRJ0695,Lead,273
EMP06183,PRJ0846,Reviewer,357
EMP04632,PRJ4296,Lead,117
EMP02437,PRJ3381,Lead,498
EMP07049,PRJ3914,Reviewer,13
EMP09090,PRJ4163,Contributor,201
EMP01267,PRJ0391,Lead,344
EMP07972,PRJ3104,Reviewer,51
EMP00338,PRJ4464,Manager,436
EMP05777,PRJ0502,Manager,229
EMP07658,PRJ1122,Contributor,297
EMP07482,PRJ2102,Contributor,229
EMP02418,PRJ0723,Manager,97
EMP04828,PRJ3198,Lead,465
EMP07188,PRJ1366,Manager,111
EMP07114,PRJ1013,Manager,191
EMP00301,PRJ4408,Reviewer,105
EMP00470,PRJ0552,Manager,428
EMP07178,PRJ1386,Contributor,148
EMP03754,PRJ1674,Manager,366
EMP09570,PRJ1292,Lead,420
EMP06882,PRJ4875,Lead,32
EMP05936,PRJ4158,Contributor,445
EMP05558,PRJ2933,Contributor,236
EMP04798,PRJ4885,Reviewer,51
EMP04323,PRJ4001,Contributor,226
EMP03865,PRJ1518,Contributor,251
EMP00301,PRJ3161,Reviewer,132
EMP04952,PRJ4826,Contributor,452
EMP04729,PRJ3803,Reviewer,29
EMP08096,PRJ4453,Manager,201
EMP04989,PRJ0139,Lead,165
EMP05174,PRJ2272,Contributor,155
EMP05349,PRJ3145,Reviewer,405
EMP06707,PRJ4288,Manager,322
EMP08135,PRJ1710,Reviewer,462
EMP03254,PRJ0922,Manager,400
EMP07198,PRJ2644,Contributor,420
EMP02265,PRJ1681,Lead,45
EMP09250,PRJ4848,Lead,229
EMP06401,PRJ1629,Lead,417
EMP02756,PRJ3415,Reviewer,468
EMP07019,PRJ1780,Contributor,374
EMP01947,PRJ4813,Manager,236
EMP05945,PRJ2639,Contributor,463
EMP03925,PRJ1773,Lead,196
EMP05158,PRJ2295,Lead,346
EMP04105,PRJ2883,Manager,343
EMP04463,PRJ2670,Manager,113
EMP03955,PRJ1753,Contributor,311
EMP04145,PRJ3109,Reviewer,372
EMP09830,PRJ1185,Reviewer,251
EMP01430,PRJ4584,Reviewer,136
EMP07634,PRJ2030,Contributor,323
EMP01624,PRJ0347,Manager,479
EMP07268,PRJ4052,Contributor,491
EMP05344,PRJ3082,Reviewer,331
EMP02019,PRJ4198,Lead,87
EMP09728,PRJ4199,Contributor,294
EMP04627,PRJ3831,Manager,244
EMP01881,PRJ3910,Contributor,284
EMP08918,PRJ2179,Lead,121
EMP05789,PRJ4421,Contributor,214
EMP05171,PRJ0940,Reviewer,102
EMP08551,PRJ0762,Contributor,378
EMP08420,PRJ1044,Contributor,272
EMP01860,PRJ2806,Contributor,87
EMP04567,PRJ4603,Lead,152
EMP09341,PRJ0213,Contributor,366
EMP07345,PRJ1052,Manager,279
EMP01660,PRJ4803,Manager,328
EMP01895,PRJ2193,Lead,228
EMP09320,PRJ4063,Lead,389
EMP02270,PRJ1248,Reviewer,385
EMP06341,PRJ4238,Reviewer,110
EMP08663,PRJ1714,Reviewer,197
EMP03132,PRJ4109,Lead,17
EMP06209,PRJ4017,Lead,472
EMP05851,PRJ0514,Manager,376
EMP02219,PRJ0033,Lead,370
EMP03247,PRJ3391,Lead,381
EMP01479,PRJ2747,Manager,79
EMP05303,PRJ2303,Manager,398
EMP04831,PRJ1050,Lead,216
EMP04841,PRJ3633,Manager,27
EMP05964,PRJ2945,Manager,466
EMP01046,PRJ1188,Reviewer,174
EMP04037,PRJ0945,Reviewer,115
EMP04938,PRJ0533,Contributor,224
EMP02099,PRJ1990,Contributor,372
EMP09950,PRJ3135,Lead,74
EMP06931,PRJ3224,Manager,53
EMP02268,PRJ1098,Contributor,471
EMP06805,PRJ2852,Manager,215
EMP03009,PRJ3344,Manager,337
EMP02915,PRJ3028,Reviewer,279
EMP04214,PRJ2934,Contributor,115
EMP08121,PRJ4375,Manager,270
EMP03158,PRJ3073,Contributor,156
EMP03407,PRJ3177,Manager,221
EMP00451,PRJ2443,Manager,240
EMP04146,PRJ1884,Reviewer,252
EMP00526,PRJ3407,Manager,179
EMP08441,PRJ2519,Contributor,198
EMP02441,PRJ4471,Lead,155
EMP07394,PRJ4726,Lead,478
EMP05501,PRJ2316,Contributor,217
EMP04256,PRJ1492,Reviewer,117
EMP06396,PRJ1997,Manager,149
EMP02871,PRJ2119,Lead,21
EMP09058,PRJ4400,Contributor,339
EMP09093,PRJ0694,Reviewer,338
EMP00561,PRJ4777,Reviewer,281
EMP00379,PRJ2976,Lead,68
EMP07152,PRJ1638,Manager,19
EMP01661,PRJ4891,Lead,209
EMP01837,PRJ0179,Reviewer,277
EMP07884,PRJ4739,Reviewer,444
EMP07808,PRJ4620,Contributor,83
EMP01374,PRJ2889,Reviewer,491
EMP09342,PRJ2152,Lead,132
EMP04410,PRJ3273,Manager,458
EMP00875,PRJ4966,Reviewer,267
EMP05217,PRJ3848,Manager,332
EMP00470,PRJ2846,Contributor,189
EMP05481,PRJ0618,Contributor,113
EMP04052,PRJ3677,Reviewer,63
EMP01101,PRJ4071,Contributor,107
EMP02004,PRJ0536,Lead,267
EMP00692,PRJ2124,Manager,122
EMP02209,PRJ4038,Lead,18
EMP06792,PRJ3886,Reviewer,499
EMP00793,PRJ2630,Manager,103
EMP00937,PRJ3972,Reviewer,351
EMP02336,PRJ0611,Lead,410
EMP04827,PRJ0816,Contributor,345
EMP08706,PRJ1273,Lead,349
EMP04398,PRJ3321,Lead,305
EMP07850,PRJ3461,Contributor,214
EMP04922,PRJ0673,Lead,432
EMP04587,PRJ4250,Manager,106
EMP03103,PRJ1468,Reviewer,28
EMP07558,PRJ2956,Manager,103
EMP00838,PRJ4161,Contributor,388
EMP09523,PRJ1317,Lead,60
EMP08376,PRJ2675,Contributor,286
EMP02194,PRJ0221,Contributor,244
EMP06383,PRJ1294,Lead,24
EMP01865,PRJ4378,Manager,429
EMP01678,PRJ2726,Reviewer,225
EMP01390,PRJ3110,Lead,241
EMP04988,PRJ3960,Contributor,225
EMP07324,PRJ2670,Lead,33
EMP04840,PRJ4069,Manager,207
EMP06448,PRJ0636,Manager,306
EMP00516,PRJ0030,Manager,429
EMP01814,PRJ4055,Contributor,460
EMP02328,PRJ0123,Lead,414
EMP04888,PRJ1092,Reviewer,107
EMP05536,PRJ4437,Reviewer,40
EMP03818,PRJ3669,Reviewer,452
EMP04092,PRJ1130,Manager,69
EMP04155,PRJ4192,Contributor,77
EMP00457,PRJ3065,Contributor,29
EMP00729,PRJ2290,Manager,437
EMP00006,PRJ0166,Lead,333
EMP07691,PRJ4017,Reviewer,251
EMP05767,PRJ0302,Contributor,367
EMP07530,PRJ3925,Manager,256
EMP04703,PRJ1838,Contributor,310
EMP06564,PRJ1755,Contributor,482
EMP06415,PRJ3875,Manager,20
EMP00760,PRJ4442,Lead,66
EMP03572,PRJ4404,Lead,97
EMP07319,PRJ0814,Lead,400
EMP04197,PRJ1262,Lead,410
EMP07877,PRJ3409,Manager,255
EMP01033,PRJ1981,Manager,451
EMP09525,PRJ3379,Reviewer,301
EMP07838,PRJ0319,Manager,439
EMP04003,PRJ3497,Lead,42
EMP06004,PRJ2173,Contributor,473
EMP07776,PRJ3083,Contributor,333
EMP07124,PRJ4531,Contributor,98
EMP09165,PRJ3330,Reviewer,343
EMP06864,PRJ4771,Lead,358
EMP01493,PRJ3481,Contributor,231
EMP07611,PRJ2773,Lead,417
EMP05451,PRJ1450,Contributor,335
EMP09878,PRJ3440,Manager,168
EMP05813,PRJ2230,Manager,429
EMP08798,PRJ3899,Manager,486
EMP07123,PRJ3034,Contributor,304
EMP06336,PRJ1458,Contributor,248
EMP01795,PRJ0047,Lead,140
EMP00566,PRJ4967,Contributor,185
EMP06038,PRJ4701,Manager,242
EMP06932,PRJ0604,Lead,186
EMP02472,PRJ4667,Lead,224
EMP01801,PRJ0463,Lead,479
EMP07453,PRJ4077,Lead,490
EMP03163,PRJ2520,Contributor,180
EMP08879,PRJ4337,Manager,490
EMP06823,PRJ3000,Reviewer,208
EMP02237,PRJ1663,Contributor,283
EMP08972,PRJ3425,Manager,36
EMP03154,PRJ0646,Lead,284
EMP09649,PRJ1479,Reviewer,69
EMP03548,PRJ1929,Manager,152
EMP05730,PRJ3711,Reviewer,488
EMP03258,PRJ0225,Contributor,197
EMP00128,PRJ0106,Lead,101
EMP07445,PRJ2511,Contributor,104
EMP06947,PRJ0523,Lead,24
EMP06429,PRJ4804,Manager,395
EMP06690,PRJ4967,Reviewer,439
EMP00466,PRJ1035,Contributor,276
EMP00347,PRJ2064,Reviewer,383
EMP05756,PRJ4958,Lead,88
EMP08410,PRJ3412,Reviewer,402
EMP07855,PRJ3307,Reviewer,117
EMP04162,PRJ3900,Lead,322
EMP05143,PRJ1987,Lead,446
EMP08176,PRJ3883,Reviewer,131
EMP09357,PRJ2876,Lead,60
EMP08642,PRJ3281,Contributor,323
EMP01986,PRJ0950,Contributor,95
EMP06978,PRJ0975,Lead,498
EMP09987,PRJ2204,Lead,10
EMP01111,PRJ0627,Manager,286
EMP08100,PRJ2847,Contributor,443
EMP07916,PRJ4748,Lead,23
EMP02340,PRJ2333,Contributor,204
EMP02721,PRJ4140,Contributor,347
EMP07733,PRJ1599,Lead,78
EMP01628,PRJ2446,Lead,167
EMP07952,PRJ4508,Manager,374
EMP09643,PRJ2679,Contributor,277
EMP09317,PRJ2266,Manager,433
EMP08113,PRJ3005,Contributor,423
EMP06377,PRJ3203,Contributor,13
EMP02946,PRJ0714,Manager,171
EMP02717,PRJ1829,Reviewer,371
EMP07098,PRJ2648,Contributor,391
EMP08171,PRJ4287,Contributor,396
EMP02486,PRJ1064,Manager,116
EMP03587,PRJ0297,Lead,266
EMP03055,PRJ1733,Manager,282
EMP08986,PRJ2081,Manager,391
EMP02865,PRJ4282,Contributor,231
EMP01256,PRJ3312,Lead,372
EMP00384,PRJ0103,Lead,344
EMP04938,PRJ3317,Reviewer,280
EMP00934,PRJ3425,Lead,241
EMP00733,PRJ4564,Lead,177
EMP04980,PRJ3454,Lead,322
EMP07074,PRJ2509,Reviewer,379
EMP03496,PRJ4289,Manager,233
EMP01907,PRJ0022,Manager,388
EMP08480,PRJ2884,Manager,73
EMP04412,PRJ2860,Reviewer,314
EMP08880,PRJ1838,Manager,349
EMP02771,PRJ2220,Reviewer,199
EMP03771,PRJ3550,Contributor,417
EMP04457,PRJ1158,Reviewer,433
EMP07511,PRJ0426,Lead,59
EMP06013,PRJ0423,Lead,457
EMP06199,PRJ2863,Reviewer,132
EMP00025,PRJ2145,Manager,337
EMP04959,PRJ2480,Reviewer,95
EMP03359,PRJ2047,Manager,327
EMP07413,PRJ4795,Lead,415
EMP00084,PRJ0079,Contributor,83
EMP00352,PRJ0677,Reviewer,26
EMP01022,PRJ3890,Manager,165
EMP02531,PRJ2052,Reviewer,376
EMP07523,PRJ0281,Contributor,280
EMP06935,PRJ0856,Lead,338
EMP08017,PRJ3401,Lead,226
EMP08601,PRJ0709,Contributor,352
EMP00390,PRJ2785,Manager,191
EMP05040,PRJ1310,Manager,74
EMP02290,PRJ4149,Lead,346
EMP03185,PRJ2594,Reviewer,209
EMP09644,PRJ2391,Contributor,172
EMP06460,PRJ1148,Manager,316
EMP05485,PRJ2083,Contributor,271
EMP01726,PRJ4105,Reviewer,345
EMP05492,PRJ4950,Contributor,493
EMP07945,PRJ1313,Lead,283
EMP06792,PRJ1897,Contributor,302
EMP02719,PRJ1661,Lead,316
EMP06898,PRJ4684,Lead,92
EMP02730,PRJ2549,Reviewer,368
EMP09244,PRJ3631,Manager,105
EMP08300,PRJ1899,Reviewer,67
EMP03819,PRJ2406,Manager,492
EMP07384,PRJ0582,Manager,420
EMP09692,PRJ1304,Contributor,293
EMP00453,PRJ4049,Reviewer,296
EMP09495,PRJ0406,Reviewer,179
EMP09188,PRJ2145,Contributor,305
EMP04900,PRJ2300,Lead,494
EMP01243,PRJ4754,Manager,236
EMP00212,PRJ0669,Manager,310
EMP07798,PRJ1781,Contributor,496
EMP04264,PRJ4660,Reviewer,112
EMP02220,PRJ1812,Contributor,354
EMP04945,PRJ3331,Reviewer,382
EMP09772,PRJ4701,Lead,345
EMP06322,PRJ0463,Reviewer,299
EMP06325,PRJ0709,Lead,104
EMP03128,PRJ0059,Contributor,211
EMP01532,PRJ0253,Lead,299
EMP06747,PRJ3375,Lead,240
EMP01086,PRJ0066,Contributor,53
EMP01225,PRJ4790,Reviewer,140
EMP08479,PRJ0659,Reviewer,61
EMP04392,PRJ2436,Manager,159
EMP04362,PRJ3172,Contributor,470
EMP01554,PRJ0725,Reviewer,421
EMP08300,PRJ0175,Manager,254
EMP08396,PRJ3020,Contributor,269
EMP02413,PRJ1184,Contributor,438
EMP02360,PRJ0372,Contributor,100
EMP08941,PRJ2439,Contributor,486
EMP07981,PRJ4918,Reviewer,138
EMP06099,PRJ0499,Reviewer,246
EMP03782,PRJ4745,Contributor,71
EMP08198,PRJ1202,Reviewer,345
EMP03042,PRJ4312,Contributor,78
EMP03506,PRJ4208,Reviewer,183
EMP00428,PRJ0081,Manager,50
EMP00287,PRJ1395,Manager,445
EMP06592,PRJ0791,Contributor,194
EMP05460,PRJ2651,Reviewer,325
EMP07909,PRJ3454,Lead,288
EMP05859,PRJ0892,Contributor,444
EMP02524,PRJ2939,Reviewer,48
EMP03908,PRJ3044,Reviewer,154
EMP07088,PRJ1003,Manager,205
EMP05471,PRJ2575,Lead,434
EMP00200,PRJ2521,Contributor,108
EMP01526,PRJ1502,Reviewer,357
EMP05545,PRJ1531,Lead,336
EMP05967,PRJ2853,Reviewer,431
EMP05005,PRJ4765,Manager,475
EMP02405,PRJ4218,Contributor,239
EMP08656,PRJ4538,Contributor,325
EMP09991,PRJ2065,Contributor,351
EMP06484,PRJ3538,Contributor,156
EMP06986,PRJ2817,Lead,267
EMP03753,PRJ4649,Contributor,335
EMP02789,PRJ0520,Contributor,12
EMP02648,PRJ1915,Lead,152
EMP04237,PRJ1630,Reviewer,32
EMP06149,PRJ0825,Reviewer,173
EMP04244,PRJ2885,Manager,79
EMP01784,PRJ0838,Reviewer,457
EMP04511,PRJ3517,Manager,98
EMP02229,PRJ3223,Reviewer,174
EMP01569,PRJ2329,Lead,130
EMP07209,PRJ2637,Contributor,103
EMP01551,PRJ4635,Lead,372
EMP08257,PRJ4646,Manager,273
EMP06077,PRJ1866,Lead,193
EMP05809,PRJ0904,Contributor,407
EMP06369,PRJ2391,Manager,345
EMP09773,PRJ3046,Manager,435
EMP03911,PRJ4430,Contributor,302
EMP05325,PRJ3804,Reviewer,98
EMP04044,PRJ2338,Manager,118
EMP05012,PRJ0762,Reviewer,131
EMP03726,PRJ4859,Reviewer,313
EMP01648,PRJ2963,Reviewer,466
EMP00581,PRJ4966,Lead,20
EMP08325,PRJ0994,Contributor,455
EMP00202,PRJ3168,Manager,145
EMP01586,PRJ4607,Manager,37
EMP04277,PRJ2725,Reviewer,149
EMP01656,PRJ0680,Contributor,170
EMP07387,PRJ3825,Manager,343
EMP07619,PRJ1645,Lead,225
EMP02687,PRJ1019,Manager,137
EMP08155,PRJ0254,Manager,356
EMP06349,PRJ0328,Manager,207
EMP08019,PRJ3555,Reviewer,355
EMP08925,PRJ4163,Lead,432
EMP04772,PRJ4682,Contributor,478
EMP06472,PRJ2817,Contributor,74
EMP04358,PRJ1968,Lead,264
EMP01964,PRJ0073,Lead,321
EMP06956,PRJ3140,Manager,253
EMP09942,PRJ1500,Lead,408
EMP03441,PRJ2278,Manager,208
EMP03943,PRJ0810,Contributor,30
EMP07817,PRJ1656,Reviewer,166
EMP01925,PRJ3608,Manager,213
EMP07630,PRJ1895,Lead,226
EMP07876,PRJ4127,Contributor,198
EMP06847,PRJ3148,Contributor,195
EMP07997,PRJ2875,Lead,494
EMP01790,PRJ4767,Reviewer,161
EMP04231,PRJ3668,Manager,43
EMP02345,PRJ2604,Lead,32
EMP05527,PRJ1635,Manager,378
EMP00495,PRJ0968,Contributor,404
EMP04277,PRJ4686,Reviewer,434
EMP03415,PRJ1646,Contributor,300
EMP07861,PRJ4864,Contributor,99
EMP05833,PRJ2948,Reviewer,203
EMP03827,PRJ1471,Lead,146
EMP07112,PRJ2506,Lead,446
EMP00130,PRJ0766,Contributor,30
EMP07736,PRJ4795,Reviewer,483
EMP09903,PRJ0729,Contributor,497
EMP02685,PRJ3381,Lead,13
EMP01022,PRJ1511,Contributor,92
EMP07235,PRJ3108,Lead,121
EMP03772,PRJ4182,Manager,188
EMP03179,PRJ3905,Manager,103
EMP05664,PRJ4703,Lead,347
EMP02089,PRJ3679,Lead,372
EMP06561,PRJ4027,Lead,44
EMP03367,PRJ3216,Contributor,121
EMP00818,PRJ1937,Lead,123
EMP08493,PRJ2668,Manager,311
EMP04287,PRJ3111,Reviewer,299
EMP01284,PRJ4437,Reviewer,163
EMP01415,PRJ4818,Lead,318
EMP06802,PRJ4865,Lead,166
EMP01607,PRJ3781,Reviewer,164
EMP06460,PRJ4308,Lead,60
EMP05256,PRJ1313,Reviewer,210
EMP01316,PRJ1796,Lead,247
EMP01084,PRJ2062,Manager,80
EMP00113,PRJ2931,Manager,351
EMP07154,PRJ2191,Contributor,44
EMP02239,PRJ1700,Contributor,301
EMP00651,PRJ4715,Reviewer,177
EMP02974,PRJ0970,Contributor,282
EMP09588,PRJ1030,Lead,418
EMP01334,PRJ1048,Contributor,310
EMP02492,PRJ1594,Manager,157
EMP09774,PRJ1287,Manager,154
EMP01146,PRJ0635,Lead,171
EMP03395,PRJ1753,Manager,201
EMP09150,PRJ1312,Lead,290
EMP04343,PRJ4890,Reviewer,189
EMP03081,PRJ4440,Lead,297
EMP03803,PRJ4131,Contributor,481
EMP02302,PRJ1097,Reviewer,123
EMP09037,PRJ3452,Contributor,369
EMP05768,PRJ3458,Manager,303
EMP01011,PRJ3248,Reviewer,275
EMP01178,PRJ0858,Contributor,31
EMP04164,PRJ2208,Lead,74
EMP01541,PRJ2227,Manager,307
EMP07946,PRJ1913,Lead,16
EMP07992,PRJ2696,Contributor,203
EMP04135,PRJ3457,Reviewer,393
EMP08229,PRJ4161,Lead,49
EMP03172,PRJ0619,Contributor,22
EMP04547,PRJ2138,Reviewer,147
EMP01228,PRJ1076,Manager,185
EMP04971,PRJ4283,Lead,250
EMP07506,PRJ4618,Lead,210
EMP01370,PRJ2898,Manager,78
EMP09455,PRJ3281,Lead,414
EMP04602,PRJ0130,Manager,151
EMP05820,PRJ1818,Contributor,205
EMP06733,PRJ3749,Manager,335
EMP07486,PRJ3191,Manager,483
EMP02887,PRJ0605,Manager,12
EMP07243,PRJ0278,Lead,377
EMP00220,PRJ4083,Manager,393
EMP03546,PRJ3658,Contributor,273
EMP05915,PRJ3504,Manager,93
EMP09770,PRJ4521,Lead,198
EMP04920,PRJ1909,Lead,192
EMP07426,PRJ4373,Contributor,209
EMP00661,PRJ2869,Lead,440
EMP05307,PRJ4091,Lead,285
EMP09947,PRJ1025,Manager,297
EMP02722,PRJ1899,Reviewer,54
EMP04890,PRJ2255,Manager,72
EMP08447,PRJ1733,Manager,369
EMP05147,PRJ0629,Contributor,298
EMP04668,PRJ4911,Reviewer,418
EMP02554,PRJ0083,Contributor,445
EMP03586,PRJ0921,Reviewer,361
EMP00065,PRJ3130,Manager,31
EMP06929,PRJ2511,Contributor,215
EMP02858,PRJ3030,Manager,485
EMP04458,PRJ3395,Reviewer,262
EMP02457,PRJ1363,Manager,219
EMP09154,PRJ0444,Contributor,250
EMP07718,PRJ1618,Contributor,415
EMP06066,PRJ3639,Contributor,292
