lp_id,lp_name,course_ids,target_skill_id
LP101,Path to Geoscientist,"C00439,C00245,C00385,C00968,C00796,C00773,C00787,C00635,C00925",SK0279
LP102,"Path to Producer, television/film/video","C00308,C00552,C00961,C00029,C00027",SK0218
LP103,Path to Medical laboratory scientific officer,"C00869,C00531,C00104,C00503,C00394,C00555,C00517",SK0028
LP104,Path to Theatre manager,"C00468,C00668,C00731,C00001",SK0299
LP105,"Path to Scientist, research (life sciences)","C00383,C00459,C00176,C00454,C00124",SK0064
LP106,"Path to Production designer, theatre/television/film","C00983,C00128,C00506,C00111,C00225,C00281",SK0299
LP107,Path to Patent attorney,"C00873,C00360,C00600,C00517,C00261,C00612",SK0278
LP108,Path to Diplomatic Services operational officer,"C00350,C00021,C00047,C00909,C00943,C00100,C00878",SK0155
LP109,Path to Educational psychologist,"C00389,C00990,C00658,C00460",SK0123
LP110,Path to Advice worker,"C00437,C00086,C00227,C00418",SK0110
LP111,Path to Comptroller,"C00310,C00688,C00975,C00500",SK0073
LP112,Path to Farm manager,"C00326,C00575,C00912,C00805,C00946,C00115,C00486,C00092,C00591",SK0039
LP113,Path to Food technologist,"C00163,C00156,C00184,C00866,C00014,C00255,C00355,C00417",SK0235
LP114,Path to Cartographer,"C00936,C00023,C00392,C00848,C00905,C00317,C00030",SK0097
LP115,"Path to Engineer, materials","C00637,C00725,C00706,C00404",SK0047
LP116,Path to Dietitian,"C00914,C00835,C00880,C00993,C00809,C00133",SK0223
LP117,Path to Occupational psychologist,"C00539,C00378,C00497,C00561,C00145,C00715,C00652",SK0222
LP118,"Path to Civil engineer, contracting","C00449,C00993,C00969,C00032,C00753,C00096,C00253,C00932",SK0087
LP119,Path to Chief of Staff,"C00647,C00159,C00553,C00264,C00163,C00446,C00929",SK0298
LP120,Path to Bonds trader,"C00701,C00355,C00347,C00058",SK0282
LP121,Path to Public librarian,"C00226,C00830,C00177,C00771,C00224,C00244,C00913,C00801,C00739",SK0015
LP122,Path to Sports therapist,"C00599,C00558,C00855,C00772,C00799,C00367,C00581",SK0203
LP123,Path to Audiological scientist,"C00356,C00990,C00501,C00529,C00465",SK0190
LP124,Path to Agricultural engineer,"C00958,C00981,C00408,C00079,C00516,C00697,C00502,C00977,C00264",SK0062
LP125,Path to Occupational psychologist,"C00244,C00964,C00858,C00711,C00691,C00556,C00950",SK0280
LP126,"Path to Scientist, research (physical sciences)","C00366,C00520,C00361,C00473,C00192,C00130",SK0036
LP127,Path to Charity officer,"C00597,C00022,C00973,C00420,C00552",SK0017
LP128,Path to Civil Service administrator,"C00307,C00733,C00754,C00033,C00382",SK0191
LP129,Path to Garment/textile technologist,"C00938,C00998,C00160,C00773,C00459",SK0232
LP130,Path to Waste management officer,"C00825,C00512,C00908,C00957",SK0016
LP131,"Path to Designer, furniture","C00638,C00784,C00765,C00863,C00262,C00799",SK0125
LP132,Path to Chartered accountant,"C00230,C00314,C00864,C00060,C00623,C00741,C00373,C00157",SK0292
LP133,Path to Newspaper journalist,"C00757,C00808,C00088,C00428",SK0262
LP134,Path to Insurance broker,"C00487,C00831,C00321,C00840,C00643,C00794,C00791,C00816",SK0284
LP135,Path to Estate manager/land agent,"C00565,C00227,C00343,C00907,C00777,C00237",SK0171
LP136,Path to Firefighter,"C00820,C00532,C00757,C00457",SK0248
LP137,Path to Herpetologist,"C00004,C00262,C00288,C00001",SK0146
LP138,Path to Probation officer,"C00599,C00124,C00464,C00139,C00540,C00718,C00335,C00223,C00901",SK0142
LP139,Path to Computer games developer,"C00493,C00122,C00168,C00128,C00701,C00678,C00637",SK0283
LP140,"Path to Conservator, museum/gallery","C00891,C00959,C00388,C00591,C00887,C00193,C00735",SK0117
LP141,Path to Secretary/administrator,"C00484,C00381,C00641,C00416,C00836,C00939",SK0110
LP142,"Path to Doctor, hospital","C00135,C00637,C00664",SK0015
LP143,Path to Air cabin crew,"C00438,C00766,C00186,C00352,C00299,C00541,C00629,C00726",SK0278
LP144,Path to Animal nutritionist,"C00788,C00242,C00520,C00532,C00612",SK0265
LP145,Path to Marketing executive,"C00216,C00753,C00643,C00269,C00392,C00221,C00834",SK0228
LP146,"Path to Journalist, magazine","C00442,C00636,C00138,C00485,C00770",SK0202
LP147,Path to Publishing copy,"C00143,C00914,C00627,C00567,C00146,C00862",SK0046
LP148,"Path to Psychologist, sport and exercise","C00106,C00595,C00855,C00957,C00294,C00306,C00786",SK0237
LP149,"Path to Sound technician, broadcasting/film/video","C00007,C00668,C00122,C00524,C00854,C00309,C00282,C00826,C00513",SK0043
LP150,Path to Glass blower/designer,"C00522,C00406,C00066,C00371",SK0209
LP151,Path to Sports therapist,"C00313,C00981,C00741,C00252,C00206,C00584",SK0238
LP152,"Path to Producer, television/film/video","C00676,C00717,C00258,C00679",SK0079
LP153,Path to Control and instrumentation engineer,"C00332,C00188,C00172,C00929,C00446,C00796,C00361,C00065",SK0031
LP154,"Path to Solicitor, Scotland","C00855,C00660,C00684,C00241,C00902,C00054,C00825,C00920",SK0234
LP155,"Path to Editor, film/video","C00198,C00471,C00853",SK0064
LP156,"Path to Therapist, art","C00030,C00079,C00354,C00158,C00993,C00605,C00854,C00542,C00521",SK0042
LP157,"Path to Therapist, speech and language","C00417,C00284,C00318,C00229,C00377,C00112,C00360",SK0064
LP158,"Path to Programmer, multimedia","C00052,C00925,C00949",SK0116
LP159,"Path to Surveyor, rural practice","C00057,C00280,C00343",SK0008
LP160,"Path to Presenter, broadcasting","C00064,C00371,C00687,C00031,C00136,C00898,C00978,C00300",SK0048
LP161,"Path to Scientist, research (physical sciences)","C00724,C00420,C00071,C00563,C00643,C00032,C00601,C00626",SK0288
LP162,"Path to Social research officer, government","C00897,C00489,C00904,C00436,C00963",SK0047
LP163,Path to Insurance claims handler,"C00558,C00691,C00738,C00470,C00867",SK0040
LP164,"Path to Loss adjuster, chartered","C00645,C00834,C00449,C00657,C00509,C00355,C00631",SK0031
LP165,Path to Race relations officer,"C00253,C00181,C00997,C00239,C00750,C00537,C00470,C00657,C00666",SK0053
LP166,"Path to Solicitor, Scotland","C00312,C00996,C00448,C00497,C00980,C00706,C00318",SK0180
LP167,Path to Ergonomist,"C00008,C00253,C00983,C00384,C00903",SK0254
LP168,Path to Chartered public finance accountant,"C00528,C00591,C00655,C00616,C00426,C00478,C00982,C00773",SK0089
LP169,Path to Private music teacher,"C00609,C00843,C00616,C00566,C00781,C00783",SK0278
LP170,Path to Insurance account manager,"C00841,C00932,C00910,C00565,C00391,C00955,C00966",SK0182
LP171,Path to Medical secretary,"C00965,C00801,C00808,C00352,C00679,C00658",SK0083
LP172,Path to Passenger transport manager,"C00346,C00366,C00692,C00829",SK0099
LP173,Path to Gaffer,"C00146,C00262,C00775,C00580,C00665,C00851,C00503,C00547,C00549",SK0106
LP174,"Path to Designer, furniture","C00732,C00115,C00897",SK0259
LP175,Path to Immunologist,"C00692,C00863,C00571",SK0076
LP176,Path to Administrator,"C00649,C00739,C00004,C00289,C00042,C00673",SK0177
LP177,Path to Academic librarian,"C00258,C00387,C00161,C00337",SK0231
LP178,"Path to Scientist, research (medical)","C00652,C00940,C00598,C00907",SK0101
LP179,Path to Copy,"C00113,C00638,C00765",SK0054
LP180,Path to Local government officer,"C00003,C00788,C00362,C00478,C00384,C00417,C00772",SK0168
LP181,Path to Historic buildings inspector/conservation officer,"C00679,C00581,C00246,C00755,C00039,C00713",SK0213
LP182,"Path to Psychotherapist, child","C00800,C00131,C00088,C00040,C00964,C00510,C00050",SK0277
LP183,Path to Social researcher,"C00068,C00499,C00216,C00013,C00055",SK0032
LP184,Path to Actuary,"C00265,C00425,C00287,C00908,C00471,C00858,C00538,C00391,C00101",SK0068
LP185,Path to Regulatory affairs officer,"C00438,C00148,C00307,C00386,C00767,C00534,C00054,C00543,C00645",SK0135
LP186,Path to Publishing rights manager,"C00679,C00733,C00522,C00171,C00205,C00549,C00120,C00523,C00370",SK0042
LP187,Path to Hydrographic surveyor,"C00085,C00128,C00668,C00358,C00295,C00222,C00697,C00284,C00789",SK0064
LP188,Path to Acupuncturist,"C00862,C00870,C00763,C00441",SK0020
LP189,Path to Planning and development surveyor,"C00489,C00067,C00152,C00707,C00548",SK0163
LP190,"Path to Horticulturist, commercial","C00239,C00962,C00311,C00699,C00642,C00630,C00246,C00693",SK0236
LP191,"Path to Therapist, speech and language","C00524,C00782,C00291,C00949,C00737,C00134,C00024,C00974,C00635",SK0006
LP192,Path to Exercise physiologist,"C00515,C00286,C00303",SK0043
LP193,Path to Actor,"C00237,C00519,C00472,C00899,C00742,C00729",SK0288
LP194,Path to Sports therapist,"C00618,C00447,C00875,C00793,C00013,C00360",SK0033
LP195,Path to Midwife,"C00637,C00913,C00990,C00138,C00551,C00558",SK0118
LP196,Path to Energy engineer,"C00395,C00278,C00124,C00684,C00294",SK0105
LP197,Path to Paramedic,"C00079,C00755,C00248,C00420,C00656,C00297,C00936,C00917",SK0040
LP198,"Path to Surveyor, mining","C00219,C00529,C00804,C00952,C00027,C00815,C00276,C00290,C00838",SK0278
LP199,Path to Press sub,"C00132,C00656,C00032,C00783,C00057",SK0222
LP200,Path to Nutritional therapist,"C00123,C00858,C00340,C00531",SK0161
LP201,Path to Fisheries officer,"C00564,C00945,C00402,C00752,C00281",SK0057
LP202,"Path to Development worker, community","C00781,C00965,C00682,C00292,C00403,C00690,C00745,C00983,C00657",SK0165
LP203,Path to Newspaper journalist,"C00816,C00389,C00279,C00119,C00067,C00983",SK0042
LP204,Path to Multimedia specialist,"C00380,C00116,C00147,C00048,C00949",SK0268
LP205,Path to English as a second language teacher,"C00236,C00013,C00258,C00326,C00861,C00747",SK0067
LP206,Path to General practice doctor,"C00889,C00220,C00925,C00747,C00942,C00573,C00987,C00883",SK0160
LP207,Path to Cartographer,"C00501,C00989,C00915,C00496,C00212",SK0146
LP208,"Path to Pharmacist, hospital","C00130,C00022,C00876,C00289,C00346,C00680,C00173,C00546,C00532",SK0059
LP209,Path to Film/video editor,"C00414,C00242,C00579,C00386,C00541,C00669,C00547",SK0193
LP210,"Path to Scientist, forensic","C00107,C00675,C00643,C00641,C00578,C00897,C00870,C00200,C00806",SK0119
LP211,Path to Video editor,"C00843,C00329,C00085,C00711,C00617,C01000,C00659",SK0055
LP212,Path to Glass blower/designer,"C00172,C00623,C00355,C00350",SK0240
LP213,Path to Higher education careers adviser,"C00064,C00012,C00091,C00917,C00336,C00937",SK0207
LP214,Path to Ship broker,"C00960,C00117,C00818,C00250,C00287,C00740,C00231,C00792,C00562",SK0145
LP215,Path to Geophysical data processor,"C00708,C00997,C00701,C00598",SK0270
LP216,Path to Passenger transport manager,"C00725,C00476,C00839,C00400,C00649,C00426,C00030",SK0160
LP217,Path to Emergency planning/management officer,"C00396,C00446,C00593,C00565,C00089,C00585,C00554",SK0053
LP218,Path to Broadcast presenter,"C00968,C00773,C00526,C00804",SK0274
LP219,"Path to Education officer, environmental","C00731,C00129,C00919,C00722,C00284,C00453,C00912,C00938",SK0145
LP220,Path to Copy,"C00606,C00404,C00171,C00359,C00543",SK0289
LP221,Path to Horticultural consultant,"C00850,C00840,C00060,C00802,C00264,C00758,C00107,C00767",SK0210
LP222,Path to Clinical psychologist,"C00750,C00679,C00356,C00460,C00218,C00116,C00124,C00636",SK0050
LP223,"Path to Programmer, applications","C00585,C00711,C00294,C00606,C00821,C00624,C00190",SK0150
LP224,Path to Waste management officer,"C00078,C00123,C00745",SK0168
LP225,Path to Production manager,"C00384,C00564,C00038,C00744,C00419",SK0145
LP226,Path to Glass blower/designer,"C00229,C00213,C00981,C00649,C00701,C00033,C00843,C00248,C00019",SK0119
LP227,Path to Writer,"C00670,C00307,C00867,C00802,C00481,C00367",SK0098
LP228,Path to Regulatory affairs officer,"C00106,C00718,C00541,C00516,C00403,C00818",SK0217
LP229,Path to Emergency planning/management officer,"C00290,C00297,C00859,C00113,C00658,C00769,C00629,C00580,C00201",SK0193
LP230,Path to IT sales professional,"C00992,C00273,C00369,C00462,C00281,C00957,C00837,C00217",SK0001
LP231,Path to Advertising account executive,"C00525,C00993,C00697,C00893,C00195,C00294,C00102,C00337,C00768",SK0291
LP232,"Path to Designer, blown glass/stained glass","C00312,C00123,C00231,C00383",SK0035
LP233,Path to Artist,"C00081,C00404,C00146,C00915,C00692",SK0191
LP234,Path to Social researcher,"C00103,C00436,C00155,C00493,C00266,C00056,C00677,C00804",SK0181
LP235,Path to Advertising copywriter,"C00018,C00311,C00956,C00613,C00052,C00512,C00347,C00213,C00958",SK0251
LP236,Path to Electronics engineer,"C00640,C00597,C00099,C00974,C00196,C00092,C00625,C00367",SK0248
LP237,"Path to Civil engineer, consulting","C00563,C00391,C00025",SK0258
LP238,Path to Herbalist,"C00096,C00149,C00174,C00205,C00438,C00974",SK0043
LP239,Path to Geophysical data processor,"C00922,C00762,C00794,C00787",SK0005
LP240,Path to Comptroller,"C00531,C00283,C00745,C00222",SK0131
LP241,Path to Primary school teacher,"C00560,C00392,C00694",SK0161
LP242,Path to Actuary,"C00467,C00853,C00352,C00550,C00505,C00459",SK0297
LP243,"Path to Exhibitions officer, museum/gallery","C00211,C00503,C00877",SK0116
LP244,Path to Chemical engineer,"C00590,C00921,C00225,C00073,C00237,C00901",SK0026
LP245,Path to Dentist,"C00269,C00185,C00570,C00290,C00998,C00321,C00427",SK0249
LP246,"Path to Administrator, local government","C00657,C00628,C00963,C00328,C00422,C00459,C00339",SK0178
LP247,"Path to Research officer, political party","C00716,C00980,C00471",SK0128
LP248,"Path to Engineer, water","C00117,C00604,C00596,C00392,C00273,C00787,C00394",SK0204
LP249,"Path to Lighting technician, broadcasting/film/video","C00804,C00127,C00391,C00012,C00245,C00344",SK0137
LP250,Path to Petroleum engineer,"C00491,C00814,C00605,C00616,C00571,C00082",SK0209
LP251,Path to Insurance underwriter,"C00056,C00956,C00508,C00513,C00488,C00999,C00817,C00343,C00102",SK0297
LP252,Path to Research scientist (physical sciences),"C00917,C00931,C00379,C00816,C00030,C00692",SK0205
LP253,Path to Meteorologist,"C00664,C00211,C00833",SK0298
LP254,"Path to Psychologist, educational","C00767,C00732,C00511,C00906,C00898,C00122,C00407,C00827,C00398",SK0166
LP255,Path to Ambulance person,"C00143,C00639,C00699,C00545,C00326,C00004,C00986",SK0297
LP256,Path to Lawyer,"C00491,C00108,C00581,C00617,C00038,C00191,C00020,C00178,C00613",SK0212
LP257,Path to Catering manager,"C00756,C00517,C00948,C00141,C00748,C00136,C00701,C00611",SK0154
LP258,Path to Dancer,"C00262,C00950,C00974,C00430,C00685,C00521,C00540",SK0292
LP259,Path to Banker,"C00779,C00300,C00915,C00997,C00462",SK0291
LP260,Path to Geographical information systems officer,"C00358,C00548,C00049,C00182",SK0103
LP261,"Path to Nurse, children's","C00794,C00239,C00970,C00822,C00018,C00298,C00890",SK0266
LP262,Path to Building surveyor,"C00703,C00042,C00811,C00259,C00913",SK0244
LP263,Path to Speech and language therapist,"C00993,C00531,C00049,C00899,C00608,C00365,C00232,C00122",SK0139
LP264,"Path to Psychotherapist, dance movement","C00909,C00131,C00190,C00130,C00377,C00813",SK0089
LP265,"Path to Education officer, community","C00875,C00038,C00563,C00650,C00237,C00289,C00170,C00904",SK0177
LP266,"Path to Engineer, agricultural","C00098,C00948,C00301,C00232,C00786,C00580,C00420,C00511",SK0184
LP267,Path to Fitness centre manager,"C00290,C00785,C00110,C00702,C00808",SK0012
LP268,Path to Museum/gallery curator,"C00859,C00576,C00300,C00474,C00035,C00624",SK0111
LP269,"Path to Administrator, charities/voluntary organisations","C00267,C00220,C00971,C00727,C00522,C00421,C00817,C00306,C00049",SK0236
LP270,Path to Community development worker,"C00631,C00151,C00530,C00250",SK0239
LP271,Path to Fish farm manager,"C00968,C00859,C00803,C00347,C00651",SK0197
LP272,Path to Musician,"C00783,C00521,C00593,C00089,C00798",SK0147
LP273,Path to Probation officer,"C00280,C00454,C00350,C00385,C00242,C00668",SK0256
LP274,Path to Firefighter,"C00771,C00575,C00056,C00275,C00936",SK0194
LP275,Path to Analytical chemist,"C00092,C00422,C00044,C00269,C00670",SK0050
LP276,"Path to Engineer, civil (contracting)","C00932,C00112,C00761,C00353,C00498,C00421,C00605,C00099",SK0247
LP277,Path to Psychiatrist,"C00652,C00590,C00615,C00357,C00381,C00774",SK0283
LP278,Path to Chief Marketing Officer,"C00966,C00076,C00203,C00513,C00745,C00998",SK0013
LP279,"Path to Scientist, research (life sciences)","C00485,C00266,C00023,C00051,C00459,C00150,C00662,C00502",SK0220
LP280,"Path to Engineer, manufacturing","C00917,C00499,C00570,C00234,C00747",SK0010
LP281,Path to Public librarian,"C00338,C00506,C00063,C00637,C00004,C00374",SK0089
LP282,Path to Neurosurgeon,"C00707,C00504,C00672,C00671,C00516,C00017,C00644,C00539,C00419",SK0237
LP283,Path to Insurance underwriter,"C00733,C00295,C00143,C00152,C00155,C00870,C00150,C00536",SK0064
LP284,Path to IT trainer,"C00918,C00970,C00875",SK0260
LP285,"Path to Designer, interior/spatial","C00292,C00920,C00037,C00003,C00041,C00694",SK0051
LP286,Path to Archivist,"C00617,C00171,C00867,C00616,C00945",SK0064
LP287,Path to Stage manager,"C00456,C00101,C00424",SK0139
LP288,"Path to Scientist, research (life sciences)","C00340,C00473,C00764,C00445,C00211,C00846,C00118,C00826,C00128",SK0136
LP289,Path to Community education officer,"C00286,C00725,C00970,C00109,C00128,C00894",SK0087
LP290,Path to Forensic scientist,"C00935,C00990,C00485,C00859,C00638",SK0195
LP291,Path to Quarry manager,"C00985,C00335,C00365,C00339",SK0242
LP292,Path to Hydrogeologist,"C00262,C00461,C00884,C00239,C00448,C00402,C00354,C00656,C00557",SK0196
LP293,"Path to Engineer, civil (contracting)","C00365,C00674,C00632,C00654,C00438,C00264",SK0168
LP294,Path to Media planner,"C00696,C00553,C00841,C00026,C00766",SK0017
LP295,Path to Associate Professor,"C00554,C00217,C00281,C00396,C00335,C00189,C00049",SK0039
LP296,Path to Engineering geologist,"C00076,C00514,C00720,C00057",SK0234
LP297,"Path to Clinical scientist, histocompatibility and immunogenetics","C00926,C00452,C00581,C00646",SK0001
LP298,Path to Fashion designer,"C00529,C00472,C00290,C00040,C00603,C00756,C00879,C00853",SK0279
LP299,Path to Politician's assistant,"C00084,C00805,C00090,C00986",SK0094
LP300,"Path to Journalist, broadcasting","C00026,C00484,C00592,C00950,C00748,C00672",SK0219
LP301,"Path to Administrator, local government","C00450,C00207,C00517,C00875",SK0203
LP302,Path to Diplomatic Services operational officer,"C00506,C00802,C00181,C00278",SK0256
LP303,Path to Health and safety adviser,"C00355,C00681,C00796,C00514,C00382,C00328,C00056,C00334",SK0271
LP304,Path to Television/film/video producer,"C00577,C00113,C00700,C00313,C00759",SK0045
