employee_id,exit_date,reason,type
EMP04718,2026-04-20,Better Offer,Voluntary
EMP09843,2023-09-05,Better Offer,Voluntary
EMP02012,2025-02-03,Performance,Voluntary
EMP03300,2026-01-02,Performance,Involuntary
EMP04622,2024-04-16,Career Change,Voluntary
EMP03498,2025-12-15,Career Change,Voluntary
EMP01180,2025-07-02,Performance,Voluntary
EMP02011,2026-04-03,Career Change,Voluntary
EMP08960,2024-04-26,Career Change,Voluntary
EMP01924,2026-02-26,Performance,Voluntary
EMP06767,2024-08-22,Personal,Involuntary
EMP07122,2025-11-12,Better Offer,Voluntary
EMP07782,2025-10-16,Personal,Involuntary
EMP04598,2026-06-24,Personal,Voluntary
EMP07997,2025-02-06,Relocation,Voluntary
EMP08279,2025-08-26,Performance,Involuntary
EMP08345,2025-03-21,Personal,Voluntary
EMP03720,2025-01-16,Career Change,Voluntary
EMP05008,2025-11-30,Performance,Voluntary
EMP03224,2024-08-26,Relocation,Voluntary
EMP03374,2026-03-14,Performance,Voluntary
EMP00589,2024-04-28,Better Offer,Voluntary
EMP02540,2024-06-24,Career Change,Voluntary
EMP04586,2025-06-22,Performance,Voluntary
EMP00968,2024-09-15,Performance,Involuntary
EMP04639,2025-11-16,Personal,Voluntary
EMP03742,2024-03-13,Career Change,Involuntary
EMP08911,2024-03-05,Career Change,Voluntary
EMP09481,2025-06-05,Better Offer,Voluntary
EMP04075,2025-12-03,Career Change,Involuntary
EMP02365,2024-12-22,Relocation,Voluntary
EMP09815,2023-09-05,Relocation,Voluntary
EMP05508,2026-07-09,Better Offer,Voluntary
EMP02481,2025-08-08,Personal,Voluntary
EMP04491,2024-12-12,Relocation,Voluntary
EMP06602,2024-08-09,Personal,Voluntary
EMP02199,2025-03-14,Career Change,Voluntary
EMP04083,2025-09-19,Personal,Voluntary
EMP03076,2025-02-19,Performance,Involuntary
EMP04468,2024-08-20,Relocation,Voluntary
EMP08216,2025-08-13,Career Change,Voluntary
EMP01906,2023-12-30,Personal,Voluntary
EMP06566,2026-07-08,Career Change,Voluntary
EMP00849,2023-12-12,Relocation,Voluntary
EMP01626,2025-05-26,Better Offer,Voluntary
EMP01713,2023-10-23,Career Change,Voluntary
EMP05220,2025-07-22,Personal,Voluntary
EMP05844,2024-06-05,Relocation,Voluntary
EMP09034,2026-02-04,Better Offer,Voluntary
EMP09005,2026-07-10,Career Change,Involuntary
EMP01423,2024-09-20,Performance,Voluntary
EMP08625,2026-04-29,Better Offer,Voluntary
EMP02653,2024-08-22,Career Change,Voluntary
EMP05818,2024-02-10,Personal,Voluntary
EMP00952,2024-05-29,Relocation,Involuntary
EMP09052,2026-06-13,Career Change,Voluntary
EMP07955,2026-04-21,Performance,Voluntary
EMP02151,2024-06-23,Personal,Voluntary
EMP09586,2024-05-15,Better Offer,Voluntary
EMP08660,2025-09-06,Relocation,Involuntary
EMP03540,2024-03-09,Performance,Voluntary
EMP04197,2026-07-13,Relocation,Voluntary
EMP03994,2026-05-28,Relocation,Voluntary
EMP06271,2024-08-10,Performance,Involuntary
EMP01782,2024-09-09,Personal,Voluntary
EMP01905,2024-02-10,Better Offer,Voluntary
EMP01131,2025-08-17,Relocation,Voluntary
EMP04242,2024-09-23,Better Offer,Voluntary
EMP04122,2026-05-11,Relocation,Involuntary
EMP04788,2025-02-28,Career Change,Voluntary
EMP02059,2024-07-14,Relocation,Voluntary
EMP04285,2025-05-30,Better Offer,Voluntary
EMP06428,2026-02-10,Career Change,Voluntary
EMP07036,2024-12-04,Better Offer,Involuntary
EMP00096,2025-06-20,Career Change,Voluntary
EMP02788,2025-12-24,Personal,Involuntary
EMP05839,2025-09-08,Performance,Involuntary
EMP05268,2025-02-03,Better Offer,Voluntary
EMP09551,2025-07-17,Personal,Involuntary
EMP00609,2025-06-08,Personal,Voluntary
EMP06351,2023-09-13,Career Change,Voluntary
EMP01191,2025-12-06,Performance,Involuntary
EMP06074,2023-11-01,Performance,Voluntary
EMP07672,2024-01-27,Career Change,Voluntary
EMP05000,2023-09-17,Better Offer,Voluntary
EMP07869,2025-06-04,Personal,Involuntary
EMP08343,2024-02-04,Relocation,Voluntary
EMP03361,2024-01-01,Better Offer,Involuntary
EMP04526,2025-12-19,Career Change,Voluntary
EMP04307,2025-06-22,Performance,Voluntary
EMP04483,2024-07-17,Personal,Voluntary
EMP03523,2026-04-27,Personal,Voluntary
EMP04443,2025-03-10,Better Offer,Voluntary
EMP08754,2024-07-13,Performance,Voluntary
EMP00525,2025-09-02,Personal,Voluntary
EMP06014,2023-09-17,Performance,Voluntary
EMP00847,2024-11-19,Relocation,Voluntary
EMP05178,2026-04-10,Performance,Voluntary
EMP07430,2025-06-08,Career Change,Voluntary
EMP07956,2026-07-09,Personal,Voluntary
EMP08160,2026-04-05,Better Offer,Voluntary
EMP04579,2024-05-30,Better Offer,Voluntary
EMP01265,2025-02-20,Performance,Voluntary
EMP02139,2024-08-04,Better Offer,Voluntary
EMP06326,2025-11-27,Career Change,Voluntary
EMP05745,2025-12-23,Career Change,Voluntary
EMP04366,2024-01-30,Relocation,Involuntary
EMP02059,2024-07-13,Personal,Voluntary
EMP05794,2023-10-05,Better Offer,Voluntary
EMP02942,2024-04-18,Relocation,Voluntary
EMP09799,2024-03-24,Relocation,Voluntary
EMP06260,2025-06-04,Performance,Voluntary
EMP01032,2024-06-20,Performance,Voluntary
EMP08804,2025-08-09,Relocation,Voluntary
EMP01944,2025-01-07,Personal,Voluntary
EMP06568,2023-10-19,Career Change,Voluntary
EMP09937,2026-01-22,Better Offer,Voluntary
EMP08226,2023-09-09,Relocation,Voluntary
EMP03982,2025-05-31,Performance,Voluntary
EMP04866,2024-09-18,Personal,Involuntary
EMP02560,2024-10-11,Career Change,Voluntary
EMP01684,2023-11-17,Relocation,Involuntary
EMP05354,2025-07-04,Performance,Voluntary
EMP06602,2024-05-25,Career Change,Voluntary
EMP00617,2023-08-09,Personal,Voluntary
EMP02346,2023-10-08,Personal,Voluntary
EMP08004,2025-11-15,Personal,Involuntary
EMP02963,2026-05-16,Relocation,Voluntary
EMP06086,2026-04-30,Personal,Voluntary
EMP02452,2025-09-18,Better Offer,Voluntary
EMP07849,2025-01-05,Better Offer,Involuntary
EMP02356,2025-11-05,Career Change,Voluntary
EMP05022,2024-01-16,Personal,Involuntary
EMP01673,2023-10-03,Career Change,Involuntary
EMP09561,2024-08-25,Personal,Voluntary
EMP04876,2026-03-17,Better Offer,Voluntary
EMP00360,2025-06-02,Personal,Voluntary
EMP01120,2023-09-25,Performance,Voluntary
EMP04126,2026-07-20,Career Change,Voluntary
EMP05155,2025-12-02,Performance,Involuntary
EMP04373,2023-11-07,Better Offer,Involuntary
EMP08131,2025-10-12,Relocation,Voluntary
EMP05885,2026-03-15,Relocation,Voluntary
EMP02318,2025-05-03,Relocation,Involuntary
EMP09132,2025-09-16,Personal,Voluntary
EMP07319,2025-12-20,Relocation,Involuntary
EMP03861,2023-08-31,Career Change,Voluntary
EMP05585,2024-05-03,Relocation,Involuntary
EMP08633,2024-10-24,Performance,Voluntary
EMP06720,2024-05-09,Better Offer,Voluntary
EMP04789,2025-10-16,Career Change,Voluntary
EMP08651,2024-01-09,Performance,Voluntary
EMP05498,2026-06-02,Relocation,Voluntary
EMP04863,2025-06-04,Better Offer,Voluntary
EMP04369,2024-03-10,Personal,Voluntary
EMP00934,2025-08-20,Better Offer,Involuntary
EMP07505,2025-11-10,Relocation,Involuntary
EMP09732,2025-12-12,Performance,Voluntary
EMP06981,2025-05-05,Better Offer,Voluntary
EMP08435,2026-06-05,Career Change,Voluntary
EMP08621,2024-12-29,Personal,Voluntary
EMP01916,2023-12-19,Relocation,Involuntary
EMP08783,2024-10-12,Career Change,Involuntary
EMP01314,2025-02-22,Career Change,Voluntary
EMP02995,2025-07-11,Personal,Voluntary
EMP09548,2026-03-22,Relocation,Involuntary
EMP00695,2026-05-10,Personal,Involuntary
EMP03296,2024-12-24,Relocation,Voluntary
EMP05651,2024-03-12,Personal,Voluntary
EMP09508,2024-08-14,Relocation,Voluntary
EMP04871,2023-12-31,Relocation,Voluntary
EMP02452,2026-06-13,Better Offer,Voluntary
EMP02748,2026-04-19,Career Change,Involuntary
EMP09791,2024-06-29,Career Change,Voluntary
EMP04899,2024-09-04,Relocation,Voluntary
EMP08020,2025-10-23,Career Change,Voluntary
EMP08448,2025-02-28,Relocation,Voluntary
EMP06111,2026-01-22,Personal,Voluntary
EMP08054,2025-02-14,Performance,Voluntary
EMP09232,2024-08-21,Better Offer,Voluntary
EMP08823,2026-05-18,Personal,Voluntary
EMP00749,2024-03-02,Performance,Voluntary
EMP09713,2024-08-07,Better Offer,Involuntary
EMP03753,2026-01-30,Performance,Involuntary
EMP02727,2023-11-20,Career Change,Voluntary
EMP06668,2026-06-17,Better Offer,Involuntary
EMP03750,2026-05-12,Relocation,Voluntary
EMP03067,2024-03-24,Better Offer,Involuntary
EMP03493,2025-12-19,Better Offer,Voluntary
EMP01721,2023-12-08,Personal,Voluntary
EMP01042,2025-05-16,Relocation,Voluntary
EMP03571,2024-05-03,Better Offer,Involuntary
EMP09193,2023-11-03,Career Change,Voluntary
EMP01546,2025-08-09,Relocation,Voluntary
EMP06095,2025-01-21,Relocation,Voluntary
EMP08533,2024-11-06,Relocation,Voluntary
EMP03926,2026-07-10,Performance,Voluntary
EMP02035,2024-06-02,Personal,Voluntary
EMP07427,2024-04-30,Relocation,Voluntary
EMP05572,2025-04-08,Relocation,Voluntary
EMP05238,2023-11-28,Better Offer,Voluntary
EMP02819,2024-01-13,Personal,Involuntary
EMP03665,2025-08-15,Performance,Voluntary
EMP05250,2025-11-27,Relocation,Involuntary
EMP03634,2025-09-27,Career Change,Voluntary
EMP07061,2024-07-31,Relocation,Voluntary
EMP01963,2025-10-24,Better Offer,Voluntary
EMP07940,2023-08-08,Personal,Voluntary
EMP02785,2024-07-10,Better Offer,Voluntary
EMP08993,2025-02-16,Better Offer,Voluntary
EMP02736,2025-10-20,Career Change,Voluntary
EMP00516,2024-07-04,Career Change,Voluntary
EMP03825,2026-05-02,Relocation,Involuntary
EMP06950,2025-12-14,Performance,Voluntary
EMP05120,2023-10-18,Better Offer,Voluntary
EMP02369,2025-09-03,Better Offer,Voluntary
EMP04896,2025-01-12,Relocation,Voluntary
EMP01238,2024-10-14,Personal,Voluntary
EMP01344,2026-01-19,Performance,Voluntary
EMP07344,2026-06-10,Better Offer,Voluntary
EMP09936,2025-10-26,Personal,Voluntary
EMP02542,2024-08-05,Personal,Voluntary
EMP03812,2025-12-15,Better Offer,Voluntary
EMP01378,2025-11-07,Better Offer,Voluntary
EMP02514,2024-08-05,Personal,Voluntary
EMP07676,2025-12-07,Personal,Voluntary
EMP06119,2025-05-21,Career Change,Involuntary
EMP01985,2024-05-16,Personal,Voluntary
EMP05601,2024-01-24,Performance,Voluntary
EMP05123,2026-05-14,Relocation,Voluntary
EMP04120,2024-07-26,Personal,Involuntary
EMP07002,2024-12-20,Career Change,Voluntary
EMP07963,2025-10-26,Relocation,Voluntary
EMP08649,2025-07-20,Better Offer,Voluntary
EMP01404,2024-09-14,Personal,Involuntary
EMP06254,2025-08-18,Performance,Voluntary
EMP09299,2026-04-06,Career Change,Involuntary
EMP07627,2023-12-22,Better Offer,Voluntary
EMP02392,2026-02-08,Performance,Voluntary
EMP03428,2026-04-02,Career Change,Involuntary
EMP09246,2026-06-23,Better Offer,Voluntary
EMP08269,2025-02-20,Performance,Voluntary
EMP09763,2023-12-06,Personal,Voluntary
EMP09099,2024-03-20,Personal,Voluntary
EMP03891,2024-07-31,Career Change,Voluntary
EMP08751,2024-12-18,Personal,Voluntary
EMP07137,2025-12-19,Better Offer,Voluntary
EMP02588,2025-09-14,Career Change,Involuntary
EMP07677,2024-03-26,Better Offer,Voluntary
EMP01392,2023-11-22,Performance,Voluntary
EMP04972,2023-12-02,Performance,Voluntary
EMP08637,2024-06-03,Personal,Voluntary
EMP07377,2026-05-11,Relocation,Involuntary
EMP08966,2024-08-12,Career Change,Voluntary
EMP09998,2025-04-08,Better Offer,Voluntary
EMP00694,2025-01-04,Performance,Voluntary
EMP08315,2024-12-08,Career Change,Voluntary
EMP06044,2025-02-21,Relocation,Voluntary
EMP03895,2023-08-31,Relocation,Involuntary
EMP02536,2025-05-25,Better Offer,Voluntary
EMP07083,2025-05-21,Relocation,Voluntary
EMP07491,2026-08-04,Performance,Voluntary
EMP08747,2025-05-18,Personal,Voluntary
EMP01114,2023-08-20,Performance,Voluntary
EMP03605,2024-04-13,Career Change,Voluntary
EMP02857,2026-05-22,Better Offer,Voluntary
EMP09709,2024-09-12,Personal,Voluntary
EMP09092,2023-08-23,Career Change,Voluntary
EMP03016,2023-08-05,Personal,Voluntary
EMP05963,2024-03-04,Relocation,Voluntary
EMP01860,2024-09-07,Career Change,Voluntary
EMP09095,2024-07-13,Personal,Involuntary
EMP00974,2025-09-25,Better Offer,Voluntary
EMP05288,2024-11-17,Performance,Voluntary
EMP03511,2024-07-04,Personal,Involuntary
EMP07526,2026-03-26,Relocation,Involuntary
EMP02316,2025-03-18,Career Change,Voluntary
EMP07189,2026-05-26,Performance,Voluntary
EMP03379,2024-08-05,Relocation,Voluntary
EMP08055,2024-05-01,Relocation,Voluntary
EMP00984,2023-11-28,Relocation,Voluntary
EMP01836,2025-04-25,Career Change,Voluntary
EMP05670,2025-01-25,Career Change,Involuntary
EMP08181,2025-12-10,Performance,Voluntary
EMP08226,2024-02-09,Career Change,Voluntary
EMP01323,2025-07-02,Better Offer,Voluntary
EMP03924,2023-09-19,Personal,Voluntary
EMP00153,2023-09-11,Personal,Voluntary
EMP00450,2025-04-14,Better Offer,Voluntary
EMP09189,2025-07-15,Better Offer,Voluntary
EMP04130,2025-07-01,Personal,Involuntary
EMP03587,2024-03-03,Performance,Voluntary
EMP08503,2025-04-25,Better Offer,Voluntary
EMP03036,2025-07-30,Career Change,Voluntary
EMP01384,2024-11-24,Career Change,Voluntary
EMP08694,2024-02-17,Personal,Voluntary
EMP09883,2024-07-03,Performance,Voluntary
EMP08584,2026-01-17,Personal,Voluntary
EMP09205,2025-11-17,Performance,Involuntary
EMP07562,2023-10-04,Relocation,Voluntary
EMP01969,2025-01-09,Personal,Voluntary
EMP09025,2023-11-30,Performance,Voluntary
EMP04318,2025-08-31,Better Offer,Involuntary
EMP06711,2026-03-12,Performance,Voluntary
EMP08528,2024-04-17,Better Offer,Voluntary
EMP03510,2024-04-30,Better Offer,Voluntary
EMP07302,2024-01-22,Career Change,Voluntary
EMP07097,2024-12-09,Personal,Voluntary
EMP09563,2025-10-24,Career Change,Involuntary
EMP01296,2024-09-10,Performance,Voluntary
EMP09274,2024-02-08,Performance,Voluntary
EMP03048,2025-03-18,Better Offer,Voluntary
EMP09261,2026-02-27,Career Change,Involuntary
EMP09098,2026-03-09,Performance,Voluntary
EMP05793,2023-09-21,Relocation,Voluntary
EMP00039,2023-10-14,Better Offer,Voluntary
EMP07277,2026-04-22,Performance,Voluntary
EMP04055,2026-07-07,Better Offer,Voluntary
EMP09353,2025-11-15,Personal,Voluntary
EMP06266,2023-09-18,Relocation,Voluntary
EMP09730,2024-05-06,Personal,Voluntary
EMP09663,2025-03-19,Personal,Voluntary
EMP08187,2023-12-13,Relocation,Voluntary
EMP00435,2024-01-12,Personal,Voluntary
EMP08450,2023-10-29,Better Offer,Voluntary
EMP01553,2025-10-27,Career Change,Involuntary
EMP06036,2026-05-27,Performance,Voluntary
EMP03098,2023-10-03,Better Offer,Voluntary
EMP04098,2025-12-03,Relocation,Voluntary
EMP01359,2024-07-03,Career Change,Involuntary
EMP04801,2025-07-31,Career Change,Voluntary
EMP09493,2023-11-26,Better Offer,Voluntary
EMP02072,2026-01-25,Personal,Voluntary
EMP03106,2024-01-15,Personal,Involuntary
EMP05220,2026-02-27,Performance,Voluntary
EMP05492,2025-05-18,Performance,Voluntary
EMP05974,2024-07-19,Performance,Involuntary
EMP05438,2023-12-13,Career Change,Voluntary
EMP02504,2025-02-27,Career Change,Voluntary
EMP09997,2025-10-20,Performance,Involuntary
EMP04852,2025-09-20,Relocation,Involuntary
EMP06981,2024-12-08,Relocation,Involuntary
EMP06303,2024-02-03,Personal,Voluntary
EMP01548,2024-09-26,Better Offer,Voluntary
EMP08978,2024-03-07,Personal,Voluntary
EMP00205,2024-06-05,Personal,Voluntary
EMP08187,2024-06-17,Personal,Involuntary
EMP09682,2024-06-17,Performance,Voluntary
EMP07914,2026-07-24,Better Offer,Involuntary
EMP02891,2026-07-25,Career Change,Involuntary
EMP03432,2024-07-29,Personal,Voluntary
EMP09236,2024-07-19,Personal,Voluntary
EMP02969,2024-04-22,Career Change,Voluntary
EMP09297,2026-05-13,Career Change,Voluntary
EMP08030,2025-07-04,Better Offer,Involuntary
EMP08569,2025-06-15,Better Offer,Involuntary
EMP02819,2023-09-14,Relocation,Voluntary
EMP00783,2024-04-03,Personal,Voluntary
EMP00472,2025-06-11,Better Offer,Voluntary
EMP01596,2024-12-10,Relocation,Involuntary
EMP03878,2023-10-25,Better Offer,Involuntary
EMP03839,2024-07-29,Personal,Voluntary
EMP06018,2026-02-11,Performance,Involuntary
EMP05185,2023-09-03,Better Offer,Involuntary
EMP08925,2025-04-13,Better Offer,Voluntary
EMP06848,2024-06-29,Performance,Voluntary
EMP01896,2023-10-16,Relocation,Voluntary
EMP04995,2025-05-14,Performance,Voluntary
EMP09200,2025-04-30,Performance,Voluntary
EMP06050,2025-08-27,Better Offer,Involuntary
EMP07539,2024-10-23,Relocation,Voluntary
EMP02423,2025-10-19,Career Change,Voluntary
EMP05809,2023-11-21,Relocation,Voluntary
EMP09418,2024-04-24,Better Offer,Voluntary
EMP00805,2025-09-24,Better Offer,Voluntary
EMP04504,2023-08-16,Career Change,Voluntary
EMP07143,2026-04-18,Personal,Voluntary
EMP07790,2025-06-09,Better Offer,Voluntary
EMP09544,2024-09-13,Career Change,Voluntary
EMP03118,2025-02-21,Relocation,Voluntary
EMP07696,2024-06-28,Better Offer,Voluntary
EMP09704,2026-04-19,Career Change,Voluntary
EMP07820,2024-10-29,Better Offer,Voluntary
EMP05334,2025-07-23,Relocation,Voluntary
EMP07100,2025-12-04,Relocation,Involuntary
EMP07415,2024-08-10,Career Change,Involuntary
EMP03435,2025-06-22,Personal,Voluntary
EMP03507,2024-07-30,Career Change,Voluntary
EMP05730,2023-09-14,Relocation,Voluntary
EMP01321,2026-06-15,Performance,Voluntary
EMP02561,2024-09-02,Personal,Voluntary
EMP01101,2024-11-20,Better Offer,Involuntary
EMP07499,2025-11-29,Personal,Voluntary
EMP03064,2026-02-17,Personal,Voluntary
EMP00722,2024-01-25,Performance,Voluntary
EMP04081,2025-12-23,Career Change,Voluntary
EMP00229,2024-07-09,Performance,Voluntary
EMP04636,2025-08-08,Performance,Involuntary
EMP06480,2024-12-25,Better Offer,Voluntary
EMP00687,2024-11-04,Performance,Voluntary
EMP01700,2025-08-21,Personal,Involuntary
EMP09045,2024-12-04,Career Change,Voluntary
EMP03380,2025-07-04,Better Offer,Voluntary
EMP08086,2025-01-21,Relocation,Involuntary
EMP05542,2024-11-15,Career Change,Voluntary
EMP09973,2025-01-22,Better Offer,Involuntary
EMP04853,2024-08-05,Personal,Voluntary
EMP07172,2025-12-14,Personal,Voluntary
EMP05974,2024-04-15,Personal,Voluntary
EMP03732,2025-11-17,Better Offer,Voluntary
EMP03241,2025-06-06,Relocation,Voluntary
EMP06023,2025-08-09,Performance,Involuntary
EMP09868,2025-08-02,Personal,Voluntary
EMP02173,2024-01-03,Relocation,Voluntary
EMP08624,2023-12-18,Personal,Involuntary
EMP06386,2024-10-15,Personal,Voluntary
EMP07415,2025-05-28,Personal,Voluntary
EMP05254,2024-08-29,Career Change,Voluntary
EMP04979,2023-12-30,Career Change,Voluntary
EMP06334,2023-10-26,Better Offer,Involuntary
EMP05981,2026-02-08,Relocation,Voluntary
EMP00436,2026-06-01,Relocation,Voluntary
EMP05459,2024-10-24,Better Offer,Voluntary
EMP00990,2025-02-27,Performance,Voluntary
EMP07400,2025-11-29,Performance,Voluntary
EMP05305,2026-01-24,Relocation,Voluntary
EMP09828,2025-08-11,Career Change,Voluntary
EMP09353,2025-05-29,Performance,Voluntary
EMP07359,2023-12-26,Personal,Voluntary
EMP06591,2023-12-29,Personal,Voluntary
EMP04558,2023-10-18,Personal,Voluntary
EMP06083,2024-09-30,Career Change,Voluntary
EMP05559,2026-01-23,Performance,Voluntary
EMP04095,2025-01-31,Better Offer,Voluntary
EMP01974,2024-01-11,Better Offer,Voluntary
EMP03046,2026-07-29,Better Offer,Voluntary
EMP00939,2026-05-26,Better Offer,Voluntary
EMP07885,2024-06-01,Better Offer,Involuntary
EMP02920,2025-08-05,Relocation,Involuntary
EMP02384,2026-01-25,Better Offer,Voluntary
EMP02387,2023-11-09,Personal,Voluntary
EMP07068,2026-05-10,Personal,Voluntary
EMP00583,2023-12-27,Career Change,Voluntary
EMP05794,2023-12-30,Performance,Voluntary
EMP07674,2023-11-14,Better Offer,Voluntary
EMP07841,2024-04-29,Career Change,Voluntary
EMP07926,2023-11-02,Personal,Involuntary
EMP03629,2026-06-18,Performance,Voluntary
EMP05133,2024-09-07,Better Offer,Voluntary
EMP04639,2026-02-13,Personal,Voluntary
EMP05675,2026-01-03,Better Offer,Voluntary
EMP05643,2026-05-25,Career Change,Voluntary
EMP05522,2024-05-20,Relocation,Voluntary
EMP07485,2024-01-10,Career Change,Voluntary
EMP05587,2023-08-24,Career Change,Voluntary
EMP05904,2024-05-04,Better Offer,Voluntary
EMP05444,2025-12-05,Relocation,Voluntary
EMP07001,2026-06-01,Better Offer,Voluntary
EMP08473,2024-10-09,Career Change,Voluntary
EMP02060,2024-08-16,Better Offer,Voluntary
EMP00962,2024-09-06,Relocation,Involuntary
EMP07830,2025-08-19,Career Change,Voluntary
EMP01436,2025-07-02,Personal,Voluntary
EMP08616,2025-10-31,Relocation,Involuntary
EMP05654,2025-04-03,Relocation,Involuntary
EMP03119,2026-02-11,Personal,Voluntary
EMP02368,2024-10-23,Better Offer,Voluntary
EMP01847,2025-04-07,Personal,Voluntary
EMP03098,2026-01-07,Career Change,Involuntary
EMP07058,2026-02-26,Performance,Voluntary
EMP07850,2025-08-04,Career Change,Voluntary
EMP01600,2025-11-30,Career Change,Voluntary
EMP03781,2024-04-05,Better Offer,Voluntary
EMP00282,2025-11-05,Relocation,Voluntary
EMP08599,2024-10-24,Performance,Voluntary
EMP07459,2025-03-16,Career Change,Voluntary
EMP01028,2024-09-28,Career Change,Voluntary
EMP00504,2025-05-21,Career Change,Voluntary
EMP01123,2025-04-06,Personal,Voluntary
EMP02766,2025-09-18,Better Offer,Involuntary
EMP05051,2023-09-14,Performance,Voluntary
EMP03675,2025-07-29,Personal,Involuntary
EMP00465,2023-09-13,Performance,Involuntary
EMP09958,2024-06-15,Better Offer,Voluntary
