interview_id,candidate_id,interviewer_id,score,result
INT00068,CAND03737,EMP00376,3.9,Pass
INT00069,CAND13084,EMP09588,1.6,Fail
INT00070,CAND13199,EMP08588,3.0,Pass
INT00071,CAND07723,EMP05911,1.2,Fail
INT00072,CAND13991,EMP06404,4.8,Fail
INT00073,CAND14948,EMP09288,2.9,Fail
INT00074,CAND04382,EMP09763,2.6,Fail
INT00075,CAND07362,EMP05539,1.3,Pass
INT00076,CAND06764,EMP01834,4.3,Fail
INT00077,CAND11384,EMP02790,1.2,Fail
INT00078,CAND11661,EMP07253,1.9,Pass
INT00079,CAND13223,EMP06254,2.0,Pass
INT00080,CAND09317,EMP02987,2.9,Pass
INT00081,CAND06661,EMP06175,1.2,Pass
INT00082,CAND08762,EMP06421,3.9,Pass
INT00083,CAND13171,EMP09751,3.4,Pass
INT00084,CAND03957,EMP03728,4.7,Fail
INT00085,CAND10762,EMP02803,2.6,Fail
INT00086,CAND07468,EMP01321,2.5,Fail
INT00087,CAND08161,EMP04690,1.3,Pass
INT00088,CAND09514,EMP04105,1.0,Fail
INT00089,CAND10072,EMP00717,4.9,Fail
INT00090,CAND09365,EMP05881,3.9,Fail
INT00091,CAND03463,EMP05677,3.0,Pass
INT00092,CAND05866,EMP09548,1.3,Fail
INT00093,CAND00527,EMP07072,3.2,Fail
INT00094,CAND14345,EMP00942,1.9,Pass
INT00095,CAND05236,EMP02637,1.0,Fail
INT00096,CAND09560,EMP08347,2.1,Pass
INT00097,CAND01257,EMP05202,2.4,Pass
INT00098,CAND07528,EMP01865,4.7,Pass
INT00099,CAND10265,EMP06539,4.0,Fail
INT00100,CAND03673,EMP09307,3.7,Fail
INT00101,CAND05199,EMP09040,4.6,Fail
INT00102,CAND02721,EMP08900,4.1,Fail
INT00103,CAND02102,EMP05155,1.9,Fail
INT00104,CAND13848,EMP07453,3.5,Fail
INT00105,CAND07158,EMP07110,3.9,Pass
INT00106,CAND14564,EMP01389,4.0,Pass
INT00107,CAND07681,EMP06934,1.5,Pass
INT00108,CAND10146,EMP03771,3.7,Pass
INT00109,CAND14570,EMP00586,1.2,Fail
INT00110,CAND13234,EMP08144,4.8,Fail
INT00111,CAND02634,EMP04396,2.0,Fail
INT00112,CAND03019,EMP07106,4.2,Fail
INT00113,CAND05254,EMP04568,4.9,Fail
INT00114,CAND03028,EMP00229,1.3,Pass
INT00115,CAND03144,EMP02551,1.8,Pass
INT00116,CAND07451,EMP04796,2.3,Fail
INT00117,CAND11026,EMP05341,4.5,Pass
INT00118,CAND12489,EMP06657,2.8,Fail
INT00119,CAND04409,EMP07233,2.4,Fail
INT00120,CAND04599,EMP09150,2.7,Fail
INT00121,CAND14775,EMP06901,2.5,Pass
INT00122,CAND10969,EMP00404,4.0,Fail
INT00123,CAND04778,EMP00635,1.8,Pass
INT00124,CAND02922,EMP01353,3.2,Pass
INT00125,CAND06887,EMP04674,1.9,Fail
INT00126,CAND06822,EMP02464,3.3,Fail
INT00127,CAND12986,EMP04778,4.4,Fail
INT00128,CAND02214,EMP01482,3.6,Pass
INT00129,CAND03806,EMP04537,1.8,Fail
INT00130,CAND08011,EMP09306,1.0,Fail
INT00131,CAND05702,EMP04480,2.6,Fail
INT00132,CAND09129,EMP06081,1.5,Pass
INT00133,CAND07241,EMP04283,4.2,Pass
INT00134,CAND07830,EMP00108,2.0,Pass
INT00135,CAND00660,EMP04821,3.9,Pass
INT00136,CAND02429,EMP07824,3.4,Pass
INT00137,CAND02001,EMP01027,3.0,Pass
INT00138,CAND08417,EMP09515,1.5,Pass
INT00139,CAND12043,EMP06963,2.8,Pass
INT00140,CAND04057,EMP03721,3.0,Fail
INT00141,CAND00897,EMP04297,4.1,Pass
INT00142,CAND09763,EMP02596,1.5,Fail
INT00143,CAND02271,EMP00844,3.2,Fail
INT00144,CAND05835,EMP05158,2.7,Fail
INT00145,CAND06272,EMP02017,1.4,Fail
INT00146,CAND12220,EMP07017,4.4,Fail
INT00147,CAND08038,EMP04526,4.3,Fail
INT00148,CAND14371,EMP07327,2.5,Pass
INT00149,CAND01041,EMP05110,4.4,Pass
INT00150,CAND08490,EMP04523,1.8,Pass
INT00151,CAND03062,EMP08960,4.9,Pass
INT00152,CAND14453,EMP07080,3.1,Pass
INT00153,CAND10988,EMP01999,1.4,Pass
INT00154,CAND00347,EMP03736,3.7,Pass
INT00155,CAND06879,EMP07739,2.7,Pass
INT00156,CAND11391,EMP05120,2.9,Pass
INT00157,CAND06553,EMP02089,1.4,Pass
INT00158,CAND07886,EMP00080,2.7,Fail
INT00159,CAND12778,EMP00165,1.4,Fail
INT00160,CAND07470,EMP08121,2.1,Pass
INT00161,CAND08935,EMP00351,3.4,Pass
INT00162,CAND05164,EMP03493,1.2,Pass
INT00163,CAND00097,EMP08726,2.8,Pass
INT00164,CAND02026,EMP08138,1.2,Fail
INT00165,CAND02186,EMP00268,2.6,Pass
INT00166,CAND14865,EMP05046,3.5,Fail
INT00167,CAND08674,EMP06807,4.6,Pass
INT00168,CAND02362,EMP08289,4.7,Pass
INT00169,CAND03391,EMP06019,1.5,Fail
INT00170,CAND01263,EMP07684,4.6,Fail
INT00171,CAND02162,EMP07155,4.3,Fail
INT00172,CAND12648,EMP01773,1.6,Pass
INT00173,CAND13127,EMP02664,3.7,Fail
INT00174,CAND13386,EMP00437,2.3,Fail
INT00175,CAND04795,EMP07642,2.2,Pass
INT00176,CAND03194,EMP01569,3.4,Pass
INT00177,CAND00815,EMP03388,2.1,Fail
INT00178,CAND09122,EMP06454,1.2,Fail
INT00179,CAND10709,EMP02900,1.2,Pass
INT00180,CAND06253,EMP02062,4.1,Fail
INT00181,CAND00456,EMP04969,3.1,Pass
INT00182,CAND09328,EMP05278,3.6,Fail
INT00183,CAND00668,EMP06613,3.6,Pass
INT00184,CAND00109,EMP04244,3.9,Pass
INT00185,CAND07437,EMP06991,4.8,Fail
INT00186,CAND00258,EMP02811,1.2,Pass
INT00187,CAND04317,EMP06883,2.9,Fail
INT00188,CAND05970,EMP05017,2.1,Pass
INT00189,CAND11567,EMP00058,3.3,Pass
INT00190,CAND09152,EMP05386,3.0,Pass
INT00191,CAND07469,EMP04627,3.4,Pass
INT00192,CAND09419,EMP08471,1.8,Pass
INT00193,CAND13666,EMP00322,1.6,Pass
INT00194,CAND04088,EMP03591,1.5,Fail
INT00195,CAND00707,EMP09390,2.9,Pass
INT00196,CAND05975,EMP01099,1.5,Pass
INT00197,CAND10758,EMP01140,3.8,Fail
INT00198,CAND01583,EMP04161,1.9,Pass
INT00199,CAND04738,EMP09694,4.2,Fail
INT00200,CAND13664,EMP08185,1.2,Fail
INT00201,CAND06583,EMP07991,2.8,Fail
INT00202,CAND07515,EMP06706,4.9,Fail
INT00203,CAND10003,EMP08657,3.4,Pass
INT00204,CAND04739,EMP07021,1.3,Pass
INT00205,CAND08367,EMP02491,2.2,Fail
INT00206,CAND06371,EMP01562,4.8,Pass
INT00207,CAND06632,EMP02929,4.0,Pass
INT00208,CAND01864,EMP04681,4.1,Fail
INT00209,CAND05395,EMP07922,2.3,Pass
INT00210,CAND08669,EMP02368,3.3,Pass
INT00211,CAND08645,EMP04894,3.5,Fail
INT00212,CAND04486,EMP07873,4.9,Fail
INT00213,CAND01108,EMP09907,2.0,Pass
INT00214,CAND12050,EMP02574,3.8,Pass
INT00215,CAND03358,EMP01008,2.2,Pass
INT00216,CAND13976,EMP02435,4.5,Pass
INT00217,CAND01149,EMP09141,4.7,Fail
INT00218,CAND06075,EMP07905,2.9,Pass
INT00219,CAND07577,EMP09035,1.1,Pass
INT00220,CAND00782,EMP09396,2.5,Fail
INT00221,CAND03348,EMP00590,3.1,Pass
INT00222,CAND01963,EMP05571,5.0,Pass
INT00223,CAND05418,EMP06815,3.3,Pass
INT00224,CAND08691,EMP00465,4.8,Pass
INT00225,CAND01978,EMP00042,1.2,Fail
INT00226,CAND10373,EMP03011,3.4,Pass
INT00227,CAND09311,EMP00767,4.3,Fail
INT00228,CAND11261,EMP03652,1.4,Fail
INT00229,CAND14774,EMP01116,1.3,Fail
INT00230,CAND03881,EMP05903,3.6,Pass
INT00231,CAND00289,EMP07872,1.8,Fail
INT00232,CAND04039,EMP02262,2.6,Pass
INT00233,CAND04967,EMP00654,5.0,Pass
INT00234,CAND06857,EMP04887,2.8,Fail
INT00235,CAND00062,EMP09888,3.3,Pass
INT00236,CAND04805,EMP08079,3.7,Fail
INT00237,CAND04160,EMP00819,2.0,Fail
INT00238,CAND13640,EMP07314,3.1,Pass
INT00239,CAND01779,EMP04138,3.2,Fail
INT00240,CAND14903,EMP03656,2.4,Fail
INT00241,CAND10711,EMP01160,1.4,Pass
INT00242,CAND00481,EMP04830,3.7,Fail
INT00243,CAND02400,EMP09043,3.8,Pass
INT00244,CAND01043,EMP02544,4.5,Pass
INT00245,CAND13790,EMP07588,1.7,Fail
INT00246,CAND05344,EMP03232,3.0,Fail
INT00247,CAND14292,EMP04096,2.1,Pass
INT00248,CAND04041,EMP07834,4.6,Pass
INT00249,CAND09404,EMP01023,2.0,Fail
INT00250,CAND14342,EMP06586,2.9,Pass
INT00251,CAND00898,EMP00714,4.5,Fail
INT00252,CAND12667,EMP02114,1.1,Fail
INT00253,CAND03886,EMP03721,3.9,Fail
INT00254,CAND05921,EMP07424,3.3,Pass
INT00255,CAND12060,EMP09528,1.4,Pass
INT00256,CAND06636,EMP09042,4.9,Fail
INT00257,CAND11111,EMP08198,2.6,Pass
INT00258,CAND05412,EMP05080,2.7,Pass
INT00259,CAND11862,EMP07447,3.6,Fail
INT00260,CAND06793,EMP06501,4.0,Fail
INT00261,CAND09717,EMP06468,3.2,Pass
INT00262,CAND06874,EMP09872,1.5,Pass
INT00263,CAND05884,EMP01530,3.5,Fail
INT00264,CAND01111,EMP05420,2.0,Pass
INT00265,CAND02597,EMP03773,4.4,Pass
INT00266,CAND02302,EMP09563,1.4,Pass
INT00267,CAND14127,EMP00866,1.1,Fail
INT00268,CAND06153,EMP02846,2.3,Fail
INT00269,CAND13660,EMP03983,4.5,Pass
INT00270,CAND08596,EMP08751,2.4,Pass
INT00271,CAND10182,EMP02742,4.0,Fail
INT00272,CAND04340,EMP05679,4.6,Fail
INT00273,CAND00077,EMP02409,2.6,Pass
INT00274,CAND13380,EMP01392,4.3,Pass
INT00275,CAND10597,EMP09440,4.7,Pass
INT00276,CAND11280,EMP07759,1.3,Fail
INT00277,CAND10176,EMP03439,2.7,Fail
INT00278,CAND04124,EMP08279,1.9,Pass
INT00279,CAND11019,EMP00476,1.3,Pass
INT00280,CAND13440,EMP08821,3.2,Fail
INT00281,CAND08450,EMP08683,1.3,Pass
INT00282,CAND07098,EMP00001,3.4,Fail
INT00283,CAND07557,EMP07260,4.2,Fail
INT00284,CAND12573,EMP06900,3.3,Fail
INT00285,CAND01210,EMP09072,1.2,Pass
INT00286,CAND00602,EMP02081,2.4,Pass
INT00287,CAND06150,EMP04638,2.5,Fail
INT00288,CAND09295,EMP03027,1.1,Pass
INT00289,CAND14549,EMP07322,3.7,Pass
INT00290,CAND10136,EMP00534,1.9,Fail
INT00291,CAND10496,EMP07047,4.4,Fail
INT00292,CAND02330,EMP00019,4.4,Pass
INT00293,CAND00997,EMP03847,3.2,Pass
INT00294,CAND05408,EMP04081,3.8,Pass
INT00295,CAND06472,EMP07173,4.8,Pass
INT00296,CAND12380,EMP00068,4.4,Fail
INT00297,CAND07863,EMP02771,1.3,Pass
INT00298,CAND04905,EMP05520,1.7,Pass
INT00299,CAND12784,EMP07906,1.3,Pass
INT00300,CAND01167,EMP08896,2.2,Pass
INT00301,CAND08467,EMP05516,3.8,Fail
INT00302,CAND12382,EMP03401,2.5,Pass
INT00303,CAND08924,EMP02568,2.9,Pass
INT00304,CAND09746,EMP04897,3.6,Fail
INT00305,CAND03144,EMP05676,4.4,Pass
INT00306,CAND14897,EMP05077,4.2,Fail
INT00307,CAND05880,EMP09286,3.3,Fail
INT00308,CAND12615,EMP08251,3.4,Pass
INT00309,CAND01366,EMP00278,5.0,Fail
INT00310,CAND14360,EMP06176,1.6,Pass
INT00311,CAND10265,EMP05416,3.5,Pass
INT00312,CAND01679,EMP09446,4.0,Fail
INT00313,CAND07973,EMP09167,3.5,Pass
INT00314,CAND14783,EMP04249,1.8,Fail
INT00315,CAND02849,EMP06420,4.4,Fail
INT00316,CAND14210,EMP04800,3.4,Pass
INT00317,CAND08434,EMP08084,4.8,Pass
INT00318,CAND00775,EMP01583,4.1,Pass
INT00319,CAND11791,EMP02986,4.7,Fail
INT00320,CAND01450,EMP04357,4.9,Fail
INT00321,CAND00084,EMP01403,1.2,Pass
INT00322,CAND09979,EMP05019,4.3,Fail
INT00323,CAND08879,EMP03286,2.7,Fail
INT00324,CAND14279,EMP07815,3.7,Fail
INT00325,CAND06232,EMP03092,2.4,Fail
INT00326,CAND09191,EMP04047,2.6,Fail
INT00327,CAND14798,EMP09427,2.1,Pass
INT00328,CAND14326,EMP05730,2.3,Pass
INT00329,CAND09205,EMP05090,4.5,Fail
INT00330,CAND11616,EMP03349,2.3,Pass
INT00331,CAND08104,EMP04592,4.7,Fail
INT00332,CAND11772,EMP02407,4.9,Pass
INT00333,CAND12060,EMP00718,4.4,Fail
INT00334,CAND10012,EMP07762,2.8,Fail
INT00335,CAND12684,EMP07423,1.4,Pass
INT00336,CAND02266,EMP04889,3.4,Pass
INT00337,CAND07303,EMP01053,3.4,Fail
INT00338,CAND02423,EMP04642,1.2,Fail
INT00339,CAND13918,EMP01750,3.1,Fail
INT00340,CAND10888,EMP01417,2.1,Pass
INT00341,CAND06339,EMP04154,3.8,Pass
INT00342,CAND11938,EMP02716,4.7,Pass
INT00343,CAND00283,EMP04608,3.3,Fail
INT00344,CAND09915,EMP04721,2.7,Fail
INT00345,CAND08491,EMP02132,1.6,Fail
INT00346,CAND10564,EMP00740,4.9,Pass
INT00347,CAND09046,EMP00412,1.1,Pass
INT00348,CAND01676,EMP09075,4.5,Pass
INT00349,CAND13443,EMP06919,2.9,Fail
INT00350,CAND12499,EMP06283,4.5,Pass
INT00351,CAND02622,EMP07734,1.8,Pass
INT00352,CAND11770,EMP01072,1.9,Pass
INT00353,CAND14936,EMP09763,3.6,Fail
INT00354,CAND04131,EMP01290,4.9,Fail
INT00355,CAND07332,EMP08020,1.5,Pass
INT00356,CAND14277,EMP01033,3.1,Pass
INT00357,CAND13055,EMP01906,1.6,Fail
INT00358,CAND08197,EMP09938,4.2,Pass
INT00359,CAND05595,EMP08383,3.6,Pass
INT00360,CAND09741,EMP07384,3.2,Fail
INT00361,CAND10960,EMP01832,5.0,Fail
INT00362,CAND06334,EMP04286,4.0,Fail
INT00363,CAND13590,EMP04607,4.1,Pass
INT00364,CAND04929,EMP03071,4.5,Fail
INT00365,CAND06630,EMP08152,1.0,Pass
INT00366,CAND06210,EMP01273,1.5,Fail
INT00367,CAND05142,EMP03530,4.3,Fail
INT00368,CAND10643,EMP07544,4.6,Fail
INT00369,CAND04934,EMP03267,2.5,Pass
INT00370,CAND08518,EMP09902,3.5,Fail
INT00371,CAND09169,EMP02029,2.6,Pass
INT00372,CAND13716,EMP07197,3.7,Pass
INT00373,CAND02710,EMP04517,2.5,Pass
INT00374,CAND13809,EMP02853,4.5,Fail
INT00375,CAND03978,EMP08886,3.3,Pass
INT00376,CAND03182,EMP00156,4.5,Pass
INT00377,CAND11842,EMP05379,2.5,Fail
INT00378,CAND10983,EMP07308,2.5,Fail
INT00379,CAND08948,EMP08292,3.9,Fail
INT00380,CAND14236,EMP05554,1.5,Fail
INT00381,CAND14211,EMP06634,3.5,Pass
INT00382,CAND09945,EMP09766,2.9,Pass
INT00383,CAND03228,EMP09603,3.5,Fail
INT00384,CAND02040,EMP05443,2.5,Fail
INT00385,CAND01566,EMP04846,2.1,Pass
INT00386,CAND12274,EMP03650,3.9,Pass
INT00387,CAND06422,EMP05650,1.6,Pass
INT00388,CAND14645,EMP07895,3.8,Fail
INT00389,CAND06328,EMP05143,3.6,Pass
INT00390,CAND07907,EMP01296,4.7,Pass
INT00391,CAND05406,EMP03791,3.8,Pass
INT00392,CAND01727,EMP08375,4.2,Pass
INT00393,CAND00909,EMP08674,3.9,Fail
INT00394,CAND04128,EMP07385,3.7,Fail
INT00395,CAND12240,EMP07396,4.8,Pass
INT00396,CAND07934,EMP06403,3.0,Fail
INT00397,CAND02856,EMP06437,2.8,Pass
INT00398,CAND11445,EMP04178,4.0,Fail
INT00399,CAND06183,EMP08815,4.7,Pass
INT00400,CAND10373,EMP04638,3.0,Fail
INT00401,CAND05191,EMP04777,4.8,Fail
INT00402,CAND10439,EMP05650,3.5,Pass
INT00403,CAND10027,EMP01885,1.0,Pass
INT00404,CAND08247,EMP09705,3.8,Pass
INT00405,CAND14595,EMP03166,1.2,Fail
INT00406,CAND08692,EMP00028,4.3,Pass
INT00407,CAND08584,EMP00368,3.7,Fail
INT00408,CAND08117,EMP09862,3.7,Fail
INT00409,CAND10481,EMP05589,4.5,Pass
INT00410,CAND06486,EMP00977,4.4,Fail
INT00411,CAND04510,EMP08908,2.0,Pass
INT00412,CAND14949,EMP08965,2.4,Pass
INT00413,CAND11109,EMP04692,2.5,Fail
INT00414,CAND00741,EMP08711,3.2,Pass
INT00415,CAND13121,EMP01072,3.1,Pass
INT00416,CAND05860,EMP08504,1.7,Pass
INT00417,CAND00912,EMP04751,2.6,Fail
INT00418,CAND13299,EMP09193,2.6,Pass
INT00419,CAND00377,EMP06334,1.8,Pass
INT00420,CAND07041,EMP03489,3.6,Pass
INT00421,CAND02791,EMP01838,4.6,Pass
INT00422,CAND12677,EMP02351,2.3,Pass
INT00423,CAND10444,EMP05387,3.7,Fail
INT00424,CAND11574,EMP00466,4.0,Fail
INT00425,CAND12372,EMP04407,4.8,Pass
INT00426,CAND08135,EMP04577,2.1,Pass
INT00427,CAND07912,EMP07997,4.3,Pass
INT00428,CAND09459,EMP00482,2.8,Pass
INT00429,CAND07208,EMP05624,2.2,Pass
INT00430,CAND01158,EMP03093,1.7,Fail
INT00431,CAND01126,EMP02288,2.5,Pass
INT00432,CAND05796,EMP08909,2.2,Pass
INT00433,CAND05197,EMP03295,2.2,Fail
INT00434,CAND04083,EMP07279,3.7,Pass
INT00435,CAND08852,EMP00995,3.5,Pass
INT00436,CAND10359,EMP06874,4.1,Fail
INT00437,CAND14296,EMP01523,1.9,Fail
INT00438,CAND14359,EMP02438,3.6,Pass
INT00439,CAND09995,EMP08313,1.7,Pass
INT00440,CAND09234,EMP07789,1.1,Fail
INT00441,CAND07599,EMP00503,4.8,Fail
INT00442,CAND12141,EMP06104,4.7,Fail
INT00443,CAND07415,EMP09662,1.5,Pass
INT00444,CAND06366,EMP00278,2.3,Pass
INT00445,CAND00179,EMP00234,1.4,Fail
INT00446,CAND03007,EMP02808,4.5,Fail
INT00447,CAND02682,EMP02021,2.0,Pass
INT00448,CAND03605,EMP09479,4.8,Pass
INT00449,CAND13097,EMP02421,4.7,Fail
INT00450,CAND13187,EMP04008,4.1,Fail
INT00451,CAND09861,EMP05676,4.6,Fail
INT00452,CAND01539,EMP01281,4.8,Pass
INT00453,CAND04743,EMP06476,3.3,Fail
INT00454,CAND09898,EMP09868,3.8,Pass
INT00455,CAND00315,EMP03104,4.0,Fail
INT00456,CAND11979,EMP06542,2.8,Fail
INT00457,CAND12332,EMP07900,3.7,Pass
INT00458,CAND09953,EMP01187,3.3,Pass
INT00459,CAND02605,EMP06348,3.9,Pass
INT00460,CAND11732,EMP03730,4.2,Pass
INT00461,CAND01358,EMP09844,1.5,Fail
INT00462,CAND10865,EMP03520,1.3,Pass
INT00463,CAND10674,EMP08043,3.5,Fail
INT00464,CAND08145,EMP07138,4.1,Fail
INT00465,CAND09306,EMP05688,4.9,Pass
INT00466,CAND02301,EMP03299,3.3,Fail
INT00467,CAND14366,EMP04852,2.2,Pass
INT00468,CAND03986,EMP01598,4.1,Fail
INT00469,CAND14377,EMP04883,2.3,Fail
INT00470,CAND14911,EMP07131,2.3,Fail
INT00471,CAND08997,EMP01916,4.9,Fail
INT00472,CAND01353,EMP01033,3.6,Fail
INT00473,CAND01441,EMP04479,2.2,Pass
INT00474,CAND10165,EMP05830,2.8,Pass
INT00475,CAND07172,EMP05073,4.1,Pass
INT00476,CAND02588,EMP06745,2.3,Fail
INT00477,CAND14446,EMP06034,2.6,Fail
INT00478,CAND12057,EMP00053,3.8,Pass
INT00479,CAND12378,EMP00679,2.1,Pass
INT00480,CAND00368,EMP03807,4.8,Fail
INT00481,CAND00461,EMP08308,2.3,Fail
INT00482,CAND06390,EMP05534,1.2,Pass
INT00483,CAND11133,EMP04012,1.0,Pass
INT00484,CAND05351,EMP01392,1.0,Fail
INT00485,CAND10129,EMP01845,4.7,Pass
INT00486,CAND05965,EMP05511,4.1,Fail
INT00487,CAND02312,EMP02722,4.5,Pass
INT00488,CAND07738,EMP02473,1.0,Fail
INT00489,CAND03757,EMP00271,3.7,Fail
INT00490,CAND12894,EMP08815,4.3,Fail
INT00491,CAND14860,EMP04886,4.0,Pass
INT00492,CAND13335,EMP03368,2.8,Pass
INT00493,CAND01526,EMP04601,3.0,Pass
INT00494,CAND03459,EMP08353,3.5,Pass
INT00495,CAND00514,EMP08608,2.7,Pass
INT00496,CAND01645,EMP07064,2.1,Fail
INT00497,CAND04655,EMP07833,4.5,Fail
INT00498,CAND00204,EMP09138,3.5,Fail
INT00499,CAND11922,EMP07590,3.0,Fail
INT00500,CAND04554,EMP01745,2.4,Fail
INT00501,CAND02418,EMP04563,1.7,Pass
INT00502,CAND00906,EMP08741,4.1,Fail
INT00503,CAND13608,EMP07025,3.0,Pass
INT00504,CAND02412,EMP09524,5.0,Fail
INT00505,CAND06359,EMP02232,1.9,Fail
INT00506,CAND09381,EMP04745,3.4,Pass
INT00507,CAND04558,EMP09920,4.3,Pass
INT00508,CAND05169,EMP02213,2.1,Pass
INT00509,CAND04484,EMP05431,1.0,Pass
INT00510,CAND04504,EMP03727,3.3,Pass
INT00511,CAND11717,EMP04725,3.4,Pass
INT00512,CAND11122,EMP02055,2.1,Pass
INT00513,CAND14032,EMP06802,1.4,Pass
INT00514,CAND10216,EMP09458,3.9,Pass
INT00515,CAND02425,EMP07009,3.1,Pass
INT00516,CAND12867,EMP09928,1.3,Fail
INT00517,CAND05651,EMP06466,2.6,Fail
INT00518,CAND02759,EMP02248,4.3,Pass
INT00519,CAND01708,EMP09323,1.1,Pass
INT00520,CAND12676,EMP07405,3.9,Fail
INT00521,CAND08660,EMP05023,3.7,Fail
INT00522,CAND00578,EMP09830,1.8,Fail
INT00523,CAND06687,EMP02619,1.5,Pass
INT00524,CAND10226,EMP04335,2.8,Pass
INT00525,CAND00525,EMP04597,3.1,Pass
INT00526,CAND03333,EMP06817,3.5,Fail
INT00527,CAND04376,EMP00464,2.5,Fail
INT00528,CAND14789,EMP05751,4.8,Pass
INT00529,CAND05187,EMP08333,2.5,Pass
INT00530,CAND00427,EMP09062,4.6,Pass
INT00531,CAND05121,EMP08357,4.4,Pass
INT00532,CAND06397,EMP07264,4.1,Pass
INT00533,CAND02435,EMP05415,4.8,Pass
INT00534,CAND04416,EMP05605,1.3,Fail
INT00535,CAND00677,EMP02401,1.4,Pass
INT00536,CAND10642,EMP00371,2.0,Fail
INT00537,CAND12153,EMP06749,1.8,Pass
INT00538,CAND05445,EMP08038,2.9,Fail
INT00539,CAND13237,EMP04450,2.6,Pass
INT00540,CAND14801,EMP04990,1.3,Fail
INT00541,CAND00650,EMP02722,3.6,Fail
INT00542,CAND11803,EMP04442,1.1,Pass
INT00543,CAND06526,EMP00104,2.1,Fail
INT00544,CAND00008,EMP03944,1.3,Pass
INT00545,CAND10389,EMP02147,1.3,Pass
INT00546,CAND09224,EMP08838,2.7,Fail
INT00547,CAND06276,EMP04751,2.6,Pass
INT00548,CAND01386,EMP07764,4.0,Fail
INT00549,CAND02862,EMP05443,3.3,Fail
INT00550,CAND02392,EMP00303,1.8,Fail
INT00551,CAND01643,EMP01595,4.9,Fail
INT00552,CAND00789,EMP05252,4.1,Pass
INT00553,CAND03699,EMP09577,1.4,Pass
INT00554,CAND07967,EMP00101,3.0,Pass
INT00555,CAND02113,EMP07883,2.3,Pass
INT00556,CAND13714,EMP02725,1.4,Pass
INT00557,CAND07910,EMP08619,3.2,Fail
INT00558,CAND12358,EMP01921,2.2,Fail
