path_id,path_name,department_id,required_skills
CP111,Associate Professor Track,D002,"SK0153,SK0262,SK0293,SK0107,SK0203,SK0178"
CP112,"Designer, multimedia Track",D013,"SK0101,SK0045,SK0251,SK0219,SK0107"
CP113,Neurosurgeon Track,D007,"SK0017,SK0285,SK0047,SK0266"
CP114,"Accountant, chartered public finance Track",D017,"SK0216,SK0084,SK0099,SK0223,SK0092,SK0037,SK0027"
CP115,"Chemist, analytical Track",D008,"SK0023,SK0142,SK0283,SK0244,SK0004,SK0176"
CP116,Dance movement psychotherapist Track,D018,"SK0268,SK0026,SK0295,SK0003,SK0182"
CP117,Public affairs consultant Track,D015,"SK0064,SK0021,SK0291,SK0076,SK0266,SK0258"
CP118,Tourism officer Track,D015,"SK0232,SK0150,SK0268,SK0095,SK0158,SK0079,SK0136"
CP119,"Presenter, broadcasting Track",D005,"SK0071,SK0270,SK0053,SK0151"
CP120,Chartered management accountant Track,D002,"SK0057,SK0117,SK0221,SK0273,SK0058"
CP121,Bonds trader Track,D016,"SK0135,SK0236,SK0196,SK0155,SK0296,SK0027"
CP122,General practice doctor Track,D005,"SK0063,SK0274,SK0204"
CP123,Environmental education officer Track,D006,"SK0042,SK0292,SK0143,SK0138"
CP124,Metallurgist Track,D012,"SK0256,SK0197,SK0024,SK0280,SK0254,SK0140,SK0096"
CP125,Cartographer Track,D005,"SK0252,SK0203,SK0213,SK0083,SK0266,SK0190"
CP126,Transport planner Track,D020,"SK0001,SK0182,SK0284,SK0120,SK0131,SK0050"
CP127,Applications developer Track,D008,"SK0213,SK0060,SK0259,SK0244,SK0080,SK0035"
CP128,Music tutor Track,D011,"SK0141,SK0142,SK0123,SK0231"
CP129,Oncologist Track,D014,"SK0122,SK0261,SK0198"
CP130,Visual merchandiser Track,D017,"SK0093,SK0081,SK0124,SK0160"
CP131,"Scientist, research (life sciences) Track",D010,"SK0010,SK0024,SK0073,SK0284,SK0127"
CP132,Historic buildings inspector/conservation officer Track,D002,"SK0272,SK0068,SK0225,SK0084,SK0020,SK0180,SK0032"
CP133,"Therapist, speech and language Track",D003,"SK0193,SK0156,SK0091,SK0126"
CP134,Barista Track,D013,"SK0026,SK0156,SK0214,SK0216"
CP135,Economist Track,D017,"SK0013,SK0007,SK0106,SK0096"
CP136,"Research officer, trade union Track",D003,"SK0079,SK0177,SK0215,SK0166"
CP137,Print production planner Track,D010,"SK0220,SK0107,SK0102,SK0033,SK0172,SK0044"
CP138,Administrator Track,D008,"SK0266,SK0203,SK0260,SK0300"
CP139,"Engineer, drilling Track",D004,"SK0300,SK0255,SK0232,SK0049,SK0118,SK0001"
CP140,"Scientist, marine Track",D013,"SK0019,SK0253,SK0183,SK0132,SK0256,SK0290"
CP141,Higher education lecturer Track,D007,"SK0058,SK0190,SK0295,SK0063,SK0159,SK0111,SK0042"
CP142,"Engineer, broadcasting (operations) Track",D007,"SK0062,SK0083,SK0273,SK0159,SK0054,SK0194"
CP143,Analytical chemist Track,D016,"SK0268,SK0271,SK0004,SK0016"
CP144,Tour manager Track,D005,"SK0124,SK0075,SK0146,SK0066,SK0186,SK0169"
CP145,"Sales professional, IT Track",D017,"SK0267,SK0122,SK0137,SK0277,SK0075"
CP146,"Scientist, clinical (histocompatibility and immunogenetics) Track",D010,"SK0094,SK0050,SK0272,SK0105"
CP147,Exhibition designer Track,D004,"SK0165,SK0073,SK0295,SK0297,SK0003"
CP148,Volunteer coordinator Track,D014,"SK0254,SK0218,SK0160"
CP149,"Doctor, general practice Track",D005,"SK0198,SK0083,SK0162"
CP150,Animal technologist Track,D002,"SK0157,SK0032,SK0170,SK0162,SK0120,SK0059,SK0195"
CP151,Media buyer Track,D014,"SK0044,SK0180,SK0009,SK0162,SK0095,SK0013"
CP152,Field trials officer Track,D018,"SK0150,SK0280,SK0255"
CP153,Academic librarian Track,D011,"SK0023,SK0127,SK0285,SK0202"
CP154,"Designer, industrial/product Track",D016,"SK0070,SK0249,SK0037,SK0036,SK0132"
CP155,Chartered legal executive (England and Wales) Track,D018,"SK0038,SK0111,SK0081,SK0170,SK0212,SK0128,SK0244"
CP156,Health and safety adviser Track,D016,"SK0210,SK0013,SK0076"
CP157,Office manager Track,D004,"SK0173,SK0076,SK0094,SK0034"
CP158,Manufacturing engineer Track,D001,"SK0024,SK0065,SK0084,SK0209,SK0276"
CP159,Nutritional therapist Track,D014,"SK0246,SK0098,SK0212"
CP160,"Optician, dispensing Track",D012,"SK0270,SK0253,SK0286"
CP161,Theatre director Track,D010,"SK0092,SK0217,SK0201,SK0140,SK0133,SK0104,SK0057"
CP162,"Engineer, control and instrumentation Track",D019,"SK0198,SK0067,SK0140,SK0099,SK0106,SK0237,SK0055"
CP163,"Scientist, marine Track",D004,"SK0157,SK0296,SK0196,SK0103,SK0051,SK0164,SK0185"
CP164,"Administrator, local government Track",D020,"SK0270,SK0050,SK0197,SK0179,SK0055,SK0015,SK0091"
CP165,Broadcast presenter Track,D003,"SK0196,SK0163,SK0024,SK0052,SK0168,SK0297"
CP166,Chemical engineer Track,D004,"SK0189,SK0066,SK0001,SK0080,SK0101,SK0061,SK0294"
CP167,Stage manager Track,D015,"SK0199,SK0030,SK0298,SK0205,SK0168,SK0086"
CP168,Higher education careers adviser Track,D011,"SK0288,SK0209,SK0128"
CP169,"Surveyor, land/geomatics Track",D016,"SK0130,SK0222,SK0139,SK0225,SK0290"
CP170,Television floor manager Track,D004,"SK0010,SK0093,SK0070,SK0044,SK0014,SK0159"
CP171,Magazine features editor Track,D006,"SK0065,SK0276,SK0225,SK0222,SK0286,SK0135,SK0243"
CP172,"Loss adjuster, chartered Track",D008,"SK0161,SK0098,SK0199,SK0279,SK0088,SK0061"
CP173,Health and safety inspector Track,D013,"SK0039,SK0117,SK0167"
CP174,Equities trader Track,D020,"SK0171,SK0007,SK0253,SK0167"
CP175,Trading standards officer Track,D004,"SK0136,SK0129,SK0290,SK0238,SK0146"
CP176,"Engineer, broadcasting (operations) Track",D005,"SK0127,SK0169,SK0171,SK0218,SK0051"
CP177,"Programme researcher, broadcasting/film/video Track",D010,"SK0252,SK0019,SK0105,SK0016,SK0028,SK0222"
CP178,Operations geologist Track,D005,"SK0293,SK0123,SK0054"
CP179,"Teacher, special educational needs Track",D012,"SK0248,SK0174,SK0229,SK0206,SK0114,SK0062,SK0271"
CP180,"Accountant, chartered management Track",D001,"SK0097,SK0163,SK0124,SK0065,SK0218"
CP181,Games developer Track,D010,"SK0272,SK0121,SK0256,SK0103,SK0287,SK0131,SK0044"
CP182,Economist Track,D005,"SK0189,SK0164,SK0014,SK0183,SK0243,SK0236"
CP183,Optometrist Track,D019,"SK0115,SK0221,SK0038,SK0210,SK0300,SK0269,SK0186"
CP184,Risk manager Track,D019,"SK0154,SK0009,SK0092,SK0012,SK0093,SK0101,SK0091"
CP185,Clinical biochemist Track,D020,"SK0140,SK0150,SK0133,SK0078,SK0258,SK0244,SK0141"
CP186,"Surveyor, land/geomatics Track",D012,"SK0112,SK0055,SK0169,SK0282,SK0281"
CP187,"Buyer, industrial Track",D016,"SK0059,SK0026,SK0032,SK0067"
CP188,Retail manager Track,D005,"SK0279,SK0282,SK0165,SK0150,SK0168,SK0170,SK0257"
CP189,Hospital pharmacist Track,D017,"SK0220,SK0062,SK0094"
CP190,"Librarian, public Track",D014,"SK0064,SK0161,SK0013"
CP191,Commercial horticulturist Track,D012,"SK0051,SK0195,SK0068,SK0126,SK0218,SK0297,SK0231"
CP192,Scientific laboratory technician Track,D013,"SK0012,SK0126,SK0111,SK0115,SK0274,SK0291,SK0100"
CP193,Furniture designer Track,D014,"SK0194,SK0178,SK0279,SK0236,SK0036,SK0227,SK0150"
CP194,Soil scientist Track,D005,"SK0165,SK0227,SK0210"
CP195,"Teacher, special educational needs Track",D005,"SK0015,SK0193,SK0243,SK0006,SK0246"
CP196,Fitness centre manager Track,D018,"SK0119,SK0157,SK0139,SK0272,SK0136"
CP197,Probation officer Track,D014,"SK0123,SK0105,SK0186,SK0199,SK0072"
CP198,Multimedia programmer Track,D018,"SK0143,SK0294,SK0254,SK0019,SK0091,SK0016"
CP199,"Surveyor, quantity Track",D020,"SK0229,SK0029,SK0281,SK0046,SK0268"
CP200,Radio broadcast assistant Track,D001,"SK0175,SK0286,SK0055,SK0246,SK0021,SK0072"
CP201,Financial planner Track,D007,"SK0054,SK0146,SK0129,SK0295,SK0070,SK0256,SK0091"
CP202,"Librarian, academic Track",D017,"SK0092,SK0001,SK0252,SK0023"
CP203,Proofreader Track,D003,"SK0082,SK0272,SK0014,SK0162"
CP204,Psychiatrist Track,D010,"SK0214,SK0158,SK0059,SK0173,SK0281,SK0265"
CP205,Theatre director Track,D007,"SK0187,SK0264,SK0219"
CP206,Air broker Track,D012,"SK0192,SK0064,SK0017,SK0062,SK0121,SK0025"
CP207,Race relations officer Track,D015,"SK0007,SK0112,SK0181,SK0133,SK0191,SK0163"
CP208,Commercial horticulturist Track,D016,"SK0229,SK0177,SK0210,SK0114,SK0287"
CP209,Further education lecturer Track,D008,"SK0284,SK0277,SK0263"
CP210,Broadcast journalist Track,D006,"SK0133,SK0271,SK0158"
CP211,Museum/gallery exhibitions officer Track,D004,"SK0106,SK0068,SK0072"
CP212,English as a second language teacher Track,D011,"SK0187,SK0256,SK0291"
CP213,Event organiser Track,D017,"SK0234,SK0227,SK0109,SK0078"
CP214,Interpreter Track,D002,"SK0294,SK0284,SK0060,SK0117,SK0250"
CP215,Passenger transport manager Track,D006,"SK0280,SK0187,SK0283"
CP216,Manufacturing engineer Track,D004,"SK0270,SK0197,SK0161,SK0182,SK0087,SK0220"
CP217,"Scientist, clinical (histocompatibility and immunogenetics) Track",D003,"SK0046,SK0009,SK0266,SK0010,SK0172,SK0209"
CP218,Social worker Track,D007,"SK0189,SK0165,SK0045,SK0261,SK0256,SK0230"
CP219,Acupuncturist Track,D007,"SK0118,SK0198,SK0113,SK0134,SK0201,SK0216"
CP220,General practice doctor Track,D016,"SK0132,SK0075,SK0297,SK0115,SK0058"
CP221,Fish farm manager Track,D002,"SK0118,SK0141,SK0065,SK0175,SK0116,SK0222"
CP222,Holiday representative Track,D008,"SK0106,SK0194,SK0013,SK0024,SK0042,SK0098,SK0101"
CP223,Chief Financial Officer Track,D015,"SK0091,SK0074,SK0205,SK0186,SK0161,SK0038,SK0109"
CP224,Oceanographer Track,D016,"SK0178,SK0167,SK0127,SK0109,SK0160,SK0259,SK0124"
CP225,"Lighting technician, broadcasting/film/video Track",D001,"SK0300,SK0158,SK0123,SK0290,SK0156,SK0073,SK0280"
CP226,Call centre manager Track,D010,"SK0137,SK0253,SK0097,SK0230,SK0004"
CP227,"Surveyor, building Track",D007,"SK0189,SK0110,SK0141"
CP228,"Editor, magazine features Track",D016,"SK0042,SK0153,SK0271,SK0136"
CP229,Publishing copy Track,D010,"SK0086,SK0158,SK0079,SK0137"
CP230,Interior and spatial designer Track,D012,"SK0060,SK0265,SK0266,SK0268,SK0197,SK0146"
CP231,Manufacturing systems engineer Track,D017,"SK0092,SK0262,SK0281,SK0176,SK0224"
CP232,Engineering geologist Track,D013,"SK0139,SK0070,SK0001,SK0299,SK0258,SK0076"
CP233,"Teacher, secondary school Track",D012,"SK0208,SK0235,SK0065,SK0198,SK0069,SK0196"
CP234,Geophysical data processor Track,D015,"SK0045,SK0280,SK0026"
CP235,"Education officer, museum Track",D014,"SK0275,SK0263,SK0280"
CP236,Energy manager Track,D019,"SK0224,SK0159,SK0214,SK0116,SK0019,SK0121,SK0290"
CP237,Research scientist (physical sciences) Track,D019,"SK0223,SK0278,SK0010,SK0073"
CP238,"Engineer, communications Track",D014,"SK0199,SK0054,SK0290,SK0133,SK0138"
CP239,Farm manager Track,D018,"SK0284,SK0299,SK0092,SK0040"
CP240,Financial controller Track,D005,"SK0127,SK0097,SK0031"
CP241,Geochemist Track,D020,"SK0278,SK0295,SK0027,SK0257,SK0056"
CP242,"Engineer, maintenance Track",D006,"SK0136,SK0243,SK0297,SK0008,SK0224,SK0275,SK0241"
CP243,Estate manager/land agent Track,D018,"SK0233,SK0093,SK0264,SK0057,SK0029"
CP244,"Engineer, electrical Track",D014,"SK0252,SK0089,SK0222"
CP245,Fisheries officer Track,D004,"SK0145,SK0194,SK0126,SK0211,SK0102,SK0051"
CP246,Water engineer Track,D001,"SK0206,SK0294,SK0019,SK0021,SK0213,SK0016"
CP247,Market researcher Track,D013,"SK0086,SK0064,SK0088,SK0022,SK0288,SK0080"
CP248,"Designer, furniture Track",D011,"SK0119,SK0111,SK0079,SK0009,SK0300"
CP249,Clinical biochemist Track,D003,"SK0190,SK0112,SK0273,SK0195"
CP250,Communications engineer Track,D017,"SK0005,SK0289,SK0297,SK0192"
CP251,Careers information officer Track,D018,"SK0077,SK0105,SK0039,SK0239,SK0275,SK0104,SK0128"
CP252,"Research officer, government Track",D010,"SK0096,SK0100,SK0294,SK0174,SK0286,SK0051,SK0133"
CP253,Visual merchandiser Track,D016,"SK0061,SK0149,SK0178"
CP254,Accounting technician Track,D013,"SK0052,SK0087,SK0049"
CP255,Special educational needs teacher Track,D020,"SK0262,SK0057,SK0281,SK0103,SK0193,SK0235"
CP256,Archivist Track,D012,"SK0100,SK0044,SK0253,SK0037,SK0174"
CP257,Race relations officer Track,D004,"SK0268,SK0087,SK0265,SK0076,SK0063"
CP258,Meteorologist Track,D008,"SK0256,SK0002,SK0297,SK0192,SK0017"
CP259,Web designer Track,D012,"SK0271,SK0160,SK0141,SK0131,SK0155"
CP260,International aid/development worker Track,D019,"SK0285,SK0020,SK0119,SK0052,SK0141"
CP261,"Research officer, government Track",D015,"SK0010,SK0135,SK0289,SK0033,SK0056,SK0032"
CP262,"Teacher, special educational needs Track",D016,"SK0105,SK0130,SK0015,SK0062,SK0066,SK0255,SK0102"
CP263,Haematologist Track,D012,"SK0183,SK0092,SK0289,SK0066,SK0167,SK0003"
CP264,Recycling officer Track,D020,"SK0121,SK0222,SK0151,SK0047,SK0289"
CP265,"Education officer, museum Track",D018,"SK0041,SK0090,SK0043"
CP266,Sales promotion account executive Track,D012,"SK0107,SK0223,SK0030,SK0098,SK0079"
CP267,Health service manager Track,D016,"SK0097,SK0172,SK0107,SK0254,SK0047"
CP268,Occupational therapist Track,D020,"SK0166,SK0019,SK0063"
CP269,Environmental education officer Track,D011,"SK0182,SK0151,SK0232,SK0135,SK0239,SK0033,SK0036"
CP270,Technical author Track,D020,"SK0267,SK0213,SK0214,SK0159,SK0266,SK0208"
CP271,"Conservation officer, historic buildings Track",D014,"SK0034,SK0106,SK0289,SK0218,SK0285,SK0032"
CP272,Audiological scientist Track,D002,"SK0110,SK0217,SK0295,SK0121,SK0052"
CP273,Secondary school teacher Track,D013,"SK0173,SK0069,SK0191,SK0273,SK0268"
CP274,Pharmacologist Track,D014,"SK0018,SK0021,SK0005,SK0216,SK0115"
CP275,Purchasing manager Track,D006,"SK0031,SK0035,SK0058,SK0038,SK0167"
CP276,"Sound technician, broadcasting/film/video Track",D012,"SK0291,SK0080,SK0222,SK0257,SK0026,SK0089"
CP277,Amenity horticulturist Track,D007,"SK0251,SK0223,SK0252,SK0025"
CP278,Retail buyer Track,D004,"SK0158,SK0286,SK0035"
CP279,"Loss adjuster, chartered Track",D007,"SK0059,SK0068,SK0102,SK0226"
CP280,"Nurse, mental health Track",D013,"SK0179,SK0122,SK0042,SK0295,SK0244"
CP281,Ecologist Track,D011,"SK0248,SK0077,SK0291,SK0179,SK0083,SK0220,SK0192"
CP282,"Programmer, systems Track",D008,"SK0277,SK0206,SK0181,SK0286,SK0268,SK0195,SK0191"
CP283,Community arts worker Track,D019,"SK0017,SK0186,SK0231"
CP284,"Scientist, marine Track",D002,"SK0060,SK0127,SK0191,SK0187,SK0078,SK0237,SK0051"
CP285,Psychiatrist Track,D018,"SK0104,SK0026,SK0050,SK0130"
CP286,Interpreter Track,D010,"SK0211,SK0242,SK0279,SK0201,SK0145,SK0026,SK0111"
CP287,Actuary Track,D006,"SK0169,SK0207,SK0152,SK0214,SK0100,SK0271,SK0089"
CP288,"Administrator, charities/voluntary organisations Track",D004,"SK0178,SK0163,SK0138,SK0082"
CP289,"Engineer, materials Track",D019,"SK0035,SK0217,SK0069,SK0005,SK0231"
CP290,Museum education officer Track,D014,"SK0093,SK0291,SK0085"
CP291,Telecommunications researcher Track,D014,"SK0235,SK0014,SK0083,SK0292,SK0267"
CP292,Chiropractor Track,D018,"SK0083,SK0137,SK0295,SK0074"
CP293,"Journalist, magazine Track",D017,"SK0141,SK0247,SK0294,SK0063"
CP294,Medical illustrator Track,D018,"SK0053,SK0098,SK0215"
CP295,Video editor Track,D018,"SK0103,SK0054,SK0175,SK0257,SK0058,SK0147"
CP296,Futures trader Track,D005,"SK0178,SK0023,SK0006"
CP297,"Embryologist, clinical Track",D009,"SK0232,SK0155,SK0223,SK0300"
CP298,Sports therapist Track,D001,"SK0011,SK0023,SK0131,SK0018,SK0213,SK0072,SK0220"
CP299,General practice doctor Track,D004,"SK0258,SK0171,SK0177,SK0260"
CP300,Fast food restaurant manager Track,D007,"SK0032,SK0081,SK0009"
